,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
13,2.4,0.2,JR,2.4,.520,4.6,8.9,.361,0.7,2.0,.491,5.3,10.8,.706,3.3,4.6,31,29,6-5,"Cheyenne, WY",32.7,44,1.7,2.6,Marcus Bailey,F,14.6,,1.4," 14.6 Pts, 4.2 Reb, 2.4 Ast",wyoming,2.3,4.2,per_game,190
14,2.7,0.1,JR,2.4,.466,2.2,4.7,.280,1.3,4.6,.374,3.5,9.3,.890,3.6,4.1,31,27,6-2,"Colorado Springs, CO",30.5,1,0.5,2.4,Donta Richardson,G,11.9,,1.3," 11.9 Pts, 2.9 Reb, 2.7 Ast",wyoming,2.1,2.9,per_game,170
15,1.5,1.5,SR,5.5,.596,4.3,7.3,.186,0.3,1.4,.530,4.6,8.6,.583,2.3,3.9,31,30,6-8,"Salem, OR",27.4,22,2.4,3.3,Josh Davis,F,11.7,,1.2," 11.7 Pts, 7.9 Reb, 1.5 Ast",wyoming,1.6,7.9,per_game,235
16,0.6,1.0,JR,5.6,.546,3.5,6.3,.000,0.0,0.1,.540,3.5,6.4,.662,3.3,5.0,31,31,6-10,,27.8,5,2.5,2.8,Uche Nsonwu-Amadi,C,10.2,,0.9," 10.2 Pts, 8.2 Reb, 0.6 Ast",wyoming,1.9,8.2,per_game,260
17,3.3,0.0,FR,1.9,.460,2.1,4.5,.291,0.8,2.8,.396,2.9,7.3,.726,2.6,3.6,31,28,5-11,"Chicago, IL",28.0,3,0.5,1.3,Jay Straight,G,9.2,,0.5," 9.2 Pts, 2.4 Reb, 3.3 Ast",wyoming,2.5,2.4,per_game,178
18,1.2,0.3,SR,1.5,.500,1.7,3.4,.416,1.0,2.5,.464,2.7,5.9,.824,1.4,1.6,31,1,6-1,"Beaumont, TX",20.3,24,0.5,1.3,Paris Corner,G,7.9,,0.5," 7.9 Pts, 2.1 Reb, 1.2 Ast",wyoming,1.1,2.1,per_game,193
19,0.3,0.9,SR,2.4,.468,1.4,3.0,,0.0,0.0,.468,1.4,3.0,.792,1.4,1.7,31,1,6-9,"Los Angeles, CA",12.6,0,1.1,2.1,Ronell Mingo,F,4.2,,0.2," 4.2 Pts, 3.4 Reb, 0.3 Ast",wyoming,1.0,3.4,per_game,230
20,0.4,0.2,SR,1.4,.313,0.7,2.1,.000,0.0,0.0,.308,0.7,2.2,.432,0.6,1.5,30,5,6-9,,9.5,4,1.0,1.8,Ugo Udezue,F,2.0,,0.2," 2.0 Pts, 2.4 Reb, 0.4 Ast",wyoming,0.5,2.4,per_game,245
21,0.0,0.1,SO,1.0,.613,0.6,1.0,.667,0.1,0.1,.618,0.7,1.1,.417,0.3,0.8,30,0,6-8,"St. Louis, MO",6.7,25,0.5,0.8,Joe Ries,F,1.8,,0.2," 1.8 Pts, 1.5 Reb, 0.0 Ast",wyoming,0.6,1.5,per_game,225
22,0.5,0.1,SO,0.8,.600,0.3,0.4,.125,0.1,0.7,.308,0.3,1.1,.625,0.4,0.7,24,0,6-5,"Charles City, IA",7.4,20,0.5,1.2,David Rottinghaus,G,1.2,,0.3," 1.2 Pts, 1.3 Reb, 0.5 Ast",wyoming,0.4,1.3,per_game,195
23,1.0,0.3,JR,0.5,.333,0.5,1.5,.250,0.3,1.0,.300,0.8,2.5,1.000,0.5,0.5,4,0,6-3,"Baton Rouge, LA",7.8,33,0.0,1.3,Brandon Dickerson,G,2.3,,0.5," 2.3 Pts, 0.5 Reb, 1.0 Ast",wyoming,0.5,0.5,per_game,205
24,4.5,0.0,SR,3.3,.000,0.0,1.3,.000,0.0,1.0,.000,0.0,2.3,.615,2.0,3.3,4,3,5-10,"Brea, CA",25.5,10,0.8,2.5,Chris Mcmillian,G,2.0,,1.0," 2.0 Pts, 4.0 Reb, 4.5 Ast",wyoming,3.0,4.0,per_game,180
25,0.0,0.0,FR,1.0,.375,0.3,0.9,,0.0,0.0,.375,0.3,0.9,.500,0.1,0.2,9,0,7-0,"Sioux Rapids, IA",3.0,13,0.2,0.7,Alex Dunn,C,0.8,,0.0," 0.8 Pts, 1.2 Reb, 0.0 Ast",wyoming,0.2,1.2,per_game,255
26,1.7,0.1,JR,3.9,.507,3.3,6.5,.385,1.9,5.0,.454,5.2,11.5,.768,2.7,3.5,32,32,6-5,,32.5,20,1.0,2.1,Kirk Penney,G,15.1,,0.6," 15.1 Pts, 4.9 Reb, 1.7 Ast",wisconsin,2.5,4.9,per_game,220
27,1.8,0.6,FR,2.7,.475,1.8,3.8,.366,1.8,5.0,.413,3.7,8.8,.777,3.2,4.1,32,32,6-3,,34.2,34,0.6,2.1,Devin Harris,G,12.3,,1.3," 12.3 Pts, 3.3 Reb, 1.8 Ast",wisconsin,1.7,3.3,per_game,185
28,1.8,0.3,SR,3.7,.533,2.5,4.8,.373,1.0,2.6,.477,3.5,7.3,.660,2.2,3.3,32,31,6-8,"Angola, IN",30.1,40,1.4,2.8,Charlie Wills,F,10.2,,0.6," 10.2 Pts, 5.2 Reb, 1.8 Ast",wisconsin,2.1,5.2,per_game,230
29,1.5,0.4,FR,3.0,.481,2.4,4.9,.333,0.6,1.7,.443,2.9,6.6,.756,2.9,3.8,32,1,6-8,"Blue Mound, WI",28.2,54,2.3,2.4,Michael Wilkinson,F,9.3,,1.3," 9.3 Pts, 5.3 Reb, 1.5 Ast",wisconsin,1.6,5.3,per_game,240
30,0.9,0.0,SO,1.9,.476,2.8,5.8,.364,0.6,1.7,.450,3.4,7.5,.600,0.8,1.3,32,0,6-2,"Milwaukee, WI",23.8,24,0.8,2.1,Freddie Owens,G,8.1,,0.7," 8.1 Pts, 2.7 Reb, 0.9 Ast",wisconsin,1.4,2.7,per_game,190
31,3.9,0.0,SR,3.8,.457,2.0,4.4,.288,0.5,1.6,.411,2.5,6.0,.670,2.3,3.5,32,32,5-10,"Argo, IL",32.3,2,0.6,2.3,Travon Davis,G,7.8,,0.9," 7.8 Pts, 4.3 Reb, 3.9 Ast",wisconsin,1.9,4.3,per_game,180
32,0.7,0.4,SO,1.3,.418,1.3,3.1,,0.0,0.0,.418,1.3,3.1,.667,0.4,0.7,32,32,6-11,"Appleton, WI",14.6,30,1.3,2.4,Dave Mader,C,3.0,,0.3," 3.0 Pts, 2.6 Reb, 0.7 Ast",wisconsin,1.2,2.6,per_game,265
33,0.4,0.0,FR,0.5,.250,0.1,0.6,.222,0.1,0.7,.235,0.3,1.3,.714,0.2,0.3,27,0,6-5,"Mt. Zion, IL",6.4,25,0.4,0.5,Neil Plank,G,0.9,,0.2," 0.9 Pts, 0.9 Reb, 0.4 Ast",wisconsin,0.4,0.9,per_game,208
34,0.1,0.1,FR,0.2,.667,0.1,0.2,.222,0.1,0.6,.333,0.3,0.9,1.000,0.1,0.1,14,0,6-5,"Reedsburg, WI",2.6,13,0.1,0.2,Clayton Hanson,G,0.9,,0.1," 0.9 Pts, 0.3 Reb, 0.1 Ast",wisconsin,0.2,0.3,per_game,195
35,0.0,0.0,FR,0.0,1.000,0.5,0.5,,0.0,0.0,1.000,0.5,0.5,,0.0,0.0,2,0,6-5,"Verona, WI",0.5,32,0.0,0.5,Deandre Buchanan,F,1.0,,0.0," 1.0 Pts, 0.0 Reb, 0.0 Ast",wisconsin,0.0,0.0,per_game,195
36,0.0,0.0,JR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,.500,0.5,1.0,2,0,6-4,"Eagan, MN",0.5,12,0.0,0.0,Max Peek,G,0.5,,0.0," 0.5 Pts, 0.0 Reb, 0.0 Ast",wisconsin,0.0,0.0,per_game,190
37,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2,0,6-5,"Green Bay, WI",0.5,52,0.0,0.0,Brent Boettcher,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",wisconsin,0.0,0.0,per_game,200
38,0.0,0.0,SO,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,6-6,"Milwaukee, WI",,10,0.0,0.0,Michael Jackson,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",wisconsin,0.0,0.0,per_game,205
39,0.3,0.0,SO,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,4,0,6-3,"Chicago, IL",0.8,3,0.0,0.0,Ike Ukawuba,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.3 Ast",wisconsin,0.3,0.0,per_game,190
40,1.1,0.6,SR,6.8,.513,5.6,11.0,.277,0.4,1.5,.485,6.1,12.5,.638,2.8,4.5,31,28,6-6,"Akron, OH",28.0,30,3.3,2.6,Greg Lewis,F,15.4,,1.5," 15.4 Pts, 10.1 Reb, 1.1 Ast",winthrop,3.0,10.1,per_game,215
41,1.5,1.1,SO,3.5,.504,2.3,4.5,.371,1.5,4.0,.441,3.7,8.5,.733,2.0,2.8,31,31,6-6,"North Augusta, SC",28.8,32,2.5,2.6,Tyrone Walker,F,11.0,,1.0," 11.0 Pts, 6.0 Reb, 1.5 Ast",winthrop,1.8,6.0,per_game,220
42,3.7,0.1,JR,2.5,.412,1.5,3.7,.327,1.1,3.3,.372,2.6,6.9,.770,3.0,3.9,31,30,6-3,"Cincinnati, OH",29.0,10,0.2,1.9,Pierre Wooten,G,9.3,,1.4," 9.3 Pts, 2.7 Reb, 3.7 Ast",winthrop,2.3,2.7,per_game,172
43,1.2,0.5,SR,4.0,.446,2.6,5.8,,0.0,0.0,.446,2.6,5.8,.641,3.0,4.7,30,23,6-6,"Arlington, VA",27.7,50,2.0,2.9,Marcus Stewart,C,8.2,,1.0," 8.2 Pts, 6.0 Reb, 1.2 Ast",winthrop,1.7,6.0,per_game,225
44,1.1,0.0,SR,0.6,.542,1.0,1.9,.329,1.6,4.8,.389,2.6,6.7,.800,0.6,0.8,31,16,6-0,"Greenville, SC",20.4,1,0.2,1.4,Tywan Harris,G,7.5,,0.5," 7.5 Pts, 0.8 Reb, 1.1 Ast",winthrop,1.3,0.8,per_game,165
45,1.6,0.0,FR,0.8,.308,0.3,0.9,.351,0.9,2.5,.340,1.1,3.3,.650,0.4,0.7,30,0,6-0,"Durham, NC",12.3,5,0.1,0.8,Ivan Jenkins,G,3.6,,0.3," 3.6 Pts, 0.9 Reb, 1.6 Ast",winthrop,1.0,0.9,per_game,175
46,0.3,0.2,SO,1.6,.429,1.0,2.2,.273,0.5,2.0,.355,1.5,4.2,.632,0.5,0.9,22,0,6-3,"Columbia, SC",13.5,42,0.8,1.6,Alex English,G,4.1,,0.5," 4.1 Pts, 2.4 Reb, 0.3 Ast",winthrop,0.9,2.4,per_game,190
47,0.1,0.3,FR,0.9,.491,0.9,1.8,,0.0,0.0,.491,0.9,1.8,.385,0.6,1.7,31,6,6-6,"Fayetteville, NC",9.6,4,0.6,1.7,Sheldon Bailey,F,2.5,,0.1," 2.5 Pts, 1.6 Reb, 0.1 Ast",winthrop,0.7,1.6,per_game,225
48,0.0,1.5,FR,1.4,.518,1.2,2.2,.000,0.0,0.1,.500,1.2,2.3,.455,0.4,0.9,25,1,6-10,"Kokomo, IN",9.6,33,0.7,1.6,Josh Grant,C,2.7,,0.2," 2.7 Pts, 2.1 Reb, 0.0 Ast",winthrop,0.7,2.1,per_game,240
49,1.2,0.0,SR,1.0,.455,0.6,1.2,.211,0.9,4.2,.265,1.4,5.4,.857,1.3,1.6,9,5,6-4,"Decatur, GA",21.4,4,0.8,2.1,Derrick Knox,G,5.1,,0.2," 5.1 Pts, 1.8 Reb, 1.2 Ast",winthrop,0.6,1.8,per_game,185
50,0.5,0.1,JR,0.8,.500,0.5,1.1,.200,0.1,0.4,.417,0.6,1.5,.462,0.3,0.5,24,10,6-2,"Goose Creek, SC",13.2,14,0.2,1.5,Tyron Myers,G,1.6,,1.1," 1.6 Pts, 0.9 Reb, 0.5 Ast",winthrop,1.0,0.9,per_game,175
51,0.5,0.1,JR,0.5,.350,0.3,0.8,.088,0.1,1.4,.185,0.4,2.3,.556,0.2,0.4,24,2,6-3,"Rock Hill, SC",7.6,20,0.3,0.7,Lavar Hemphill,G,1.2,,0.3," 1.2 Pts, 0.8 Reb, 0.5 Ast",winthrop,0.3,0.8,per_game,190
52,0.0,0.0,SO,0.8,.500,0.7,1.4,,0.0,0.0,.500,0.7,1.4,.769,1.0,1.3,10,1,6-7,"Winston-Salem, NC",5.6,25,0.4,0.9,Anthony Moore,F,2.4,,0.0," 2.4 Pts, 1.2 Reb, 0.0 Ast",winthrop,0.6,1.2,per_game,210
53,0.1,0.0,SO,0.1,1.000,0.4,0.4,.286,0.1,0.4,.615,0.5,0.8,.000,0.0,0.1,16,0,6-0,"Columbia, SC",3.6,13,0.2,0.3,Bryant Latimer,G,1.1,,0.1," 1.1 Pts, 0.3 Reb, 0.1 Ast",winthrop,0.4,0.3,per_game,167
54,0.4,0.0,SR,0.6,.286,0.4,1.4,,0.0,0.0,.286,0.4,1.4,.667,0.8,1.2,5,0,6-9,,12.8,44,0.4,1.6,Eyo Effiong,C,1.6,,0.4," 1.6 Pts, 1.0 Reb, 0.4 Ast",winthrop,0.8,1.0,per_game,235
55,0.3,0.0,SO,0.1,.600,0.4,0.7,,0.0,0.0,.600,0.4,0.7,.000,0.0,0.3,7,2,6-8,"Easley, SC",7.9,45,0.3,0.7,Gabe Leventis,F,0.9,,0.3," 0.9 Pts, 0.4 Reb, 0.3 Ast",winthrop,0.0,0.4,per_game,225
56,1.0,0.2,JR,3.6,.540,3.8,7.0,.351,0.8,2.3,.493,4.6,9.3,.563,1.3,2.2,32,32,6-8,"Richmond, VA",28.0,34,2.5,2.2,David Boyden,F,11.3,,0.4," 11.3 Pts, 6.1 Reb, 1.0 Ast",western-kentucky,1.3,6.1,per_game,230
57,3.7,0.2,FR,1.7,.506,1.4,2.7,.430,2.2,5.2,.456,3.6,7.9,.778,1.3,1.7,32,14,6-1,"Central City, KY",23.7,22,0.5,1.7,Patrick Sparks,G,10.7,,1.4," 10.7 Pts, 2.2 Reb, 3.7 Ast",western-kentucky,1.8,2.2,per_game,180
58,4.1,0.0,SR,3.8,.460,1.8,4.0,.451,1.8,3.9,.455,3.6,7.9,.656,1.4,2.1,31,31,6-1,"Paris, KY",28.3,23,1.4,1.7,Derek Robinson,G,10.4,,1.2," 10.4 Pts, 5.2 Reb, 4.1 Ast",western-kentucky,2.3,5.2,per_game,185
59,1.3,0.4,JR,2.7,.590,1.5,2.6,.355,1.3,3.8,.451,2.9,6.4,.806,1.8,2.3,32,2,6-3,"Elkton, KY",21.0,15,0.8,1.8,Mike Wells,G,8.9,,0.5," 8.9 Pts, 3.4 Reb, 1.3 Ast",western-kentucky,1.2,3.4,per_game,190
60,0.9,0.1,SO,2.0,.586,2.9,4.9,.318,0.4,1.4,.527,3.3,6.3,.727,1.8,2.4,32,18,6-9,,18.9,45,1.3,2.4,Todor Pandov,F,8.8,,0.4," 8.8 Pts, 3.3 Reb, 0.9 Ast",western-kentucky,1.9,3.3,per_game,230
61,0.2,2.6,SR,6.2,.529,5.5,10.5,,0.0,0.0,.529,5.5,10.5,.702,4.9,6.9,15,10,7-1,"Charlotte, NC",24.7,1,2.7,1.9,Chris Marcus,C,15.9,,0.2," 15.9 Pts, 8.9 Reb, 0.2 Ast",western-kentucky,2.0,8.9,per_game,285
62,1.4,0.2,JR,1.9,.464,1.0,2.2,.379,1.4,3.6,.411,2.4,5.8,.758,0.8,1.0,32,28,6-4,,19.7,13,1.1,2.5,Filip Videnov,G,6.9,,0.8," 6.9 Pts, 3.0 Reb, 1.4 Ast",western-kentucky,1.7,3.0,per_game,200
63,2.3,0.1,JR,1.7,.461,1.4,3.1,.276,0.3,1.0,.415,1.7,4.1,.753,2.1,2.8,29,18,6-0,"Memphis, TN",20.4,11,0.5,2.0,Raynardo Curry,G,5.8,,1.7," 5.8 Pts, 2.1 Reb, 2.3 Ast",western-kentucky,1.6,2.1,per_game,180
64,0.5,0.3,JR,2.2,.509,1.9,3.7,.000,0.0,0.0,.504,1.9,3.7,.639,1.5,2.3,31,4,6-8,"Raleigh, NC",16.8,30,1.2,2.0,Nate Williams,F,5.2,,0.1," 5.2 Pts, 3.3 Reb, 0.5 Ast",western-kentucky,0.9,3.3,per_game,240
65,0.8,0.2,SR,1.0,.267,0.1,0.5,.290,0.6,2.1,.286,0.7,2.6,.800,0.1,0.2,30,3,6-4,"Landover Hills, MD",11.6,42,0.6,1.2,Tremain Rowles,G,2.2,,0.4," 2.2 Pts, 1.6 Reb, 0.8 Ast",western-kentucky,0.6,1.6,per_game,200
66,0.0,0.5,SO,1.0,.517,0.6,1.1,,0.0,0.0,.517,0.6,1.1,.520,0.5,0.9,27,0,6-10,"Bowling Green, KY",6.7,3,0.7,1.3,Caleb Halcomb,F,1.6,,0.2," 1.6 Pts, 1.7 Reb, 0.0 Ast",western-kentucky,0.4,1.7,per_game,225
67,0.0,0.0,SO,0.3,1.000,0.1,0.1,,0.0,0.0,1.000,0.1,0.1,,0.0,0.0,7,0,6-5,"Louisville, KY",1.3,4,0.1,0.1,Nathan Eisert,G,0.3,,0.0," 0.3 Pts, 0.4 Reb, 0.0 Ast",western-kentucky,0.1,0.4,per_game,200
68,0.0,0.0,FR,0.5,.000,0.0,0.2,,0.0,0.0,.000,0.0,0.2,,0.0,0.0,6,0,6-7,"Bowling Green, KY",2.2,25,0.0,0.3,Kalin Holland,F,0.0,,0.0," 0.0 Pts, 0.5 Reb, 0.0 Ast",western-kentucky,0.0,0.5,per_game,250
69,2.6,0.8,SR,5.9,.529,5.8,11.0,.375,0.2,0.5,.523,6.0,11.5,.854,5.7,6.6,34,34,6-9,,30.5,25,2.2,3.1,Darius Songaila,F,17.9,1998,1.3," 17.9 Pts, 8.1 Reb, 2.6 Ast",wake-forest,3.5,8.1,per_game,248
70,2.1,1.0,JR,4.4,.558,4.6,8.3,.329,0.8,2.5,.504,5.5,10.9,.657,2.1,3.2,31,26,6-7,"Winston-Salem, NC",27.4,5,3.4,2.9,Josh Howard,F,13.9,,1.6," 13.9 Pts, 7.7 Reb, 2.1 Ast",wake-forest,2.2,7.7,per_game,210
71,2.9,0.0,SR,2.3,.463,1.5,3.2,.441,2.9,6.7,.448,4.4,9.9,.700,0.6,0.9,34,33,6-5,"Kinston, NC",29.6,42,0.4,1.8,Craig Dawson,G,12.4,1998,0.5," 12.4 Pts, 2.7 Reb, 2.9 Ast",wake-forest,1.2,2.7,per_game,205
72,0.6,1.4,SR,2.9,.563,3.8,6.8,.400,0.1,0.1,.559,3.9,6.9,.702,2.1,3.1,34,32,6-8,"New Bern, NC",27.6,34,1.8,1.8,Antwan Scott,F,10.0,1998,0.8," 10.0 Pts, 4.7 Reb, 0.6 Ast",wake-forest,1.3,4.7,per_game,197
73,3.2,0.1,SR,1.9,.496,2.0,4.0,.320,1.2,3.8,.411,3.2,7.8,.725,1.9,2.7,34,27,6-1,"Houston, TX",23.2,3,0.2,2.7,Broderick Hicks,G,9.6,1998,0.7," 9.6 Pts, 2.1 Reb, 3.2 Ast",wake-forest,2.3,2.1,per_game,171
74,0.4,0.5,FR,2.5,.579,2.4,4.1,.000,0.0,0.1,.566,2.4,4.2,.724,1.9,2.6,34,2,6-9,,16.8,13,1.7,2.4,Vytas Danelius,F,6.6,2001,0.2," 6.6 Pts, 4.2 Reb, 0.4 Ast",wake-forest,0.7,4.2,per_game,237
75,1.9,0.1,FR,1.1,.483,0.8,1.7,.408,0.9,2.1,.442,1.7,3.8,.739,0.5,0.7,34,10,6-2,"Oxford, NC",16.6,4,0.2,1.0,Taron Downey,G,4.7,,0.3," 4.7 Pts, 1.4 Reb, 1.9 Ast",wake-forest,1.2,1.4,per_game,190
76,0.9,0.1,JR,1.6,.564,0.7,1.3,.305,0.9,3.1,.381,1.6,4.3,.667,0.3,0.5,31,2,6-5,"North Olmsted, OH",13.4,33,0.9,1.6,Steve Lepore,G,4.5,,0.4," 4.5 Pts, 2.5 Reb, 0.9 Ast",wake-forest,1.0,2.5,per_game,202
77,0.5,0.2,FR,1.3,.500,0.8,1.7,.158,0.1,0.6,.406,0.9,2.3,.568,0.7,1.2,30,1,6-9,,9.4,10,0.7,1.2,Jamaal Levy,F,2.7,2001,0.3," 2.7 Pts, 2.0 Reb, 0.5 Ast",wake-forest,0.5,2.0,per_game,186
78,1.8,0.1,SR,0.8,.308,0.3,1.0,.143,0.0,0.3,.273,0.3,1.2,.609,0.5,0.9,27,3,6-5,"Teachey, NC",11.9,31,0.5,1.3,Ervin Murray,G,1.2,,0.6," 1.2 Pts, 1.3 Reb, 1.8 Ast",wake-forest,0.9,1.3,per_game,189
79,1.3,0.0,SO,2.0,.500,0.5,1.0,1.000,0.5,0.5,.667,1.0,1.5,1.000,0.5,0.5,4,0,6-3,"Georgetown, KY",7.5,3,0.0,1.8,A.W. Hamilton,G,3.0,,0.0," 3.0 Pts, 2.0 Reb, 1.3 Ast",wake-forest,1.3,2.0,per_game,185
80,0.0,0.1,SR,0.1,.429,0.4,1.0,1.000,0.1,0.1,.500,0.6,1.1,,0.0,0.0,7,0,6-6,"Rock Hill, SC",2.0,30,0.3,0.0,Brett Hickman,F,1.3,,0.0," 1.3 Pts, 0.4 Reb, 0.0 Ast",wake-forest,0.0,0.4,per_game,210
81,0.0,0.2,SO,0.4,.500,0.2,0.4,,0.0,0.0,.500,0.2,0.4,.500,0.2,0.4,5,0,,"Wilmington, NC",2.4,53,0.2,0.2,Rd Montgomery,,0.6,,0.0," 0.6 Pts, 0.6 Reb, 0.0 Ast",wake-forest,0.4,0.6,per_game,231
82,0.2,0.0,SO,0.2,.250,0.2,0.7,.000,0.0,0.2,.200,0.2,0.8,.500,0.2,0.3,6,0,6-3,"Memphis, TN",2.0,20,0.0,0.2,Alan Williams,G,0.5,,0.2," 0.5 Pts, 0.2 Reb, 0.2 Ast",wake-forest,0.2,0.2,per_game,177
83,0.3,0.0,SO,0.7,.000,0.0,0.2,.000,0.0,0.2,.000,0.0,0.3,,0.0,0.0,6,0,6-1,"San Antonio, TX",1.7,2,0.0,0.5,Walt Chancellor,G,0.0,,0.0," 0.0 Pts, 0.7 Reb, 0.3 Ast",wake-forest,0.3,0.7,per_game,175
84,2.9,0.5,SR,4.6,.508,2.8,5.6,.378,2.2,5.9,.441,5.1,11.5,.783,2.5,3.2,33,33,6-8,,31.0,1,2.0,1.7,Lubos Barton,F,14.9,,1.9," 14.9 Pts, 6.6 Reb, 2.9 Ast",valparaiso,2.0,6.6,per_game,229
85,1.5,2.1,JR,4.3,.581,4.7,8.1,.167,0.0,0.2,.572,4.7,8.3,.664,3.2,4.8,32,32,6-11,,28.8,5,2.5,3.2,Raitis Grafs,C,12.6,,1.0," 12.6 Pts, 6.8 Reb, 1.5 Ast",valparaiso,1.5,6.8,per_game,235
