,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
55,70th,209th,150th,153rd,100th,12th,237th,257th,38th,324th,5th,295th,253rd,288th,227th,326th,85th,194th,66th,337th,37th,262nd,florida-state,team_stats
56,97th,73rd,212th,317th,340th,144th,341st,21st,67th,31st,182nd,312th,195th,158th,198th,282nd,19th,284th,224th,119th,172nd,250th,duke,team_stats
57,32nd,224th,194th,201st,268th,94th,293rd,60th,170th,47th,149th,219th,294th,61st,309th,71st,65th,218th,201st,140th,221st,127th,davidson,team_stats
58,173rd,77th,127th,208th,128th,3rd,282nd,322nd,182nd,322nd,9th,319th,53rd,333rd,24th,333rd,172nd,185th,99th,219th,291st,279th,connecticut,team_stats
59,287th,183rd,154th,335th,329th,173rd,327th,278th,268th,247th,223rd,322nd,101st,85th,118th,102nd,73rd,326th,244th,236th,309th,119th,creighton,team_stats
60,128th,308th,293rd,258th,214th,57th,276th,281st,95th,316th,36th,314th,118th,14th,175th,204th,86th,244th,70th,248th,155th,276th,colorado,team_stats
61,138th,157th,29th,134th,61st,213th,45th,287th,234th,266th,194th,123rd,237th,242nd,218th,61st,137th,174th,206th,25th,271st,28th,colorado-state,team_stats
62,291st,247th,337th,304th,304th,71st,329th,198th,82nd,261st,68th,327th,45th,130th,47th,331st,195th,249th,40th,142nd,52nd,341st,cincinnati,team_stats
63,312th,92nd,331st,295th,269th,165th,272nd,281st,46th,330th,87th,317th,182nd,57th,220th,160th,49th,298th,185th,233rd,16th,299th,brigham-young,team_stats
64,112th,43rd,111th,211th,244th,76th,288th,118th,105th,146th,95th,262nd,15th,132nd,16th,71st,142nd,122nd,45th,27th,164th,81st,california,team_stats
65,276th,331st,207th,306th,306th,140th,311th,198th,156th,216th,162nd,304th,206th,31st,252nd,291st,53rd,300th,188th,244th,66th,257th,belmont,team_stats
66,320th,268th,186th,329th,313th,90th,328th,293rd,139th,311th,107th,336th,258th,142nd,265th,324th,28th,334th,117th,334th,28th,274th,baylor,team_stats
67,33rd,237th,70th,21st,54th,41st,131st,41st,4th,146th,15th,132nd,137th,10th,192nd,225th,253rd,24th,9th,60th,159th,127th,alabama,team_stats
