,year,winner,team_one,team_two,score_one,score_two
181,2010,West Virginia,Kentucky,West Virginia,66,73
182,2010,Duke,West Virginia,Duke,57,78
183,2010,Duke,Duke,Butler,61,59
184,2010,Wake Forest,Texas,Wake Forest,80,81
185,2010,Wisconsin,Wisconsin,Wofford,53,49
186,2010,Cornell,Wisconsin,Cornell,69,87
187,2002,Alabama,Alabama,Florida Atlantic,86,78
188,2002,Kent State,Alabama,Kent State,58,71
189,2002,Kent State,Kent State,Pittsburgh,78,73
190,2002,Kent State,Oklahoma State,Kent State,61,69
191,2002,Pittsburgh,Pittsburgh,Central Connecticut State,71,54
192,2002,Pittsburgh,Pittsburgh,California,63,50
193,2002,California,California,Penn,82,75
194,2009,Xavier,Xavier,Wisconsin,60,49
195,2009,Wisconsin,Florida State,Wisconsin,59,61
196,2009,Duke,Duke,Binghamton,86,62
197,2006,Villanova,Villanova,Monmouth,58,45
198,2006,Villanova,Villanova,Arizona,82,78
199,2006,Villanova,Villanova,Boston College,60,59
200,2006,Florida,Villanova,Florida,62,75
201,2006,Monmouth,Monmouth,Hampton,71,49
202,2006,Arizona,Arizona,Wisconsin,94,75
203,2006,Boston College,Boston College,Pacific,76,2
204,2006,Boston College,Boston College,Montana,69,56
205,2006,Montana,Nevada,Montana,79,87
206,2004,Gonzaga,Gonzaga,Valparaiso,76,49
207,2004,Nevada,Gonzaga,Nevada,72,91
208,2004,Georgia Tech,Nevada,Georgia Tech,67,72
209,2004,Nevada,Michigan State,Nevada,66,72
210,2004,Georgia Tech,Georgia Tech,Northern Iowa,65,60
211,2004,Georgia Tech,Georgia Tech,Boston College,57,54
212,2004,Boston College,Boston College,Utah,58,51
213,2007,UNLV,UNLV,Georgia Tech,67,63
214,2007,Oregon,Oregon,Miami OH,58,56
215,2007,Oregon,Oregon,Winthrop,75,61
216,2007,Winthrop,Notre Dame,Winthrop,64,74
217,2007,Kansas,Kansas,Niagara,107,67
218,2007,Kansas,Kansas,Kentucky,88,76
