,year,winner,team_one,team_two,score_one,score_two
1065,2013,Marquette,Miami (FL),Marquette,61,71
1066,2013,Illinois,Illinois,Colorado,57,49
1067,2013,Marquette,Marquette,Davidson,59,58
1068,2013,Marquette,Marquette,Butler,74,72
1069,2013,Butler,Butler,Bucknell,68,56
1070,2014,Michigan State,Michigan State,Harvard,80,73
1071,2014,Harvard,Cincinnati,Harvard,57,61
1072,2014,Villanova,Villanova,Milwaukee,73,53
1073,2014,Connecticut,Villanova,Connecticut,65,77
1074,2014,Connecticut,Connecticut,Iowa State,81,76
1075,2014,Connecticut,Connecticut,Saint Joseph's,89,81
1076,2014,Iowa State,Iowa State,North Carolina Central,93,75
1077,2014,Iowa State,Iowa State,North Carolina,85,83
1078,2014,North Carolina,North Carolina,Providence,79,77
1079,2015,NC State,NC State,LSU,66,65
1080,2015,Louisville,Louisville,UC Irvine,57,55
1081,2015,Louisville,Louisville,Northern Iowa,66,53
1082,2015,Northern Iowa,Northern Iowa,Wyoming,71,54
1083,2015,Virginia,Virginia,Belmont,79,67
1084,2015,Michigan State,Virginia,Michigan State,54,60
1085,2015,Michigan State,Michigan State,Oklahoma,62,58
1086,2015,Michigan State,Michigan State,Georgia,70,63
1087,2015,Oklahoma,Oklahoma,Albany,69,60
1088,2017,North Carolina,North Carolina,Arkansas,72,65
1089,2017,North Carolina,North Carolina,Butler,92,80
1090,2017,North Carolina,North Carolina,Kentucky,75,73
1091,2017,Arkansas,Arkansas,Seton Hall,77,71
1092,2017,Butler,Butler,Winthrop,76,64
1093,2017,Butler,Butler,Middle Tennessee,74,65
1094,2017,Middle Tennessee,Minnesota,Middle Tennessee,72,81
1095,2017,Kentucky,Kentucky,Northern Kentucky,79,70
1096,2018,Texas A&M,North Carolina,Texas A&M,65,86
1097,2018,Michigan,Texas A&M,Michigan,72,99
1098,2018,Texas A&M,Texas A&M,Providence,73,69
1099,2018,Michigan,Michigan,Montana,61,47
1100,2018,Michigan,Michigan,Houston,64,63
1101,2018,Houston,Houston,San Diego State,67,65
1102,2015,Oklahoma,Oklahoma,Dayton,72,66
1103,2015,Dayton,Providence,Dayton,53,66
1104,2015,Dayton,Dayton,Boise State,56,55
1105,2017,Kentucky,Kentucky,Wichita State,65,62
1106,2017,Kentucky,Kentucky,UCLA,86,75
1107,2017,Wichita State,Dayton,Wichita State,58,64
1108,2017,UCLA,UCLA,Kent State,97,80
1109,2017,UCLA,UCLA,Cincinnati,79,67
1110,2017,Cincinnati,Cincinnati,Kansas State,75,61
1111,2017,Kansas State,Kansas State,Wake Forest,95,88
