,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
140,55.1,7.9,.475,.391,.229,.347,32,21,15,7,10,95.1,2079,29.6,67.2,2054,Kansas State,9.48,8.70,12.8,18.4,48.9,.506,.344,11,3,9,1
141,50.8,13.6,.541,.329,.234,.350,31,3,1,1,1,109.4,1882,32.8,67.9,2312,Kansas,11.63,24.96,11.2,16.2,54.7,.564,.903,28,17,14,11
142,42.0,5.5,.393,.309,.228,.325,29,28,16,10,16,81.1,2181,25.8,68.1,1602,Kennesaw State,-2.63,-22.60,7.4,19.0,45.9,.439,.034,1,0,1,0
143,50.2,11.2,.523,.405,.206,.283,32,12,9,3,7,107.2,2241,30.7,70.1,2442,Kent State,-0.72,3.68,9.6,15.5,50.7,.551,.625,20,9,14,5
144,52.2,13.6,.507,.266,.325,.408,31,6,3,2,2,107.9,2049,30.8,68.5,2307,Kentucky,7.46,15.78,7.6,15.8,53.0,.561,.806,25,15,16,8
145,55.0,8.9,.484,.416,.220,.331,30,15,12,7,8,96.2,2098,28.6,69.8,2040,La Salle,1.71,-0.23,11.4,18.1,49.6,.513,.500,15,6,8,4
146,59.3,11.3,.527,.439,.177,.239,31,12,8,5,7,103.6,2133,23.4,67.7,2174,Lafayette,-5.94,-5.91,7.0,16.0,49.7,.553,.613,19,10,9,10
147,51.4,12.3,.486,.301,.242,.344,32,15,10,5,10,99.9,2227,30.8,71.7,2312,Lamar,-6.45,-7.24,12.3,17.4,49.1,.522,.531,17,10,10,6
148,48.9,7.1,.496,.291,.191,.260,32,21,11,6,15,97.5,2339,26.3,69.5,2184,Lehigh,-3.90,-10.93,7.8,17.6,50.7,.527,.344,11,7,8,3
149,53.0,9.3,.554,.405,.222,.312,34,4,3,0,4,111.8,1830,24.8,61.3,2332,Liberty,-7.26,5.15,9.2,13.6,53.2,.579,.882,30,13,17,7
150,50.7,7.4,.510,.346,.200,.288,32,16,7,5,11,102.0,2261,27.1,68.8,2255,Lipscomb,-4.45,-7.08,7.8,16.3,50.4,.536,.500,16,9,9,7
151,45.9,11.4,.484,.298,.238,.340,32,21,10,6,13,93.1,2404,25.4,71.8,2157,Cal State Long Beach,1.08,-8.72,8.2,19.9,48.0,.519,.344,11,6,8,2
152,54.3,8.2,.520,.461,.233,.326,33,18,9,6,11,101.2,2534,21.5,73.9,2504,Long Island University,-6.16,-8.38,9.0,16.9,46.2,.551,.455,15,9,8,6
153,48.5,6.7,.487,.481,.233,.332,32,18,9,6,11,96.5,2195,23.6,68.5,2148,Longwood,-9.31,-12.45,9.7,17.5,48.7,.521,.438,14,9,8,6
