,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
39,310th,345th,255th,316th,310th,216th,314th,190th,238th,168th,255th,304th,28th,199th,26th,323rd,294th,241st,283rd,138th,255th,313th,miami-fl,team_stats
40,205th,56th,69th,206th,190th,250th,140th,236th,120th,268th,196th,209th,209th,15th,260th,157th,287th,227th,202nd,293rd,200th,90th,mercer,team_stats
41,191st,271st,117th,105th,93rd,22nd,188th,184th,147th,204th,31st,198th,24th,135th,24th,157th,90th,51st,45th,60th,300th,121st,maryland,team_stats
42,143rd,264th,210th,9th,102nd,116th,108th,3rd,41st,7th,134th,9th,181st,181st,176th,268th,335th,7th,8th,30th,10th,245th,merrimack,team_stats
43,298th,140th,26th,305th,230th,133rd,272nd,328th,310th,305th,194th,324th,172nd,322nd,138th,319th,117th,306th,299th,342nd,134th,118th,mcneese-state,team_stats
44,259th,307th,348th,211th,202nd,267th,145th,205th,221st,186th,261st,161st,267th,100th,279th,268th,326th,250th,230th,322nd,49th,343rd,maryland-eastern-shore,team_stats
45,38th,170th,333rd,224th,242nd,14th,342nd,160th,185th,150th,46th,329th,322nd,95th,338th,352nd,306th,289th,279th,349th,39th,349th,marshall,team_stats
46,273rd,232nd,181st,336th,337th,329th,299th,231st,226th,212th,325th,309th,155th,208th,144th,258th,31st,324th,319th,262nd,139th,218th,massachusetts-lowell,team_stats
47,173rd,112th,93rd,150th,179th,64th,256th,110th,129th,124th,77th,208th,217th,21st,263rd,173rd,109th,150th,243rd,192nd,342nd,114th,marquette,team_stats
48,173rd,19th,112th,96th,51st,260th,17th,261st,111th,297th,157th,80th,195th,344th,144th,125th,330th,120th,141st,322nd,251st,105th,maine,team_stats
49,151st,155th,274th,156th,77th,161st,59th,300th,110th,337th,76th,213th,217th,336th,168th,162nd,81st,192nd,110th,243rd,120th,243rd,maryland-baltimore-county,team_stats
50,131st,13th,181st,8th,3rd,122nd,3rd,187th,254th,154th,118th,8th,244th,285th,231st,23rd,292nd,39th,69th,162nd,189th,100th,marist,team_stats
51,158th,352nd,267th,246th,248th,179th,257th,198th,131st,226th,170th,284th,108th,160th,107th,255th,229th,215th,194th,138th,217th,278th,morehead-state,team_stats
52,131st,129th,186th,14th,49th,43rd,90th,29th,272nd,13th,107th,15th,304th,61st,330th,193rd,99th,47th,41st,169th,75th,201st,manhattan,team_stats
53,313th,232nd,284th,327th,280th,262nd,247th,331st,311th,314th,279th,319th,199th,314th,165th,193rd,271st,330th,328th,92nd,285th,265th,nebraska-omaha,team_stats
54,40th,300th,64th,108th,131st,40th,227th,110th,72nd,154th,37th,202nd,159th,87th,174th,98th,61st,95th,49th,150th,182nd,62nd,murray-state,team_stats
55,317th,206th,203rd,294th,274th,275th,231st,268th,146th,293rd,233rd,298th,259th,268th,243rd,278th,20th,307th,303rd,262nd,189th,246th,loyola-md,team_stats
56,181st,282nd,239th,170th,143rd,119th,176th,205th,305th,131st,199th,141st,91st,160th,91st,160th,117th,141st,101st,81st,294th,210th,mount-st-marys,team_stats
57,30th,81st,190th,72nd,149th,127th,178th,23rd,233rd,11th,212th,30th,333rd,227th,331st,29th,271st,129th,154th,106th,106th,112th,montana,team_stats
58,273rd,253rd,138th,115th,57th,152nd,45th,282nd,208th,278th,128th,120th,325th,252nd,319th,61st,90th,221st,198th,184th,251st,103rd,nevada-las-vegas,team_stats
59,168th,329th,41st,46th,36th,225th,16th,163rd,236th,130th,213th,23rd,30th,41st,39th,20th,294th,18th,39th,84th,322nd,16th,navy,team_stats
60,67th,241st,103rd,51st,75th,91st,83rd,105th,61st,154th,59th,88th,350th,152nd,350th,261st,54th,187th,220th,251st,106th,158th,morgan-state,team_stats
61,237th,206th,314th,270th,248th,55th,322nd,261st,218th,242nd,83rd,335th,5th,246th,5th,299th,315th,187th,161st,97th,281st,325th,notre-dame,team_stats
62,325th,236th,293rd,173rd,94th,129th,91st,302nd,243rd,304th,120th,199th,103rd,171st,97th,264th,334th,165th,199th,60th,341st,293rd,northwestern,team_stats
63,228th,31st,93rd,176th,160th,24th,281st,190th,251st,164th,65th,257th,304th,189th,308th,343rd,186th,241st,316th,340th,194th,237th,northwestern-state,team_stats
64,79th,25th,199th,139th,110th,132nd,114th,242nd,164th,240th,116th,173rd,247th,353rd,168th,68th,139th,183rd,156th,177th,209th,147th,ohio,team_stats
65,215th,241st,150th,88th,54th,146th,44th,242nd,29th,326th,41st,172nd,231st,266th,214th,268th,162nd,125th,79th,169th,98th,206th,oklahoma-state,team_stats
66,327th,129th,248th,279th,186th,197th,176th,338th,164th,348th,135th,324th,50th,32nd,74th,326th,15th,262nd,189th,273rd,211th,311th,oakland,team_stats
67,111th,37th,292nd,182nd,110th,17th,224th,298th,213th,307th,32nd,307th,3rd,187th,2nd,264th,226th,109th,121st,143rd,301st,289th,oklahoma,team_stats
68,45th,140th,28th,42nd,25th,18th,82nd,174th,159th,176th,24th,99th,68th,98th,70th,101st,117th,30th,25th,21st,265th,32nd,ohio-state,team_stats
69,187th,6th,245th,166th,236th,125th,280th,37th,16th,111th,84th,221st,107th,23rd,154th,321st,69th,109th,64th,81st,71st,297th,northern-kentucky,team_stats
70,51st,37th,92nd,202nd,225th,324th,123rd,147th,162nd,149th,299th,108th,141st,272nd,117th,25th,294th,181st,92nd,64th,136th,41st,northeastern,team_stats
71,1st,93rd,130th,170th,331st,184th,342nd,1st,4th,1st,250th,101st,13th,118th,13th,10th,333rd,29th,23rd,8th,320th,45th,northern-colorado,team_stats
72,87th,181st,185th,45th,23rd,122nd,28th,190th,53rd,275th,44th,90th,141st,264th,124th,49th,278th,50th,44th,14th,307th,133rd,northern-illinois,team_stats
73,36th,21st,28th,122nd,119th,87th,150th,172nd,192nd,162nd,109th,142nd,11th,68th,18th,28th,332nd,55th,50th,234th,346th,11th,northern-iowa,team_stats
74,176th,31st,103rd,162nd,166th,277th,95th,156th,306th,88th,310th,52nd,43rd,295th,32nd,20th,305th,105th,177th,34th,244th,42nd,northern-arizona,team_stats
75,24th,129th,1st,23rd,34th,79th,49th,93rd,283rd,39th,141st,21st,203rd,101st,230th,87th,266th,34th,28th,279th,153rd,3rd,north-texas,team_stats
76,181st,112th,81st,108th,47th,210th,26th,293rd,150th,317th,119th,114th,146th,35th,180th,125th,142nd,125th,79th,4th,314th,82nd,radford,team_stats
77,330th,129th,246th,346th,353rd,254th,353rd,10th,106th,8th,322nd,340th,152nd,141st,157th,328th,287th,317th,282nd,124th,268th,313th,north-florida,team_stats
78,193rd,307th,69th,28th,24th,139th,27th,135th,52nd,204th,60th,42nd,118th,190th,107th,92nd,280th,26th,19th,38th,168th,63rd,purdue,team_stats
79,97th,236th,186th,59th,103rd,130th,106th,67th,73rd,98th,103rd,65th,252nd,174th,253rd,170th,102nd,81st,84th,267th,67th,194th,providence,team_stats
80,183rd,195th,239th,137th,179th,185th,172nd,93rd,22nd,171st,113th,168th,84th,164th,79th,231st,142nd,92nd,167th,46th,93rd,246th,rhode-island,team_stats
81,264th,155th,106th,202nd,191st,78th,262nd,225th,302nd,162nd,157th,233rd,15th,56th,21st,119th,324th,129th,215th,203rd,352nd,101st,quinnipiac,team_stats
82,266th,241st,139th,221st,106th,303rd,35th,344th,322nd,322nd,288th,146th,263rd,168th,262nd,139th,234th,293rd,286th,306th,281st,134th,presbyterian,team_stats
83,277th,140th,289th,322nd,304th,334th,227th,271st,160th,286th,301st,293rd,109th,52nd,144th,170th,158th,303rd,294th,169th,217th,263rd,rice,team_stats
84,8th,112th,3rd,56th,160th,282nd,88th,11th,268th,4th,331st,2nd,16th,343rd,6th,2nd,345th,7th,171st,54th,347th,1st,princeton,team_stats
85,13th,71st,18th,2nd,57th,52nd,102nd,2nd,118th,2nd,101st,1st,146th,352nd,79th,19th,308th,2nd,5th,38th,157th,8th,sacramento-state,team_stats
86,127th,293rd,126th,31st,13th,11th,77th,187th,76th,253rd,8th,142nd,70th,201st,57th,162nd,234th,26th,19th,50th,217th,129th,rutgers,team_stats
87,30th,333rd,145th,60th,104th,75th,147th,71st,19th,139th,38th,129th,152nd,129th,159th,215th,172nd,52nd,17th,206th,34th,177th,stanford,team_stats
88,348th,93rd,197th,150th,34th,148th,30th,342nd,122nd,352nd,55th,233rd,192nd,292nd,163rd,340th,155th,199th,174th,119th,102nd,298th,syracuse,team_stats
89,298th,218th,54th,131st,18th,156th,18th,347th,226th,349th,90th,175th,112th,86th,138th,220th,172nd,158th,69th,124th,251st,92nd,stetson,team_stats
90,265th,120th,98th,74th,21st,182nd,14th,292nd,163rd,306th,105th,88th,134th,66th,161st,101st,320th,97th,109th,56th,281st,87th,st-bonaventure,team_stats
91,291st,347th,346th,194th,137th,159th,136th,285th,99th,323rd,92nd,260th,284th,56th,301st,334th,193rd,254th,241st,50th,11th,347th,st-johns-ny,team_stats
92,270th,112th,271st,162nd,65th,8th,193rd,323rd,203rd,334th,14th,316th,101st,88th,127th,278th,161st,165th,73rd,214th,126th,285th,stony-brook,team_stats
93,105th,140th,286th,186th,219th,120th,257th,114th,296th,56th,215th,161st,267th,163rd,266th,209th,266th,201st,242nd,76th,139th,273rd,st-francis-ny,team_stats
94,97th,333rd,129th,101st,143rd,25th,257th,59th,47th,113th,25th,199th,287th,206th,285th,37th,72nd,129th,87th,102nd,217th,71st,southern-utah,team_stats
95,83rd,264th,5th,26th,27th,104th,31st,125th,258th,83rd,147th,24th,328th,275th,319th,68th,5th,99th,113th,326th,1st,9th,stephen-f-austin,team_stats
96,15th,253rd,79th,79th,173rd,190th,162nd,14th,94th,18th,217th,34th,345th,48th,347th,35th,77th,149th,117th,115th,75th,42nd,southern,team_stats
97,307th,181st,173rd,156th,123rd,265th,62nd,225th,173rd,226th,221st,102nd,317th,292nd,305th,215th,262nd,234th,275th,143rd,177th,200th,southern-illinois-edwardsville,team_stats
98,113th,108th,113th,91st,71st,9th,197th,205th,84th,266th,9th,247th,94th,137th,103rd,264th,127th,76th,77th,336th,230th,171st,southern-california,team_stats
99,212th,31st,117th,161st,52nd,273rd,15th,337th,207th,346th,178th,146th,236th,329th,191st,139th,338th,221st,262nd,311th,247th,114th,southern-mississippi,team_stats
100,251st,100th,6th,86th,27th,102nd,32nd,291st,267th,266th,109th,92nd,81st,320th,50th,188th,273rd,82nd,155th,251st,268th,29th,southern-methodist,team_stats
101,215th,293rd,345th,304th,258th,223rd,248th,297th,256th,292nd,231st,304th,307th,150th,313th,215th,113th,331st,329th,103rd,102nd,331st,texas-san-antonio,team_stats
102,321st,181st,262nd,288th,320th,350th,202nd,110th,161st,109th,343rd,137th,338th,335th,318th,285th,117th,321st,335th,306th,9th,283rd,southeastern-louisiana,team_stats
103,193rd,245th,210th,134th,197th,178th,202nd,54th,90th,80th,181st,117th,11th,107th,13th,236th,266th,47th,15th,214th,129th,227th,southern-illinois,team_stats
104,251st,339th,284th,291st,308th,313th,257th,141st,293rd,83rd,335th,180th,301st,316th,288th,196th,18th,310th,307th,97th,112th,267th,vanderbilt,team_stats
105,171st,87th,56th,113th,57th,115th,60th,274th,133rd,300th,68th,163rd,172nd,318th,141st,137th,197th,134th,93rd,17th,320th,61st,towson,team_stats
106,44th,129th,37th,67th,43rd,67th,67th,220th,342nd,105th,178th,37th,214th,281st,187th,42nd,121st,101st,116th,88th,215th,20th,ucla,team_stats
107,97th,282nd,173rd,148th,245th,81st,305th,18th,132nd,19th,154th,154th,247th,332nd,217th,108th,124th,140th,225th,109th,268th,145th,utah-valley,team_stats
108,313th,336th,117th,150th,177th,107th,217th,114th,303rd,50th,207th,113th,76th,20th,124th,236th,314th,101st,55th,214th,96th,152nd,texas-christian,team_stats
109,140th,253rd,159th,184th,106th,29th,208th,302nd,86th,345th,17th,326th,81st,130th,84th,85th,11th,167th,36th,303rd,164th,129th,utah-state,team_stats
110,113th,253rd,108th,43rd,12th,145th,13th,242nd,29th,326th,27th,100th,67th,202nd,53rd,196th,85th,37th,30th,293rd,85th,132nd,tulsa,team_stats
111,113th,170th,217th,55th,97th,84th,126th,71st,225th,39th,140th,42nd,207th,172nd,212th,211th,250th,63rd,58th,221st,15th,218th,virginia-commonwealth,team_stats
112,123rd,170th,168th,191st,266th,134th,297th,45th,144th,42nd,189th,191st,17th,155th,15th,61st,300th,87th,91st,81st,313th,126th,villanova,team_stats
113,187th,68th,349th,208th,156th,249th,112th,282nd,174th,294th,204th,206th,282nd,117th,292nd,220th,113th,270th,193rd,173rd,155th,338th,wyoming,team_stats
114,247th,68th,232nd,284th,211th,295th,131st,325th,197th,339th,241st,285th,238th,225th,236th,66th,182nd,310th,159th,243rd,133rd,165th,wofford,team_stats
115,232nd,271st,229th,305th,310th,154th,335th,167th,264th,127th,227th,311th,203rd,137th,219th,299th,149th,295th,232nd,119th,230th,273rd,youngstown-state,team_stats
116,151st,253rd,190th,181st,207th,82nd,277th,125th,49th,187th,62nd,270th,164th,281st,148th,251st,127th,156th,126th,298th,164th,223rd,xavier,team_stats
117,235th,282nd,257th,272nd,269th,252nd,243rd,220th,129th,244th,220th,277th,337th,24th,346th,145th,1st,322nd,239th,278th,34th,223rd,winthrop,team_stats
118,48th,120th,237th,282nd,323rd,97th,350th,86th,35th,150th,96th,341st,125th,194th,117th,326th,16th,237th,216th,192nd,85th,299th,wright-state,team_stats
119,51st,112th,173rd,79th,133rd,31st,242nd,45th,187th,33rd,69th,111th,18th,91st,22nd,92nd,266th,21st,14th,21st,332nd,139th,wisconsin,team_stats
120,88th,100th,60th,57th,53rd,51st,92nd,167th,67th,229th,23rd,140th,34th,256th,27th,14th,261st,31st,57th,203rd,298th,20th,yale,team_stats
121,103rd,100th,103rd,233rd,226th,85th,288th,215th,282nd,167th,164th,275th,70th,208th,55th,55th,250th,194th,169th,251st,348th,66th,william-mary,team_stats
122,21st,327th,203rd,20th,61st,15th,154th,32nd,42nd,70th,15th,85th,274th,123rd,279th,49th,127th,42nd,34th,150th,112th,142nd,wichita-state,team_stats
123,168th,100th,93rd,265th,290th,318th,217th,142nd,32nd,232nd,245th,244th,6th,310th,3rd,271st,190th,154th,250th,49th,200th,156th,western-kentucky,team_stats
124,170th,162nd,271st,272nd,263rd,200th,269th,236th,184th,232nd,206th,289th,168th,88th,190th,275th,42nd,267th,254th,192nd,289th,283rd,western-michigan,team_stats
125,26th,14th,147th,148th,173rd,330th,65th,114th,340th,25th,344th,18th,176th,337th,132nd,6th,352nd,135th,346th,2nd,350th,45th,western-illinois,team_stats
126,135th,253rd,86th,265th,245th,292nd,181st,256th,76th,310th,211th,276th,201st,243rd,184th,112th,42nd,275th,300th,221st,246th,82nd,western-carolina,team_stats
127,19th,232nd,39th,9th,41st,42nd,80th,30th,12th,107th,16th,58th,246th,215th,245th,160th,7th,23rd,16th,303rd,46th,52nd,west-virginia,team_stats
128,294th,49th,229th,320th,309th,193rd,321st,220th,306th,143rd,266th,300th,26th,205th,19th,139th,254th,251st,233rd,162nd,276th,201st,weber-state,team_stats
129,272nd,129th,67th,98th,41st,271st,10th,282nd,350th,133rd,314th,17th,316th,167th,324th,82nd,292nd,195th,322nd,162nd,260th,58th,wagner,team_stats
130,215th,218th,336th,175th,112th,158th,102nd,287th,127th,316th,99th,225th,38th,73rd,49th,119th,342nd,137th,98th,3rd,260th,306th,virginia-tech,team_stats
131,2nd,49th,13th,1st,1st,5th,4th,67th,17th,145th,2nd,9th,1st,80th,1st,14th,349th,1st,1st,177th,315th,5th,virginia,team_stats
132,45th,56th,199th,25th,8th,3rd,74th,205th,104th,247th,5th,137th,134th,194th,134th,49th,139th,36th,4th,131st,158th,141st,vermont,team_stats
133,276th,8th,98th,107th,90th,4th,250th,190th,81st,254th,6th,287th,234th,242nd,223rd,347th,63rd,135th,96th,271st,123rd,248th,washington,team_stats
134,262nd,120th,304th,217th,202nd,245th,162nd,231st,117th,264th,197th,227th,317th,245th,311th,240th,311th,293rd,228th,131st,146th,299th,virginia-military-institute,team_stats
135,109th,321st,338th,253rd,318th,269th,293rd,36th,92nd,46th,276th,195th,177th,82nd,198th,111th,74th,209th,187th,109th,52nd,304th,washington-state,team_stats
136,208th,282nd,163rd,251st,271st,203rd,275th,160th,192nd,140th,227th,235th,277th,159th,281st,162nd,28th,280th,304th,318th,336th,165th,wake-forest,team_stats
137,327th,140th,301st,166th,112th,338th,25th,271st,245th,249th,297th,64th,60th,114th,64th,188th,209th,137th,221st,27th,46th,276th,tulane,team_stats
138,17th,140th,133rd,67th,194th,77th,270th,5th,124th,5th,150th,54th,146th,13th,204th,261st,345th,34th,28th,177th,149th,186th,texas,team_stats
139,225th,317th,62nd,246th,248th,174th,265th,198th,299th,135th,244th,229th,27th,296th,12th,157th,96th,168th,204th,228th,268th,76th,utah,team_stats
140,312th,108th,341st,337th,332nd,236th,334th,279th,321st,200th,300th,331st,222nd,98th,242nd,240th,165th,336th,234th,287th,38th,333rd,valparaiso,team_stats
141,273rd,300th,288th,196th,173rd,287th,98th,236th,240th,210th,266th,124th,279th,142nd,285th,224th,193rd,248th,287th,232nd,93rd,278th,troy,team_stats
142,105th,206th,228th,243rd,211th,71st,285th,274th,269th,237th,115th,315th,83rd,162nd,77th,278th,67th,225th,201st,232nd,274th,257th,toledo,team_stats
143,10th,195th,59th,35th,82nd,66th,123rd,37th,65th,64th,57th,60th,194th,115th,210th,203rd,85th,37th,30th,158th,34th,93rd,texas-tech,team_stats
144,67th,227th,130th,49th,71st,49th,116th,100th,108th,119th,54th,86th,284th,224th,276th,251st,96th,87th,43rd,44th,62nd,177th,texas-state,team_stats
145,294th,340th,252nd,308th,296th,167th,316th,231st,262nd,193rd,223rd,318th,295th,253rd,285th,305th,4th,322nd,318th,336th,54th,286th,texas-southern,team_stats
146,226th,170th,326th,176th,226th,112th,278th,76th,20th,145th,78th,241st,252nd,76th,273rd,298th,217th,179th,151st,27th,242nd,327th,texas-arlington,team_stats
147,259th,8th,159th,101st,115th,247th,64th,125th,344th,26th,318th,18th,294th,216th,288th,61st,162nd,145th,236th,42nd,21st,121st,texas-pan-american,team_stats
148,333rd,181st,217th,264th,252nd,307th,171st,242nd,317th,147th,329th,152nd,63rd,179th,53rd,134th,350th,217th,260th,267th,155th,191st,tennessee-tech,team_stats
149,83rd,93rd,74th,202nd,207th,99th,257th,184th,74th,245th,74th,295th,338th,258th,336th,289th,188th,292nd,226th,306th,197th,150th,tennessee-state,team_stats
150,71st,56th,266th,122nd,156th,135th,187th,86th,51st,135th,95th,159th,227th,210th,223rd,134th,149th,127th,82nd,109th,120th,227th,texas-el-paso,team_stats
151,262nd,311th,43rd,30th,2nd,188th,1st,322nd,157th,341st,66th,40th,34th,339th,16th,247th,127th,32nd,61st,184th,106th,86th,texas-am,team_stats
152,171st,227th,33rd,131st,186th,193rd,178th,71st,87th,93rd,185th,108th,313th,291st,303rd,182nd,146th,190th,163rd,351st,168th,54th,texas-am-corpus-christi,team_stats
153,13th,120th,48th,37th,69th,16th,160th,71st,182nd,52nd,44th,76th,215th,169th,223rd,249th,54th,45th,40th,325th,211th,96th,tennessee,team_stats
154,345th,87th,18th,326th,266th,352nd,75th,339th,351st,268th,351st,154th,38th,79th,46th,271st,303rd,304th,348th,124th,303rd,73rd,tennessee-martin,team_stats
155,205th,206th,332nd,288th,252nd,326th,146th,293rd,313th,230th,327th,193rd,324th,244th,319th,211th,162nd,329th,297th,150th,96th,318th,south-carolina-upstate,team_stats
156,235th,340th,307th,114th,79th,76th,112th,248th,69th,302nd,30th,218th,146th,219th,138th,211th,254th,118th,136th,184th,197th,289th,temple,team_stats
157,67th,181st,68th,41st,50th,281st,12th,110th,201st,91st,255th,7th,90th,64th,117th,12th,193rd,28th,21st,214th,57th,28th,south-florida,team_stats
158,307th,218th,259th,268th,258th,331st,148th,231st,328th,129th,341st,122nd,183rd,119th,201st,112th,165th,268th,295th,63rd,244th,212th,southeast-missouri-state,team_stats
159,113th,218th,86th,281st,287th,181st,293rd,198th,56th,282nd,129th,329th,56th,43rd,70th,285th,81st,230th,208th,243rd,309th,158th,south-dakota-state,team_stats
160,83rd,287th,156th,12th,19th,54th,46th,80th,21st,150th,18th,46th,353rd,290th,353rd,211th,23rd,152nd,184th,138th,49th,186th,south-carolina,team_stats
161,97th,39th,168th,303rd,295th,238th,283rd,220th,312th,138th,294th,251st,234th,316th,193rd,14th,11th,302nd,293rd,50th,298th,76th,south-dakota,team_stats
162,237th,300th,55th,128th,32nd,191st,21st,331st,259th,330th,147th,128th,30th,121st,34th,251st,210th,112th,124th,46th,136th,107th,south-alabama,team_stats
163,43rd,271st,16th,125th,183rd,161st,189th,59th,109th,75th,175th,104th,63rd,331st,38th,58th,220th,71st,130th,64th,316th,17th,siena,team_stats
164,64th,140th,24th,189th,226th,328th,126th,105th,253rd,64th,332nd,62nd,187th,30th,240th,78th,190th,168th,309th,27th,307th,25th,south-carolina-state,team_stats
