,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
22,145th,323rd,186th,174th,216th,32nd,295th,101st,39th,176th,33rd,280th,150th,69th,183rd,320th,34th,145th,75th,334th,67th,267th,seton-hall,team_stats
23,240th,134th,334th,319th,273rd,204th,264th,335th,25th,350th,79th,338th,33rd,179th,30th,197th,52nd,292nd,127th,26th,179th,308th,saint-josephs,team_stats
24,152nd,118th,70th,190th,222nd,17th,319th,127th,32nd,219th,10th,313th,55th,187th,53rd,92nd,45th,124th,31st,273rd,337th,62nd,purdue,team_stats
25,260th,224th,332nd,308th,330th,237th,303rd,133rd,58th,208th,203rd,298th,57th,284th,43rd,251st,59th,260th,130th,236th,23rd,318th,providence,team_stats
26,200th,185th,14th,145th,153rd,127th,189th,136th,222nd,115th,159th,151st,45th,17th,72nd,70th,242nd,71st,60th,119th,251st,17th,pittsburgh,team_stats
27,298th,211th,241st,324th,307th,63rd,331st,313th,270th,291st,108th,333rd,183rd,152nd,188th,320th,5th,326th,95th,66th,13th,290th,oregon,team_stats
28,219th,259th,174th,80th,75th,220th,59th,151st,72nd,218th,137th,98th,197th,149th,198th,233rd,236th,96th,129th,22nd,139th,203rd,oregon-state,team_stats
29,137th,239th,320th,336th,322nd,53rd,340th,323rd,133rd,336th,54th,349th,108th,67th,132nd,337th,67th,332nd,157th,347th,70th,338th,oklahoma,team_stats
30,310th,185th,140th,322nd,299th,89th,321st,317th,302nd,279th,156th,327th,49th,320th,32nd,323rd,205th,297th,145th,169th,315th,248th,notre-dame,team_stats
31,188th,74th,325th,235th,202nd,187th,192nd,276th,50th,320th,105th,269th,8th,287th,3rd,126th,108th,141st,19th,58th,154th,278th,northern-iowa,team_stats
32,188th,265th,224th,344th,326th,40th,347th,349th,278th,344th,77th,351st,232nd,158th,239th,341st,23rd,347th,126th,298th,20th,312th,north-carolina,team_stats
33,15th,166th,211th,69th,176th,61st,251st,13th,119th,17th,93rd,110th,350th,214th,351st,260th,119th,208th,181st,34th,33rd,248th,north-carolina-wilmington,team_stats
34,54th,25th,233rd,212th,259th,268th,220th,73rd,2nd,231st,129th,232nd,91st,173rd,93rd,221st,103rd,152nd,79th,311th,16th,240th,north-carolina-asheville,team_stats
35,158th,118th,315th,190th,197th,141st,207th,182nd,205th,166th,161st,199th,281st,34th,313th,79th,139th,231st,98th,228th,67th,252nd,middle-tennessee,team_stats
36,281st,205th,288th,297th,282nd,276th,239th,260th,181st,256th,255th,260th,30th,308th,20th,64th,277th,238th,63rd,6th,130th,222nd,michigan,team_stats
37,61st,219th,30th,93rd,133rd,6th,298th,66th,21st,157th,2nd,279th,213th,261st,188th,134th,222nd,97th,21st,125th,332nd,43rd,michigan-state,team_stats
38,106th,33rd,89th,264th,298th,105th,311th,95th,165th,86th,148th,266th,61st,277th,47th,213th,111th,191st,64th,116th,194th,128th,miami-fl,team_stats
39,131st,87th,128th,276th,267th,57th,308th,217th,47th,288th,43rd,325th,53rd,244th,44th,306th,108th,224th,51st,284th,189th,227th,maryland,team_stats
40,6th,192nd,95th,199th,255th,13th,337th,54th,76th,93rd,25th,305th,336th,204th,336th,336th,48th,256th,81st,15th,122nd,246th,kentucky,team_stats
41,143rd,275th,228th,273rd,277th,19th,339th,187th,52nd,260th,22nd,334th,334th,306th,329th,291st,5th,308th,71st,339th,36th,271st,kansas,team_stats
42,240th,102nd,219th,235th,227th,178th,220th,228th,29th,311th,93rd,277th,5th,90th,6th,286th,162nd,129th,108th,78th,133rd,261st,iowa,team_stats
43,315th,109th,258th,343rd,339th,225th,332nd,304th,118th,324th,197th,344th,28th,113th,33rd,310th,310th,330th,258th,169th,145th,294th,iowa-state,team_stats
44,236th,87th,231st,229th,186th,77th,247th,280th,253rd,246th,109th,257th,236th,178th,237th,286th,222nd,256th,242nd,167th,78th,271st,iona,team_stats
45,168th,153rd,9th,303rd,327th,196th,313th,124th,161st,124th,231st,284th,61st,78th,79th,206th,105th,253rd,123rd,266th,82nd,49th,indiana,team_stats
46,317th,166th,335th,251st,182nd,325th,75th,315th,251st,303rd,299th,171st,134th,309th,92nd,113th,142nd,251st,121st,125th,96th,287th,holy-cross,team_stats
47,35th,49th,150th,75th,120th,51st,212th,61st,10th,176th,28th,205th,290th,272nd,275th,105th,11th,116th,52nd,194th,27th,119th,hawaii,team_stats
48,16th,305th,233rd,196th,233rd,121st,260th,113th,121st,130th,127th,222nd,229th,299th,195th,115th,76th,206th,238th,105th,229th,185th,hampton,team_stats
49,328th,348th,350th,348th,345th,216th,342nd,323rd,284th,307th,261st,345th,329th,257th,325th,335th,2nd,350th,330th,266th,3rd,349th,green-bay,team_stats
50,44th,160th,140th,251st,286th,36th,332nd,110th,5th,244th,20th,330th,77th,195th,76th,221st,55th,193rd,35th,250th,275th,169th,gonzaga,team_stats
51,179th,166th,320th,173rd,118th,144th,136th,265th,98th,299th,97th,220th,338th,163rd,339th,246th,56th,271st,148th,26th,14th,306th,fresno-state,team_stats
52,149th,192nd,244th,281st,286th,121st,297th,182nd,12th,301st,58th,322nd,198th,89th,220th,278th,119th,269th,146th,319th,152nd,273rd,florida-gulf-coast,team_stats
53,301st,239th,272nd,266th,247th,300th,181st,244th,230th,221st,291st,197th,343rd,146th,342nd,329th,170th,320th,322nd,243rd,20th,315th,fairleigh-dickinson,team_stats
54,333rd,280th,269th,346th,348th,186th,350th,151st,149th,167th,235th,342nd,30th,78th,36th,347th,14th,324th,193rd,34th,143rd,329th,duke,team_stats
55,153rd,79th,169th,73rd,44th,21st,160th,228th,203rd,216th,38th,185th,53rd,30th,86th,45th,149th,54th,38th,26th,175th,104th,dayton,team_stats
56,131st,288th,241st,116th,87th,8th,262nd,217th,75th,272nd,6th,282nd,176th,14th,229th,296th,254th,126th,14th,110th,133rd,279th,connecticut,team_stats
57,22nd,342nd,178th,241st,277th,33rd,329th,101st,241st,67th,86th,286th,208th,104th,225th,110th,61st,228th,149th,344th,271st,142nd,colorado,team_stats
58,70th,177th,78th,61st,30th,3rd,202nd,217th,249th,184th,13th,202nd,11th,73rd,13th,257th,279th,26th,12th,44th,102nd,137th,cincinnati,team_stats
59,211th,301st,113th,265th,261st,263rd,227th,199th,93rd,236th,208th,241st,38th,74th,47th,176th,71st,201st,69th,302nd,31st,133rd,chattanooga,team_stats
60,42nd,109th,137th,124th,224th,5th,335th,24th,190th,19th,21st,254th,278th,234th,267th,131st,69th,132nd,61st,58th,335th,122nd,california,team_stats
61,9th,166th,102nd,14th,26th,18th,128th,47th,80th,78th,16th,82nd,252nd,114th,269th,186th,133rd,28th,16th,81st,26th,125th,cal-state-bakersfield,team_stats
62,145th,336th,90th,179th,186th,199th,171st,172nd,139th,203rd,177th,181st,178th,241st,164th,67th,100th,179th,153rd,12th,130th,72nd,butler,team_stats
63,253rd,234th,304th,304th,291st,166th,284th,278th,141st,293rd,156th,310th,322nd,271st,307th,266th,32nd,334th,264th,188th,73rd,304th,buffalo,team_stats
64,351st,310th,8th,187th,193rd,190th,183rd,187th,289th,127th,247th,148th,194th,183rd,192nd,86th,111th,202nd,113th,292nd,75th,14th,baylor,team_stats
65,334th,166th,255th,345th,333rd,321st,268th,344th,266th,339th,313th,328th,168th,223rd,156th,266th,13th,346th,286th,342nd,53rd,276th,austin-peay,team_stats
66,61st,79th,213th,24th,21st,43rd,69th,151st,29th,251st,15th,133rd,147th,94th,174th,201st,214th,36th,4th,2nd,44th,222nd,arkansas-little-rock,team_stats
67,140th,234th,39th,243rd,289th,67th,324th,66th,36th,145th,62nd,298th,82nd,252nd,69th,103rd,20th,178th,100th,125th,239th,43rd,arizona,team_stats
