,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,high_school,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
10,0.5,0.4,SO,1.8,.526,1.7,3.3,,0.0,0.0,.526,1.7,3.3,.463,1.1,2.3,35,1,6-9,Brewster Academy,"Columbus, OH",13.2,45,1.2,1.9,Elijah Macon,F,4.5,2012,0.3," 4.5 Pts, 3.0 Reb, 0.5 Ast",west-virginia,0.9,3.0,per_game,240
11,1.1,1.2,SR,9.3,.613,5.2,8.5,.364,0.6,1.7,.573,5.8,10.2,.697,4.8,6.9,33,33,6-9,Keller HS,"Fort Worth, TX",31.5,21,3.3,2.2,Joel Bolomboy,F,17.1,,0.7," 17.1 Pts, 12.6 Reb, 1.1 Ast",weber-state,2.4,12.6,per_game,230
12,3.0,0.4,JR,3.9,.400,3.5,8.7,.293,1.1,3.8,.368,4.6,12.5,.736,5.4,7.4,35,35,6-8,Whitmer HS,"Toledo, OH",36.2,10,2.0,2.0,Nigel Hayes,F,15.7,,1.1," 15.7 Pts, 5.8 Reb, 3.0 Ast",wisconsin,2.3,5.8,per_game,235
13,2.8,1.7,SR,3.8,.537,5.6,10.5,.313,0.2,0.6,.526,5.8,11.1,.669,3.9,5.8,28,27,6-8,Plainfield HS,"Plainfield, NJ",31.0,22,3.7,2.8,Justin Sears,F,15.7,,0.8," 15.7 Pts, 7.5 Reb, 2.8 Ast",yale,2.5,7.5,per_game,205
14,1.2,0.7,SR,4.2,.571,4.6,8.0,.000,0.0,0.0,.568,4.6,8.0,.585,3.6,6.1,30,30,6-6,Choate Rosemary Hall,"Bridgeport, CT",27.8,35,2.8,2.3,Brandon Sherrod,F,12.7,,0.8," 12.7 Pts, 7.0 Reb, 1.2 Ast",yale,1.3,7.0,per_game,240
15,0.5,0.0,JR,0.6,.400,0.4,1.0,.310,0.3,1.0,.356,0.7,2.0,.783,0.6,0.8,29,4,6-2,Grover Cleveland (CA) / Boys & Girls (NY),"Brooklyn, NY",8.6,0,0.1,0.8,Teyvon Myers,G,2.4,,0.2," 2.4 Pts, 0.8 Reb, 0.5 Ast",west-virginia,0.6,0.8,per_game,170
16,0.2,0.3,JR,0.6,.333,0.3,0.8,,0.0,0.0,.333,0.3,0.8,.333,0.1,0.3,23,0,6-9,Grady HS,"Decatur, GA",5.4,20,0.4,1.3,Brandon Watkins,F,0.6,,0.0," 0.6 Pts, 1.0 Reb, 0.2 Ast",west-virginia,0.4,1.0,per_game,245
17,2.2,0.3,SO,4.7,.449,2.7,6.0,.398,2.3,5.8,.424,5.0,11.8,.770,2.8,3.6,34,34,6-6,Park Tudor HS,"Indianapolis, IN",30.6,5,1.4,2.3,Trevon Bluiett,F,15.1,2014,0.9," 15.1 Pts, 6.1 Reb, 2.2 Ast",xavier,1.6,6.1,per_game,215
18,0.8,1.0,JR,4.0,.648,3.0,4.6,.100,0.0,0.3,.616,3.0,4.9,.760,2.1,2.7,35,3,6-7,Humble HS,"Humble, TX",23.3,35,1.8,2.6,Kyndahl Hill,F,8.2,,0.5," 8.2 Pts, 5.8 Reb, 0.8 Ast",weber-state,1.1,5.8,per_game,218
19,2.4,0.2,JR,2.4,.395,1.9,4.9,.390,2.4,6.1,.392,4.3,11.0,.763,2.1,2.8,35,35,6-4,Aquinas HS,"La Crosse, WI",34.9,24,0.4,2.2,Bronson Koenig,G,13.1,2013,0.4," 13.1 Pts, 2.8 Reb, 2.4 Ast",wisconsin,1.5,2.8,per_game,190
20,2.4,1.3,SR,5.7,.513,1.3,2.6,.432,1.1,2.5,.474,2.4,5.1,.531,0.9,1.6,30,30,6-5,Winchendon,"Dallas, TX",28.4,21,1.6,3.0,Nick Victor,G,6.7,,0.7," 6.7 Pts, 7.2 Reb, 2.4 Ast",yale,1.9,7.2,per_game,220
21,3.0,0.0,SR,2.0,.295,0.7,2.2,.398,2.4,5.9,.370,3.0,8.1,.839,1.3,1.6,20,20,6-0,Brentwood HS,"Brentwood, TN",28.4,4,0.5,2.0,Jack Montague,G,9.7,,1.1," 9.7 Pts, 2.5 Reb, 3.0 Ast",yale,2.1,2.5,per_game,185
22,0.0,0.0,SR,0.2,.667,0.2,0.3,,0.0,0.0,.667,0.2,0.3,1.000,0.2,0.2,10,0,6-0,Greenbrier East HS,"White Sulphur Springs, WV",2.1,30,0.0,0.5,Richard Romeo,G,0.6,,0.0," 0.6 Pts, 0.2 Reb, 0.0 Ast",west-virginia,0.2,0.2,per_game,190
23,4.1,0.1,JR,3.1,.426,1.4,3.2,.381,1.9,4.9,.399,3.2,8.1,.854,2.4,2.8,34,33,6-2,Notre Dame Prep (MA),"Plainfield, NJ",29.1,15,0.5,2.1,Myles Davis,G,10.8,,0.9," 10.8 Pts, 3.6 Reb, 4.1 Ast",xavier,1.9,3.6,per_game,195
24,0.6,1.0,SR,5.0,.559,4.2,7.5,.125,0.0,0.2,.545,4.2,7.8,.728,2.2,3.0,34,4,6-10,Maine Central Institute (ME),"Evanston, IL",20.6,2,2.9,2.4,James Farr,F,10.7,,0.8," 10.7 Pts, 7.8 Reb, 0.6 Ast",xavier,1.4,7.8,per_game,247
25,0.5,0.5,FR,2.8,.614,2.6,4.3,,0.0,0.0,.614,2.6,4.3,.509,1.6,3.2,34,34,6-9,Highlands Ranch HS,"Highlands Ranch, CO",20.5,44,1.3,2.5,Zach Braxton,F,6.9,,0.3," 6.9 Pts, 4.1 Reb, 0.5 Ast",weber-state,1.5,4.1,per_game,250
26,1.3,0.9,FR,5.4,.538,4.7,8.7,,0.0,0.0,.538,4.7,8.7,.643,3.1,4.8,35,35,6-10,Rockridge HS,"Milan, IL",28.1,22,2.5,3.0,Ethan Happ,F,12.4,,1.8," 12.4 Pts, 7.9 Reb, 1.3 Ast",wisconsin,2.2,7.9,per_game,237
27,0.8,0.5,JR,3.3,.467,2.6,5.6,.400,1.1,2.7,.445,3.7,8.3,.764,1.2,1.6,35,34,6-8,Bowling Green HS,"Bowling Green, OH",25.4,30,1.7,2.5,Vitto Brown,F,9.7,,0.5," 9.7 Pts, 5.0 Reb, 0.8 Ast",wisconsin,1.1,5.0,per_game,237
28,0.4,0.2,JR,2.3,.639,2.1,3.2,.400,0.1,0.3,.617,2.2,3.6,.829,1.1,1.4,30,3,6-9,Lake Forest HS,"Lake Forest, IL",14.5,44,1.1,1.7,Sam Downey,F,5.7,,0.2," 5.7 Pts, 3.4 Reb, 0.4 Ast",yale,0.4,3.4,per_game,230
29,1.3,0.2,JR,2.6,.472,1.1,2.4,.373,0.6,1.7,.431,1.8,4.1,.600,0.8,1.3,30,10,6-6,Northfield Mount Hermon HS,"Wexford, PA",19.9,1,0.6,1.9,Anthony Dallier,G,5.0,,0.8," 5.0 Pts, 3.2 Reb, 1.3 Ast",yale,1.0,3.2,per_game,190
30,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,6-11,Cameron HS,"Cameron, WV",3.0,21,0.0,0.0,Logan Routt,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",west-virginia,0.0,0.0,per_game,260
31,0.0,1.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,6-8,Miller Grove HS,"Cincinnati, OH",0.0,15,0.0,0.0,Lamont West,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",west-virginia,0.0,0.0,per_game,222
32,3.6,0.2,FR,2.9,.443,2.5,5.6,.301,0.8,2.7,.397,3.3,8.3,.727,3.6,5.0,31,29,6-5,Country Day,"Detroit, MI",25.9,4,0.5,2.3,Edmond Sumner,G,11.0,,1.3," 11.0 Pts, 3.4 Reb, 3.6 Ast",xavier,2.1,3.4,per_game,170
33,1.2,0.1,SO,1.6,.483,0.5,1.0,.361,1.7,4.6,.383,2.1,5.6,.846,0.8,0.9,29,26,6-4,Dobson HS,"Chandler, AZ",19.8,22,0.1,1.8,Ryan Richardson,G,6.7,,0.7," 6.7 Pts, 1.8 Reb, 1.2 Ast",weber-state,1.2,1.8,per_game,175
34,2.2,0.2,JR,3.1,.582,1.5,2.6,.346,1.1,3.1,.455,2.6,5.7,.804,1.3,1.6,35,35,6-2,Germantown HS,"Germantown, WI",31.4,3,0.7,2.9,Zak Showalter,G,7.5,,1.0," 7.5 Pts, 3.8 Reb, 2.2 Ast",wisconsin,1.4,3.8,per_game,185
35,0.4,0.2,SR,1.4,.389,0.3,0.7,.326,0.6,1.8,.344,0.9,2.6,.750,0.2,0.3,25,0,6-5,Loyola HS,"Inglewood, CA",11.3,00,0.2,1.0,Khaliq Ghani,G,2.6,,0.3," 2.6 Pts, 1.6 Reb, 0.4 Ast",yale,0.4,1.6,per_game,205
36,0.7,0.6,JR,4.5,.527,3.7,7.0,.333,0.1,0.2,.523,3.7,7.1,.654,2.1,3.1,34,32,6-10,Brewster Academy (NH),"Detroit, MI",19.6,1,2.0,3.1,Jalen Reynolds,F,9.6,,0.7," 9.6 Pts, 6.5 Reb, 0.7 Ast",xavier,1.6,6.5,per_game,232
37,2.0,0.0,SO,1.2,.563,2.1,3.7,.356,1.1,3.1,.470,3.2,6.8,.807,2.0,2.4,34,4,6-5,North HS,"Lakeville, MN",22.7,55,1.4,2.4,J.P. Macura,G,9.4,,1.1," 9.4 Pts, 2.6 Reb, 2.0 Ast",xavier,1.0,2.6,per_game,190
38,2.7,0.0,FR,1.6,.432,0.5,1.3,.366,1.2,3.2,.385,1.7,4.5,.711,0.9,1.3,35,33,6-0,Shelly HS,"Shelley, ID",21.4,24,0.3,2.4,McKay Cannon,G,5.5,,0.9," 5.5 Pts, 1.9 Reb, 2.7 Ast",weber-state,1.5,1.9,per_game,185
39,0.8,0.0,SO,0.9,.444,0.5,1.2,.333,0.6,1.7,.379,1.1,2.9,.667,0.1,0.2,30,1,6-3,Phillips Exeter Academy (NH),"Pasadena, CA",15.6,11,0.5,1.5,Jordan Hill,G,2.9,,0.3," 2.9 Pts, 1.4 Reb, 0.8 Ast",wisconsin,0.6,1.4,per_game,170
40,0.4,0.1,FR,1.0,.560,0.6,1.0,.278,0.2,0.7,.442,0.8,1.7,.714,0.4,0.6,25,0,6-7,Jackson,"Jackson, MO",7.0,32,0.6,0.5,Blake Reynolds,F,2.1,,0.2," 2.1 Pts, 1.6 Reb, 0.4 Ast",yale,0.2,1.6,per_game,240
41,1.5,0.1,SR,1.3,.436,1.2,2.8,.354,0.8,2.3,.399,2.0,5.1,.788,1.5,1.9,34,34,6-4,Eastern,"Louisville, KY",24.4,10,0.3,1.3,Remy Abell,G,6.4,,0.5," 6.4 Pts, 1.6 Reb, 1.5 Ast",xavier,1.0,1.6,per_game,195
42,1.8,0.1,FR,2.0,.380,0.9,2.3,.387,0.7,1.8,.383,1.6,4.1,.810,1.5,1.9,34,11,6-4,Tesoro High School,"Coto De Caza, CA",18.3,25,0.5,1.3,Dusty Baker,G,5.4,,0.5," 5.4 Pts, 2.5 Reb, 1.8 Ast",weber-state,1.5,2.5,per_game,195
43,0.6,0.6,FR,1.1,.534,0.9,1.7,.167,0.1,0.4,.471,1.0,2.1,.528,0.6,1.1,34,0,6-5,Rutherford B Hayes HS,"Delaware, OH",13.0,21,0.7,0.9,Khalil Iverson,F,2.6,,0.4," 2.6 Pts, 1.9 Reb, 0.6 Ast",wisconsin,0.9,1.9,per_game,217
44,0.2,0.1,SO,1.0,.448,0.6,1.4,.333,0.1,0.4,.421,0.8,1.8,.545,0.3,0.5,21,0,6-7,Haverford,"West Chester, PA",7.4,5,0.3,0.7,Eric Anderson,G,2.0,,0.2," 2.0 Pts, 1.3 Reb, 0.2 Ast",yale,0.4,1.3,per_game,215
45,0.4,0.1,FR,0.4,.450,0.6,1.4,.667,0.1,0.2,.478,0.8,1.6,.600,0.4,0.7,14,0,6-3,Harvard-Westlake School,"Los Angeles, CA",4.2,3,0.2,0.4,Alex Copeland,G,2.1,,0.2," 2.1 Pts, 0.6 Reb, 0.4 Ast",yale,0.2,0.6,per_game,175
46,0.3,0.2,SO,1.3,.609,1.2,2.0,,0.0,0.0,.609,1.2,2.0,.600,0.8,1.3,32,0,6-10,Benet Academy,"Glen Ellyn, IL",7.0,54,0.6,1.2,Sean O'Mara,F,3.2,,0.2," 3.2 Pts, 1.9 Reb, 0.3 Ast",xavier,0.6,1.9,per_game,247
47,1.3,0.1,JR,1.9,.400,0.6,1.4,.348,0.9,2.5,.367,1.5,4.0,.621,0.5,0.8,35,0,6-4,Marcos De Niza HS,"Tempe, AZ",17.8,23,0.2,1.4,Richaud Gittens,G,4.3,,0.7," 4.3 Pts, 2.1 Reb, 1.3 Ast",weber-state,0.9,2.1,per_game,190
48,0.1,0.4,FR,1.4,.397,0.7,1.9,.267,0.1,0.5,.370,0.9,2.4,.467,0.5,1.0,31,0,6-8,River Hill HS,"Highland, MD",9.1,15,0.7,1.1,Charles Thomas IV,F,2.3,,0.2," 2.3 Pts, 2.0 Reb, 0.1 Ast",wisconsin,0.2,2.0,per_game,250
49,0.3,0.3,FR,0.6,.368,0.4,1.0,.083,0.1,0.6,.258,0.4,1.6,.750,0.3,0.4,19,0,6-2,Charlotte Christian,"Charlotte, NC",6.2,13,0.3,0.9,Trey Phills,G,1.2,,0.2," 1.2 Pts, 0.8 Reb, 0.3 Ast",yale,0.6,0.8,per_game,185
50,0.2,0.2,FR,1.8,.571,0.5,0.9,.333,0.4,1.3,.433,1.0,2.2,.568,0.8,1.5,30,0,6-8,St. Francis HS,"Alpharetta, GA",10.4,22,0.8,1.7,Kaiser Gates,F,3.2,,0.4," 3.2 Pts, 2.6 Reb, 0.2 Ast",xavier,0.4,2.6,per_game,205
51,1.5,0.2,FR,1.5,.533,1.3,2.5,.155,0.3,1.9,.368,1.6,4.4,.605,0.9,1.4,30,0,6-3,Wasatch Academy HS,"Mississauga, Canada",17.0,5,0.1,1.3,Cody John,G,4.4,,0.3," 4.4 Pts, 1.6 Reb, 1.5 Ast",weber-state,1.0,1.6,per_game,185
52,0.4,0.1,FR,1.0,.486,0.5,1.1,.321,0.3,0.8,.413,0.8,1.9,.667,0.3,0.5,33,0,6-9,Brewster Academy (NH),"Grand Rapids, MN",9.8,25,0.5,1.0,Alex Illikainen,F,2.2,,0.2," 2.2 Pts, 1.5 Reb, 0.4 Ast",wisconsin,0.3,1.5,per_game,235
53,0.3,0.1,FR,0.4,.500,0.4,0.8,,0.0,0.0,.500,0.4,0.8,.167,0.1,0.8,8,0,6-7,Hotchkiss School,"Brooklyn, NY",3.6,20,0.5,1.1,Matt Greene,F,0.9,,0.1," 0.9 Pts, 0.9 Reb, 0.3 Ast",yale,0.4,0.9,per_game,205
54,1.1,0.0,SO,0.9,.412,0.6,1.5,.000,0.0,0.0,.404,0.6,1.5,.625,0.6,0.9,34,0,6-2,Lanphier HS,"Springfield, IL",9.8,0,0.2,1.2,Larry Austin,G,1.8,,0.6," 1.8 Pts, 1.1 Reb, 1.1 Ast",xavier,0.8,1.1,per_game,182
55,0.1,0.3,FR,1.2,.471,0.8,1.7,.455,0.3,0.6,.467,1.1,2.3,.760,1.0,1.3,20,0,6-5,Travis HS,"Houston, TX",8.4,2,0.4,1.4,Juwan Williams,G,3.3,,0.1," 3.3 Pts, 1.6 Reb, 0.1 Ast",weber-state,0.5,1.6,per_game,200
56,0.1,0.0,SO,0.2,.500,0.1,0.1,,0.0,0.0,.500,0.1,0.1,1.000,0.1,0.1,15,0,6-8,Southwest HS,"Green Bay, WI",3.2,5,0.1,0.3,Aaron Moesch,F,0.3,,0.1," 0.3 Pts, 0.3 Reb, 0.1 Ast",wisconsin,0.1,0.3,per_game,215
57,0.1,0.0,JR,0.1,1.000,0.1,0.1,.167,0.1,0.5,.286,0.2,0.5,,0.0,0.0,13,0,6-5,South Kent,"Seattle, WA",2.8,25,0.1,0.1,A.J. Edwards,G,0.4,,0.1," 0.4 Pts, 0.2 Reb, 0.1 Ast",yale,0.2,0.2,per_game,190
58,0.4,0.3,FR,0.8,.286,0.1,0.4,.389,0.4,1.0,.360,0.5,1.4,.500,0.2,0.4,18,0,6-10,Montverde Academy (FL),"Nashville, TN",5.3,13,0.4,0.7,Makinde London,F,1.6,2014,0.3," 1.6 Pts, 1.3 Reb, 0.4 Ast",xavier,0.5,1.3,per_game,210
59,1.1,0.1,FR,0.6,.800,0.6,0.7,.444,0.6,1.3,.571,1.1,2.0,,0.0,0.0,7,0,6-2,Triple A Academy,"Dallas, TX",8.0,15,0.0,0.3,Jeremiah Jefferson,G,2.9,,0.1," 2.9 Pts, 0.6 Reb, 1.1 Ast",weber-state,0.3,0.6,per_game,183
60,0.0,0.1,SR,0.1,.333,0.1,0.4,,0.0,0.0,.333,0.1,0.4,.667,0.3,0.4,8,0,6-3,Orono HS,"Orono, MN",1.1,2,0.1,0.0,Jordan Smith,G,0.5,,0.0," 0.5 Pts, 0.3 Reb, 0.0 Ast",wisconsin,0.1,0.3,per_game,180
61,0.0,0.0,FR,0.3,.000,0.0,0.3,.200,0.1,0.6,.143,0.1,0.9,.667,0.3,0.4,8,0,6-4,Hotchkiss School,"New York, NY",2.8,34,0.1,0.1,Thomas Ryan,G,0.6,,0.1," 0.6 Pts, 0.4 Reb, 0.0 Ast",yale,0.0,0.4,per_game,185
62,0.0,0.0,FR,0.0,.000,0.0,0.3,,0.0,0.0,.000,0.0,0.3,.500,0.3,0.7,3,0,6-1,St. Xavier HS,"Louisville, KY",2.3,3,0.0,0.0,Ashanti Burgess,G,0.3,,0.0," 0.3 Pts, 0.0 Reb, 0.0 Ast",xavier,0.3,0.0,per_game,165
63,0.3,0.3,SO,0.0,,0.0,0.0,.667,0.5,0.8,.667,0.5,0.8,1.000,0.5,0.5,4,0,6-4,Skyview HS,"Nampa, ID",2.0,20,0.0,0.3,J.C. Kennedy,F,2.0,,0.3," 2.0 Pts, 0.0 Reb, 0.3 Ast",weber-state,0.0,0.0,per_game,160
64,0.0,0.0,SO,0.7,,0.0,0.0,.000,0.0,0.7,.000,0.0,0.7,1.000,0.7,0.7,3,0,6-5,Minnetonka HS,"Minnetonka, MN",2.0,35,0.0,0.7,Riley Dearring,G,0.7,,0.0," 0.7 Pts, 0.7 Reb, 0.0 Ast",wisconsin,0.7,0.7,per_game,182
65,0.3,0.0,FR,0.3,.333,0.3,1.0,,0.0,0.0,.333,0.3,1.0,.250,0.3,1.3,3,0,6-6,,"Eugene, OR",3.3,42,1.0,0.7,Eli Lininger,F,1.0,,0.0," 1.0 Pts, 1.3 Reb, 0.3 Ast",yale,0.3,1.3,per_game,200
66,0.0,0.0,JR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,4,0,6-4,Oak Hills HS,"Cincinnati, OH",1.0,20,0.0,0.3,Alex Bergen,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",xavier,0.0,0.0,per_game,195
67,0.8,0.0,FR,0.3,.500,0.3,0.5,.000,0.0,0.5,.250,0.3,1.0,,0.0,0.0,4,0,6-7,Myerscough HS,"Sofia, Bulgaria",5.0,0,0.3,0.5,Kiko Stavrev,F,0.5,,0.0," 0.5 Pts, 0.5 Reb, 0.8 Ast",weber-state,0.3,0.5,per_game,210
68,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3,0,5-11,Lincoln-Way East HS,"Frankfort, IL",0.7,13,0.0,0.0,Jackson Bax,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",wisconsin,0.0,0.0,per_game,157
69,0.0,0.0,SR,0.0,.000,0.0,0.2,,0.0,0.0,.000,0.0,0.2,,0.0,0.0,6,0,6-6,Plainfield South HS,"Plainfield, IL",0.8,32,0.0,0.2,Kevin Coker,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",xavier,0.0,0.0,per_game,200
70,0.0,0.0,JR,0.0,.000,0.0,0.3,,0.0,0.0,.000,0.0,0.3,,0.0,0.0,4,0,6-4,Waunakee HS,"Waunakee, WI",0.8,0,0.3,0.3,Will Decorah,G,0.0,,0.0," 0.0 Pts, 0.3 Reb, 0.0 Ast",wisconsin,0.3,0.3,per_game,205
71,0.1,0.1,JR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,9,0,6-6,Lakewood St. Edward HS,"Bay Village, OH",1.9,21,0.0,0.1,Tim Stainbrook,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.1 Ast",xavier,0.1,0.0,per_game,200
72,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,6-3,De Pere HS,"De Pere, WI",4.0,1,0.0,0.0,Brevin Pritzl,G,0.0,2015,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",wisconsin,1.0,0.0,per_game,198
73,0.2,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,5,0,6-5,Oconomowoc HS,"Oconomowoc, WI",0.8,20,0.0,0.0,T.J. Schlundt,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.2 Ast",wisconsin,0.0,0.0,per_game,182
74,3.2,0.6,SR,4.3,.495,2.7,5.5,.350,1.8,5.2,.424,4.6,10.8,.793,3.1,3.9,35,35,6-4,Scott City HS,"Scott City, KS",31.6,31,0.5,1.4,Ron Baker,G,14.0,,1.5," 14.0 Pts, 4.8 Reb, 3.2 Ast",wichita-state,1.5,4.8,per_game,220
75,3.1,0.2,SR,3.5,.498,4.2,8.4,.391,2.0,5.2,.457,6.2,13.6,.897,3.8,4.2,37,37,6-5,Greater Atlanta Christian,"Atlanta, GA",34.1,15,0.5,2.1,Malcolm Brogdon,G,18.2,2011,0.9," 18.2 Pts, 4.1 Reb, 3.1 Ast",virginia,1.4,4.1,per_game,217
76,5.5,0.1,SR,2.9,.396,2.5,6.2,.381,1.4,3.6,.390,3.8,9.8,.817,3.2,3.9,31,31,6-0,Auburn HS,"Rockford, IL",29.0,23,0.4,1.7,Fred VanVleet,G,12.2,,1.8," 12.2 Pts, 3.2 Reb, 5.5 Ast",wichita-state,1.7,3.2,per_game,195
77,0.8,0.6,SR,4.0,.577,5.1,8.8,1.000,0.1,0.1,.580,5.1,8.8,.746,3.5,4.7,37,37,6-8,Charlotte Christian School,"High Point, NC",28.0,13,2.2,2.3,Anthony Gill,F,13.8,,0.6," 13.8 Pts, 6.1 Reb, 0.8 Ast",virginia,1.1,6.1,per_game,230
78,0.7,0.2,FR,2.2,.489,1.9,3.9,.315,0.7,2.1,.426,2.6,6.0,.714,1.6,2.3,34,1,6-8,St. Anthony HS,"Paterson, NJ",18.5,32,1.1,1.6,Markis McDuffie,F,7.4,,0.8," 7.4 Pts, 3.3 Reb, 0.7 Ast",wichita-state,1.0,3.3,per_game,218
79,4.4,0.1,JR,2.6,.375,1.3,3.4,.488,2.2,4.6,.439,3.5,8.0,.803,1.7,2.2,35,35,6-2,Crespi Carmelite HS,"Los Angeles, CA",33.2,32,0.4,1.3,London Perrantes,G,11.0,,1.1," 11.0 Pts, 3.0 Reb, 4.4 Ast",virginia,1.8,3.0,per_game,189
80,0.4,0.6,SR,3.3,.533,2.9,5.5,.111,0.0,0.3,.511,2.9,5.7,.604,1.9,3.1,31,5,6-8,Cleveland Central Catholic,"Cleveland, OH",17.3,15,1.3,2.8,Anton Grady,F,7.8,,0.4," 7.8 Pts, 4.6 Reb, 0.4 Ast",wichita-state,1.4,4.6,per_game,225
