,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
11,212th,118th,231st,158th,145th,26th,269th,181st,93rd,245th,32nd,282nd,41st,86th,49th,139th,120th,102nd,45th,37th,186th,201st,san-diego-state,team_stats
12,93rd,85th,89th,174th,182nd,49th,274th,150th,316th,68th,130th,208th,266th,308th,229th,28th,75th,195th,77th,194th,220th,44th,saint-marys-ca,team_stats
13,144th,262nd,273rd,113th,207th,60th,282nd,21st,135th,31st,96th,177th,112th,16th,165th,135th,10th,77th,16th,132nd,26th,230th,saint-louis,team_stats
14,25th,255th,12th,14th,15th,60th,49th,63rd,35th,134th,28th,46th,135th,315th,103rd,66th,154th,16th,8th,42nd,153rd,17th,pittsburgh,team_stats
15,208th,92nd,248th,169th,83rd,153rd,98th,327th,241st,308th,146th,187th,250th,282nd,224th,133rd,78th,232nd,107th,46th,134th,205th,pacific,team_stats
16,156th,161st,273rd,305th,309th,79th,331st,181st,162nd,208th,106th,320th,215th,79th,244th,169th,15th,298th,97th,299th,12th,245th,oregon,team_stats
17,111th,44th,180th,169th,154th,140th,180th,198th,124th,237th,124th,207th,86th,183rd,87th,207th,179th,135th,163rd,132nd,200th,190th,oklahoma,team_stats
18,23rd,66th,215th,89th,78th,18th,191st,190th,95th,249th,20th,221st,179th,137th,194th,242nd,58th,103rd,79th,103rd,69th,233rd,oklahoma-state,team_stats
19,92nd,138th,306th,201st,133rd,45th,231st,295th,102nd,323rd,39th,301st,124th,292nd,98th,198th,73rd,191st,30th,12th,64th,287th,ohio-state,team_stats
20,335th,248th,170th,305th,316th,119th,328th,134th,112th,170th,133rd,313th,18th,151st,15th,218th,111th,213th,95th,110th,312th,186th,notre-dame,team_stats
21,142nd,8th,249th,278th,316th,128th,325th,55th,118th,59th,164th,292nd,241st,1st,312th,343rd,64th,258th,283rd,206th,27th,320th,northwestern-state,team_stats
22,245th,309th,344th,340th,328th,127th,339th,336th,221st,327th,149th,342nd,109th,228th,101st,311th,127th,338th,242nd,288th,20th,341st,north-carolina,team_stats
23,181st,262nd,158th,336th,336th,188th,338th,213th,26th,308th,128th,338th,203rd,326th,156th,327th,62nd,332nd,263rd,151st,240th,266th,north-carolina-state,team_stats
24,238th,299th,343rd,174th,91st,33rd,200th,318th,83rd,337th,18th,303rd,320th,15th,337th,340th,19th,263rd,54th,305th,8th,344th,north-carolina-at,team_stats
25,249th,112th,268th,169th,53rd,12th,166th,342nd,220th,339th,26th,296th,15th,70th,20th,142nd,16th,135th,39th,76th,150th,230th,new-mexico,team_stats
26,167th,44th,289th,233rd,239th,21st,315th,181st,58th,272nd,19th,320th,124th,170th,126th,201st,62nd,199th,81st,229th,118th,271st,nevada-las-vegas,team_stats
27,84th,164th,100th,211th,236th,31st,307th,143rd,147th,164th,49th,299th,138th,290th,116th,230th,12th,172nd,59th,176th,178th,149th,new-mexico-state,team_stats
28,71st,44th,80th,135th,184th,173rd,193rd,80th,172nd,71st,181st,141st,153rd,267th,134th,119th,241st,120th,142nd,67th,264th,83rd,montana,team_stats
29,98th,191st,99th,264th,207th,62nd,280th,307th,153rd,320th,55th,314th,114th,128th,124th,233rd,106th,250th,177th,184th,217th,149th,missouri,team_stats
30,308th,217th,345th,318th,291st,132nd,301st,319th,59th,342nd,79th,335th,170th,34th,213th,328th,4th,320th,182nd,146th,22nd,345th,mississippi,team_stats
31,169th,228th,18th,96th,70th,28th,169th,232nd,189th,247th,44th,202nd,220th,177th,223rd,292nd,52nd,129th,62nd,318th,167th,89th,minnesota,team_stats
32,12th,78th,75th,40th,75th,51st,148th,43rd,29th,89th,41st,112th,220th,3rd,294th,139th,30th,59th,15th,206th,29th,89th,middle-tennessee,team_stats
33,329th,262nd,320th,344th,340th,181st,340th,321st,108th,336th,154th,346th,21st,108th,22nd,283rd,113th,333rd,86th,151st,92nd,322nd,michigan,team_stats
34,133rd,255th,129th,165th,163rd,47th,260th,164th,21st,284th,22nd,295th,121st,44th,156th,179th,96th,142nd,25th,329th,140th,145th,michigan-state,team_stats
35,131st,138th,271st,235th,184th,57th,271st,283rd,113th,310th,48th,308th,39th,10th,69th,213th,78th,179th,38th,91st,194th,264th,miami-fl,team_stats
36,186th,239th,239th,285th,285th,48th,326th,190th,131st,228th,65th,319th,264th,81st,281st,307th,26th,288th,127th,325th,21st,295th,memphis,team_stats
37,292nd,299th,35th,201st,151st,81st,217th,270th,93rd,306th,59th,284th,127th,109th,143rd,300th,42nd,186th,68th,237th,164th,133rd,marquette,team_stats
38,338th,272nd,152nd,346th,344th,303rd,324th,308th,311th,250th,328th,322nd,170th,82nd,198th,295th,9th,345th,333rd,256th,158th,223rd,long-island-university,team_stats
39,181st,294th,326th,285th,258th,40th,317th,262nd,70th,314th,36th,332nd,258th,21st,295th,346th,1st,296th,21st,219th,1st,340th,louisville,team_stats
40,274th,291st,330th,327th,327th,209th,314th,228th,33rd,315th,142nd,331st,329th,121st,336th,332nd,28th,341st,260th,277th,265th,333rd,liberty,team_stats
41,148th,154th,227th,225th,150th,1st,321st,309th,31st,343rd,1st,345th,258th,135th,270th,333rd,24th,264th,55th,325th,97th,305th,kansas,team_stats
42,240th,299th,278th,324th,345th,288th,335th,12th,27th,24th,302nd,277th,46th,109th,55th,247th,242nd,244th,166th,107th,76th,284th,la-salle,team_stats
43,129th,234th,154th,146th,213th,129th,232nd,58th,72nd,88th,127th,180th,182nd,140th,196th,240th,188th,129th,36th,95th,64th,186th,kansas-state,team_stats
44,278th,177th,331st,241st,204th,165th,215th,262nd,227th,253rd,171st,242nd,307th,189th,301st,218th,135th,284th,122nd,83rd,69th,315th,james-madison,team_stats
45,317th,112th,277th,334th,329th,234th,311th,239th,51st,307th,175th,329th,285th,314th,244th,216th,78th,337th,277th,246th,108th,270th,iowa-state,team_stats
46,341st,334th,271st,343rd,326th,245th,304th,344th,322nd,331st,276th,330th,193rd,51st,229th,313th,160th,346th,335th,72nd,89th,310th,iona,team_stats
47,49th,337th,43rd,270th,266th,37th,321st,210th,32nd,302nd,22nd,332nd,89th,251st,71st,325th,3rd,230th,58th,237th,45th,178th,indiana,team_stats
48,231st,164th,328th,258th,207th,161st,217th,302nd,199th,299th,157th,275th,258th,223rd,249th,273rd,148th,287th,124th,107th,42nd,325th,illinois,team_stats
49,38th,73rd,7th,73rd,157th,224th,129th,15th,140th,14th,235th,49th,35th,321st,16th,49th,157th,33rd,110th,76th,220th,10th,harvard,team_stats
50,47th,186th,35th,113th,44th,11th,157th,329th,133rd,334th,12th,273rd,61st,91st,68th,233rd,19th,118th,31st,184th,82nd,85th,gonzaga,team_stats
51,49th,138th,41st,12th,13th,6th,86th,63rd,39th,123rd,5th,65th,67th,44th,103rd,142nd,157th,9th,10th,118th,118th,58th,georgetown,team_stats
52,86th,85th,181st,101st,105th,9th,250th,143rd,46th,236th,9th,267th,44th,11th,77th,188th,135th,69th,3rd,184th,32nd,181st,florida,team_stats
53,321st,208th,329th,320th,276th,145th,288th,338th,45th,345th,70th,336th,276th,143rd,280th,341st,47th,334th,178th,329th,9th,335th,florida-gulf-coast,team_stats
54,32nd,164th,303rd,312th,337th,132nd,342nd,30th,9th,107th,115th,323rd,271st,317th,232nd,308th,13th,295th,136th,35th,55th,320th,duke,team_stats
55,9th,99th,168th,120th,222nd,56th,292nd,17th,109th,32nd,85th,196th,254th,298th,221st,103rd,57th,124th,56th,70th,214th,131st,davidson,team_stats
56,231st,49th,140th,305th,300th,100th,312th,239th,56th,304th,76th,328th,44th,103rd,52nd,194th,59th,252nd,84th,270th,281st,161st,creighton,team_stats
57,66th,286th,161st,185th,129th,77th,204th,273rd,83rd,317th,52nd,283rd,13th,170th,11th,227th,139th,121st,98th,214th,192nd,183rd,colorado,team_stats
58,26th,199th,67th,181st,109th,116th,152nd,305th,192nd,303rd,105th,232nd,220th,127th,234th,22nd,5th,220th,102nd,42nd,277th,34th,colorado-state,team_stats
59,120th,154th,206th,89th,129th,14th,269th,58th,34th,127th,14th,231st,101st,38th,134th,216th,100th,65th,22nd,99th,125th,214th,cincinnati,team_stats
60,120th,124th,166th,156th,174th,8th,303rd,123rd,178th,127th,31st,279th,151st,145th,159th,253rd,215th,137th,115th,99th,291st,205th,california,team_stats
61,144th,191st,128th,254th,264th,96th,295th,171st,165th,200th,116th,294th,268th,233rd,254th,79th,42nd,266th,103rd,259th,226th,104th,butler,team_stats
62,36th,13th,147th,67th,95th,3rd,268th,87th,40th,150th,4th,239th,64th,244th,53rd,44th,135th,53rd,14th,6th,342nd,80th,bucknell,team_stats
63,156th,66th,72nd,79th,56th,268th,28th,224th,187th,237th,214th,53rd,232nd,247th,213th,2nd,211th,118th,141st,60th,183rd,20th,boise-state,team_stats
64,142nd,299th,93rd,101st,70th,129th,92nd,249th,173rd,272nd,108th,152nd,217th,259th,204th,253rd,142nd,142nd,120th,169th,10th,162nd,belmont,team_stats
65,126th,186th,120th,216th,196th,41st,285th,224th,269th,173rd,93rd,273rd,193rd,275th,168th,75th,77th,217th,100th,176th,102nd,94th,arizona,team_stats
66,80th,234th,154th,222nd,202nd,193rd,193rd,228th,141st,259th,166th,229th,15th,19th,30th,87th,34th,137th,40th,166th,167th,114th,albany-ny,team_stats
67,61st,85th,64th,98th,135th,20th,266th,80th,99th,94th,36th,217th,197th,285th,168th,188th,82nd,96th,72nd,237th,134th,107th,akron,team_stats
