,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,high_school,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
14,4.0,0.1,SR,3.1,.439,2.2,5.0,.345,1.6,4.5,.394,3.8,9.6,.797,1.5,1.9,39,39,6-0,Central Park Christian,"Florence, AL",28.6,2,0.7,2.3,Malcolm Armstead,G,10.6,,1.9," 10.6 Pts, 3.8 Reb, 4.0 Ast",wichita-state,2.3,3.8,per_game,205
15,0.7,1.7,SR,3.7,.547,4.5,8.3,.000,0.0,0.1,.543,4.5,8.3,.677,3.5,5.2,32,26,6-8,Middle Georgia College/Northwest Florida State CC,"Cochran, GA",28.6,22,3.2,2.3,Carl Hall,F,12.6,,0.5," 12.6 Pts, 6.8 Reb, 0.7 Ast",wichita-state,1.3,6.8,per_game,238
16,2.2,0.0,SR,2.1,.471,1.7,3.5,.281,0.8,2.9,.385,2.5,6.5,.765,1.6,2.1,39,26,6-2,Cheyenne,"Las Vegas, NV",24.9,5,0.4,2.2,Demetric Williams,G,7.4,,1.1," 7.4 Pts, 2.5 Reb, 2.2 Ast",wichita-state,1.6,2.5,per_game,178
17,1.7,0.2,SO,2.5,.476,1.7,3.7,.364,0.6,1.7,.440,2.4,5.4,.537,1.1,2.1,39,28,6-3,Whitefield Academy,"Marietta, GA",23.7,32,1.5,2.1,Tekele Cotton,G,6.5,,1.0," 6.5 Pts, 3.9 Reb, 1.7 Ast",wichita-state,1.1,3.9,per_game,205
18,0.3,0.2,JR,1.4,.459,0.8,1.7,.419,0.9,2.1,.437,1.6,3.8,.730,0.8,1.0,36,1,6-6,Godby (FL),,12.8,15,0.3,0.8,Nick Wiggins,G,4.9,,0.3," 4.9 Pts, 1.8 Reb, 0.3 Ast",wichita-state,0.6,1.8,per_game,192
19,2.3,0.1,FR,1.5,.375,1.0,2.7,.408,0.5,1.3,.386,1.5,3.9,.725,0.7,1.0,39,0,6-0,Auburn HS,"Rockford, IL",16.2,23,0.3,1.1,Fred VanVleet,G,4.3,,0.9," 4.3 Pts, 1.8 Reb, 2.3 Ast",wichita-state,1.2,1.8,per_game,195
20,1.8,0.3,FR,2.0,.517,0.8,1.6,.357,1.7,4.7,.398,2.5,6.3,.822,2.1,2.5,18,15,6-4,Scott City HS,"Scott City, KS",26.1,31,1.2,2.2,Ron Baker,G,8.7,,0.8," 8.7 Pts, 3.2 Reb, 1.8 Ast",wichita-state,1.3,3.2,per_game,220
21,0.0,0.0,SR,0.3,.000,0.0,0.2,1.000,0.1,0.1,.333,0.1,0.3,1.000,0.2,0.2,9,0,6-0,Dominican,"Milwaukee, WI",1.4,22,0.0,0.2,J.D. Wise,G,0.6,,0.1," 0.6 Pts, 0.3 Reb, 0.0 Ast",wisconsin,0.2,0.3,per_game,190
22,0.3,0.0,SO,2.0,.585,1.3,2.2,.111,0.1,0.7,.468,1.4,2.9,.730,0.7,1.0,37,0,6-8,Chaska/Wichita State,"Chaska, MN",10.9,50,0.9,1.3,Jake White,F,3.6,,0.2," 3.6 Pts, 2.9 Reb, 0.3 Ast",wichita-state,0.8,2.9,per_game,235
23,0.2,1.4,SR,2.8,.470,1.1,2.3,,0.0,0.0,.470,1.1,2.3,.386,0.5,1.2,36,30,7-0,Three Rivers (MO),,15.1,21,1.6,2.0,Ehimen Orukpe,C,2.6,,0.3," 2.6 Pts, 4.4 Reb, 0.2 Ast",wichita-state,1.3,4.4,per_game,250
24,0.3,0.3,JR,1.2,.571,0.7,1.2,,0.0,0.0,.571,0.7,1.2,.400,0.3,0.7,30,0,6-9,Assumption,,7.9,0,0.5,0.7,Chadrack Lufile,F,1.6,,0.2," 1.6 Pts, 1.8 Reb, 0.3 Ast",wichita-state,0.4,1.8,per_game,266
25,1.9,0.1,SO,1.3,.556,0.6,1.1,.458,1.4,3.0,.485,2.0,4.1,1.000,0.1,0.1,8,8,6-4,Heights HS,"Wichita, KS",19.0,3,0.5,1.9,Evan Wessel,G,5.5,,0.3," 5.5 Pts, 1.8 Reb, 1.9 Ast",wichita-state,0.6,1.8,per_game,218
26,1.7,0.5,SO,3.1,.492,3.7,7.5,.270,0.3,1.1,.464,4.0,8.6,.710,5.0,7.1,34,13,6-7,Bishop Loughlin,"Brooklyn, NY",26.1,22,1.9,2.6,JayVaughn Pinkston,F,13.3,2010,1.0," 13.3 Pts, 5.0 Reb, 1.7 Ast",villanova,2.5,5.0,per_game,235
27,2.4,0.4,SO,3.5,.436,2.7,6.2,.358,2.5,6.8,.395,5.2,13.0,.698,2.5,3.5,33,31,6-4,Salmen,"Slidell, LA",33.0,52,0.9,2.4,T.J. Price,G,15.2,,1.2," 15.2 Pts, 4.5 Reb, 2.4 Ast",western-kentucky,2.6,4.5,per_game,223
28,3.5,0.0,FR,1.9,.380,1.0,2.7,.327,2.1,6.4,.343,3.1,9.1,.824,3.6,4.4,34,34,6-3,Neshaminy HS,"Langhorne, PA",34.0,15,0.2,2.5,Ryan Arcidiacono,G,11.9,2012,1.1," 11.9 Pts, 2.1 Reb, 3.5 Ast",villanova,2.8,2.1,per_game,195
29,1.6,0.3,SO,2.5,.470,2.3,4.9,.315,1.1,3.6,.403,3.4,8.5,.739,3.3,4.5,34,34,6-6,Liberty,"Bethlehem, PA",29.9,4,0.4,2.3,Darrun Hilliard,G,11.4,,1.6," 11.4 Pts, 2.8 Reb, 1.6 Ast",villanova,1.9,2.8,per_game,215
30,0.9,0.6,SR,5.1,.480,3.6,7.4,.000,0.0,0.0,.478,3.6,7.4,.780,2.8,3.6,34,34,6-10,Montrose Christian,,28.1,13,2.7,2.2,Mouphtaou Yarou,F,9.9,2009,0.6," 9.9 Pts, 7.8 Reb, 0.9 Ast",villanova,1.6,7.8,per_game,255
31,1.4,0.4,JR,3.1,.466,1.2,2.6,.364,1.6,4.5,.401,2.9,7.1,.737,1.2,1.7,34,34,6-6,Monteverde Academy,"Orlando, FL",28.5,32,1.1,2.9,James Bell,G,8.6,2010,1.1," 8.6 Pts, 4.2 Reb, 1.4 Ast",villanova,2.0,4.2,per_game,220
32,1.5,0.0,JR,1.7,.374,1.1,2.9,.280,0.2,0.7,.355,1.3,3.6,.619,0.8,1.2,34,0,6-2,Neumann-Goretti,"Philadelphia, PA",18.5,5,0.1,2.4,Tony Chennault,G,3.6,,0.9," 3.6 Pts, 1.8 Reb, 1.5 Ast",villanova,1.4,1.8,per_game,195
33,1.6,0.1,SO,3.1,.494,3.7,7.5,.366,1.4,3.9,.450,5.2,11.5,.732,3.3,4.6,36,36,6-6,St. Mary's Ryken,"Temple Hills, MD",27.6,21,2.8,2.3,Treveon Graham,G,15.1,,0.9," 15.1 Pts, 5.8 Reb, 1.6 Ast",virginia-commonwealth,1.6,5.8,per_game,220
34,0.7,1.1,SO,4.1,.482,4.7,9.7,,0.0,0.0,.482,4.7,9.7,.605,3.5,5.7,35,34,6-6,Warren Central,"Bowling Green, KY",29.0,44,2.6,3.1,George Fant,F,12.8,,0.7," 12.8 Pts, 6.6 Reb, 0.7 Ast",western-kentucky,2.7,6.6,per_game,250
35,4.0,0.4,SR,2.5,.513,4.0,7.7,.273,0.4,1.3,.478,4.3,9.0,.706,3.1,4.4,25,23,6-3,Bridgton Academy (ME),"Louisville, KY",29.1,14,0.7,2.2,Jamal Crook,G,12.1,,1.5," 12.1 Pts, 3.2 Reb, 4.0 Ast",western-kentucky,2.3,3.2,per_game,175
36,1.9,0.0,JR,4.3,.364,0.7,1.8,.327,1.8,5.5,.336,2.5,7.4,.729,1.4,1.9,36,24,6-1,Northwest Classen,"Oklahoma City, OK",29.6,12,1.3,1.4,Brandon Harris,G,8.2,,0.8," 8.2 Pts, 5.6 Reb, 1.9 Ast",western-kentucky,1.4,5.6,per_game,173
37,0.6,1.3,SR,2.1,.561,2.2,4.0,.282,0.4,1.4,.486,2.6,5.4,.725,1.1,1.5,27,16,6-11,IMG Academy (FL),,15.8,22,1.6,1.5,Teeng Akol,F,6.7,,0.1," 6.7 Pts, 3.8 Reb, 0.6 Ast",western-kentucky,1.2,3.8,per_game,220
38,1.7,0.0,SO,1.8,.389,0.6,1.6,.336,1.1,3.2,.354,1.7,4.9,.714,0.8,1.1,33,6,6-0,Findlay Prep (NV),,22.6,1,0.4,1.5,Kevin Kaspar,G,5.3,,0.6," 5.3 Pts, 2.2 Reb, 1.7 Ast",western-kentucky,1.4,2.2,per_game,173
39,0.3,0.1,FR,1.5,.676,1.4,2.1,.313,0.3,1.0,.560,1.8,3.1,.833,1.1,1.3,32,16,6-10,Canarias Basketball Academy,"Riga, Latvia",14.0,20,1.2,2.1,Aleksej Rostov,F,4.9,,0.3," 4.9 Pts, 2.7 Reb, 0.3 Ast",western-kentucky,1.0,2.7,per_game,225
40,0.6,0.7,FR,2.4,.464,1.3,2.9,.000,0.0,0.1,.455,1.3,2.9,.483,0.9,1.8,34,11,6-11,Downington East HS,"Baltimore, MD",17.5,23,1.7,2.0,Daniel Ochefu,F,3.5,2012,0.7," 3.5 Pts, 4.1 Reb, 0.6 Ast",villanova,1.2,4.1,per_game,245
41,0.4,0.9,SR,1.9,.500,1.1,2.1,,0.0,0.0,.500,1.1,2.1,.623,1.1,1.7,31,10,6-11,Largo,"Largo, MD",9.5,25,0.8,1.1,Maurice Sutton,F,3.2,,0.4," 3.2 Pts, 2.7 Reb, 0.4 Ast",villanova,0.9,2.7,per_game,220
42,0.5,0.0,SO,1.9,.462,0.4,0.8,.396,0.7,1.7,.418,1.1,2.5,.500,0.1,0.3,31,0,6-4,Long Island Lutheran,"Bronx, NY",12.0,24,0.7,1.2,Ash Yacoubou,G,2.9,,0.3," 2.9 Pts, 2.6 Reb, 0.5 Ast",villanova,0.9,2.6,per_game,210
43,0.2,0.0,FR,0.3,.000,0.0,0.1,.000,0.0,0.2,.000,0.0,0.3,1.000,0.1,0.1,17,0,6-4,Traders Point Christian,"Zagreb, Croatia",2.4,10,0.1,0.1,Mislav Brzoja,G,0.1,,0.1," 0.1 Pts, 0.4 Reb, 0.2 Ast",villanova,0.3,0.4,per_game,205
44,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,.500,0.3,0.7,3,0,6-5,Chaminade HS,"Rockville Centre, NY",1.3,20,0.0,0.7,Patrick Farrell,F,0.3,,0.0," 0.3 Pts, 0.0 Reb, 0.0 Ast",villanova,0.0,0.0,per_game,200
45,0.0,0.0,FR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3,0,5-11,The Dalton School,"New York, NY",0.7,2,0.0,0.3,Henry Lowe,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",villanova,0.7,0.0,per_game,185
46,0.0,0.0,JR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,4,0,6-0,Christian Brothers Academy,"Colts Neck, NJ",1.3,12,0.0,0.3,Nick McMahon,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",villanova,0.0,0.0,per_game,165
47,0.6,0.9,JR,4.7,.576,5.8,10.1,.167,0.0,0.2,.569,5.8,10.3,.707,2.9,4.2,36,36,6-9,Quality Education Academy,"Winston-Salem, NC",27.9,15,3.4,2.3,Juvonte Reddic,F,14.6,,1.4," 14.6 Pts, 8.1 Reb, 0.6 Ast",virginia-commonwealth,1.6,8.1,per_game,250
48,0.6,0.1,SR,2.5,.510,0.7,1.4,.403,3.4,8.6,.417,4.1,9.9,.704,0.5,0.8,36,36,6-4,William Fleming,"Roanoke, VA",26.3,30,0.6,2.1,Troy Daniels,G,12.3,,0.9," 12.3 Pts, 3.1 Reb, 0.6 Ast",virginia-commonwealth,0.9,3.1,per_game,200
49,1.4,0.2,JR,1.6,.440,2.3,5.3,.353,1.4,4.0,.402,3.7,9.2,.691,1.6,2.3,35,28,6-2,Lincoln,"Cincinnati, OH",24.2,11,1.1,1.7,Rob Brandenberg,G,10.4,,1.3," 10.4 Pts, 2.7 Reb, 1.4 Ast",virginia-commonwealth,1.3,2.7,per_game,190
50,1.0,0.0,FR,0.8,.484,2.1,4.4,.284,0.7,2.3,.415,2.8,6.7,.781,0.7,0.9,35,0,6-3,St. Benedict's Prep HS,"Bronx, NY",17.3,32,0.7,1.3,Melvin Johnson,G,6.9,2012,0.8," 6.9 Pts, 1.5 Reb, 1.0 Ast",virginia-commonwealth,1.0,1.5,per_game,195
51,4.8,0.3,SR,1.3,.504,2.0,4.0,.333,0.4,1.3,.462,2.4,5.3,.667,1.5,2.3,35,31,6-3,I.C. Norcom,"Portsmouth, VA",26.4,10,0.4,2.6,Darius Theus,G,6.8,,2.4," 6.8 Pts, 1.6 Reb, 4.8 Ast",virginia-commonwealth,1.9,1.6,per_game,200
52,2.7,0.3,SO,2.1,.487,1.6,3.3,.225,0.3,1.1,.421,1.9,4.4,.785,1.4,1.8,36,7,6-2,Great Bridge,"Chesapeake, VA",20.9,2,0.8,2.3,Briante Weber,G,5.4,,2.7," 5.4 Pts, 2.8 Reb, 2.7 Ast",virginia-commonwealth,1.1,2.8,per_game,165
53,0.2,0.3,SO,1.2,.493,0.9,1.9,.000,0.0,0.1,.471,0.9,2.0,.474,0.3,0.5,35,0,6-8,Charis Prep,"Columbia, SC",10.5,23,1.3,2.3,Jarred Guest,F,2.1,,0.5," 2.1 Pts, 2.5 Reb, 0.2 Ast",virginia-commonwealth,0.6,2.5,per_game,225
54,0.3,0.3,JR,1.4,.526,1.1,2.1,.000,0.0,0.0,.519,1.1,2.1,.649,0.7,1.0,36,7,6-7,Everglades,"Miami, FL",13.4,15,1.3,2.5,O'Karo Akamune,F,2.9,,0.7," 2.9 Pts, 2.7 Reb, 0.3 Ast",western-kentucky,0.8,2.7,per_game,210
55,0.0,0.0,SO,0.7,.500,0.9,1.8,,0.0,0.0,.500,0.9,1.8,.500,0.3,0.6,32,1,6-7,Garner,"Raleigh, NC",6.4,24,0.5,1.5,Stephon Drane,F,2.1,,0.4," 2.1 Pts, 1.2 Reb, 0.0 Ast",western-kentucky,0.4,1.2,per_game,225
56,0.6,0.0,JR,1.0,.333,0.3,0.8,.204,0.4,2.0,.239,0.7,2.8,.684,0.5,0.8,24,10,6-5,Argyle,"Argyle, TX",17.5,10,0.3,1.1,Caden Dickerson,G,2.3,,0.4," 2.3 Pts, 1.2 Reb, 0.6 Ast",western-kentucky,1.1,1.2,per_game,205
57,0.5,0.1,JR,0.8,.488,0.7,1.4,,0.0,0.0,.488,0.7,1.4,.538,0.5,0.9,29,0,6-5,Bellaire,"Belaire, TX",9.0,0,1.2,1.5,Kene Anyigbo,F,1.9,,0.2," 1.9 Pts, 2.0 Reb, 0.5 Ast",western-kentucky,0.6,2.0,per_game,250
58,0.3,0.0,FR,1.3,.526,0.4,0.8,.167,0.1,0.5,.387,0.5,1.3,.739,0.7,1.0,23,5,6-4,Eastern,"Louisville, KY",9.6,13,0.3,0.7,Percy Blade,G,1.9,,0.3," 1.9 Pts, 1.6 Reb, 0.3 Ast",western-kentucky,1.0,1.6,per_game,210
59,0.0,0.6,JR,1.3,.571,0.8,1.4,,0.0,0.0,.571,0.8,1.4,.400,0.2,0.5,29,4,7-0,Palmdale,"Palmdale, CA",8.0,33,0.7,1.4,DJ Haley,C,1.9,,0.2," 1.9 Pts, 1.9 Reb, 0.0 Ast",virginia-commonwealth,0.5,1.9,per_game,250
60,1.6,0.0,SO,0.8,.421,0.3,0.6,.250,0.2,0.6,.333,0.4,1.2,.688,0.3,0.5,32,1,6-4,Christchurch School,"London, United Kingdom",8.3,5,0.2,0.4,Teddy Okereafor,G,1.3,,0.6," 1.3 Pts, 1.0 Reb, 1.6 Ast",virginia-commonwealth,0.8,1.0,per_game,195
61,0.3,0.4,FR,0.8,.278,0.2,0.7,.188,0.1,0.6,.235,0.3,1.3,.625,0.4,0.6,26,0,6-10,Lovejoy,"Fayetteville, GA",7.2,31,0.6,1.5,Justin Tuoyo,F,1.1,,0.2," 1.1 Pts, 1.4 Reb, 0.3 Ast",virginia-commonwealth,0.3,1.4,per_game,220
62,0.1,0.2,JR,0.6,.421,0.3,0.8,,0.0,0.0,.421,0.3,0.8,.667,0.1,0.1,25,1,6-9,R.J. Reynolds,"Winston-Salem, NC",5.0,34,0.4,0.6,David Hinton,F,0.7,,0.1," 0.7 Pts, 1.0 Reb, 0.1 Ast",virginia-commonwealth,0.2,1.0,per_game,235
63,0.0,0.1,FR,0.5,.556,0.5,0.8,.000,0.0,0.6,.313,0.5,1.5,.750,0.5,0.7,11,1,6-5,Hales Franciscan,"Chicago, IL",5.8,2,0.6,0.8,Eddie Alcantara,F,1.5,,0.2," 1.5 Pts, 1.2 Reb, 0.0 Ast",western-kentucky,0.8,1.2,per_game,205
64,0.0,0.0,SR,0.6,.000,0.0,0.1,.667,0.1,0.2,.500,0.1,0.3,.500,0.3,0.6,14,1,6-1,Otay Ranch,"Chula Vista, CA",3.5,55,0.0,0.5,Marcus Vasquez,G,0.7,,0.0," 0.7 Pts, 0.6 Reb, 0.0 Ast",western-kentucky,0.1,0.6,per_game,200
65,0.0,0.0,SO,0.0,,0.0,0.0,.000,0.0,0.2,.000,0.0,0.2,1.000,0.3,0.3,6,0,5-11,IMG Academy,"Bowling Green, KY",1.3,11,0.3,0.2,Spence Sheldon,G,0.3,,0.0," 0.3 Pts, 0.3 Reb, 0.0 Ast",western-kentucky,0.3,0.3,per_game,165
66,0.0,0.0,SR,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2,0,6-3,St. Augustine,"St. Augustine, FL",0.0,23,0.0,0.0,Kawaun Jakes,G,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",western-kentucky,0.0,0.0,per_game,195
67,2.3,0.8,SR,6.1,.487,2.3,4.7,.417,2.5,6.0,.448,4.8,10.7,.881,3.6,4.1,33,33,6-7,Australian Institute of Sport,,32.2,45,1.2,1.4,Ryan Broekhoff,G,15.7,,1.0," 15.7 Pts, 7.3 Reb, 2.3 Ast",valparaiso,1.9,7.3,per_game,215
68,0.6,0.6,SR,3.7,.636,4.3,6.7,.000,0.0,0.0,.633,4.3,6.7,.751,3.8,5.1,34,34,6-8,Katholieke Scholengemeenschap Hoofddorp,,23.0,55,1.8,3.0,Kevin Van Wijk,F,12.4,,0.6," 12.4 Pts, 5.5 Reb, 0.6 Ast",valparaiso,2.1,5.5,per_game,230
69,3.0,0.5,SR,2.7,.588,1.4,2.4,.391,1.3,3.3,.474,2.7,5.8,.649,1.5,2.3,33,18,6-4,Mooresville,"Mooresville, IN",25.2,23,0.5,1.7,Matt Kenney,G,8.3,,0.6," 8.3 Pts, 3.1 Reb, 3.0 Ast",valparaiso,1.8,3.1,per_game,205
70,3.7,0.3,SR,1.9,.636,2.7,4.2,.167,0.2,1.1,.542,2.9,5.3,.513,1.1,2.2,34,30,5-11,Mitchell,"Memphis, TN",28.2,15,0.7,2.9,Erik Buggs,G,7.0,,1.6," 7.0 Pts, 2.6 Reb, 3.7 Ast",valparaiso,2.5,2.6,per_game,155
71,1.4,0.1,SR,0.9,.400,0.4,1.0,.402,1.6,3.9,.401,2.0,4.9,.906,0.9,0.9,34,29,6-1,Vallivue,"Boise, ID",26.6,3,0.1,1.3,Will Bogan,G,6.4,,0.9," 6.4 Pts, 1.1 Reb, 1.4 Ast",valparaiso,1.2,1.1,per_game,170
72,1.9,0.1,JR,0.8,.416,1.7,4.0,.311,0.9,3.0,.371,2.6,7.0,.827,2.5,3.0,25,4,6-1,Edwin G. Foreman,"Chicago, IL",21.3,4,0.4,1.8,LaVonte Dority,G,8.6,,0.7," 8.6 Pts, 1.2 Reb, 1.9 Ast",valparaiso,2.1,1.2,per_game,200
73,0.5,0.0,SR,1.5,.583,1.3,2.2,.348,0.7,2.0,.471,2.0,4.2,.842,1.0,1.2,33,20,6-4,Hidden Valley/Virginia Tech,"Roanoke, VA",17.9,12,0.7,1.6,Ben Boggs,G,5.6,,0.5," 5.6 Pts, 2.3 Reb, 0.5 Ast",valparaiso,0.8,2.3,per_game,195
74,0.7,0.4,SR,2.8,.582,2.1,3.7,.353,0.2,0.6,.551,2.3,4.2,.627,1.1,1.7,30,1,6-10,Loveland,"Loveland, OH",16.2,5,1.6,2.2,Bobby Capobianco,F,5.9,,0.5," 5.9 Pts, 4.5 Reb, 0.7 Ast",valparaiso,1.0,4.5,per_game,235
75,0.8,0.1,FR,2.5,.463,5.1,10.9,.377,1.3,3.3,.443,6.3,14.3,.711,4.0,5.6,32,30,6-6,Bishop Gorman,"Las Vegas, NV",30.8,15,2.7,1.7,Shabazz Muhammad,G,17.9,2012,0.7," 17.9 Pts, 5.2 Reb, 0.8 Ast",ucla,1.6,5.2,per_game,225
76,4.0,0.2,SR,2.5,.508,3.9,7.8,.316,2.2,7.0,.417,6.1,14.7,.836,6.0,7.2,34,34,6-4,Norristown,"Norristown, PA",33.4,1,0.4,2.2,Khalif Wyatt,G,20.5,,1.7," 20.5 Pts, 2.9 Reb, 4.0 Ast",temple,3.1,2.9,per_game,210
77,0.4,0.3,JR,1.7,.486,1.2,2.5,.297,0.4,1.3,.422,1.6,3.8,.581,0.9,1.5,29,0,6-5,Calabasas,"North Hollywood, CA",14.9,2,0.9,1.6,Jordan Coleman,G,4.4,,0.6," 4.4 Pts, 2.5 Reb, 0.4 Ast",valparaiso,0.9,2.5,per_game,190
78,0.1,0.5,SO,1.0,.591,0.5,0.8,,0.0,0.0,.591,0.5,0.8,.286,0.1,0.5,27,0,6-10,Princeton Day Academy (MD),"Kingston, Jamaica",7.3,14,0.4,1.1,Vashil Fernandez,C,1.1,,0.1," 1.1 Pts, 1.4 Reb, 0.1 Ast",valparaiso,0.7,1.4,per_game,245
79,0.1,0.0,JR,0.4,1.000,0.2,0.2,.625,0.6,0.9,.700,0.8,1.1,,0.0,0.0,9,0,6-6,New Trier,"Winnetka, IL",5.1,10,0.0,0.2,Alex Rossi,G,2.1,,0.1," 2.1 Pts, 0.4 Reb, 0.1 Ast",valparaiso,0.4,0.4,per_game,200
80,1.8,0.4,FR,3.2,.543,3.6,6.6,.307,1.4,4.5,.447,5.0,11.2,.843,3.9,4.6,33,27,6-5,Oak Hill Academy,"Atlanta, GA",30.3,3,0.6,2.1,Jordan Adams,G,15.3,2012,2.2," 15.3 Pts, 3.8 Reb, 1.8 Ast",ucla,1.2,3.8,per_game,220
