,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
44,214th,143rd,44th,239th,213th,45th,304th,242nd,255th,219th,79th,290th,322nd,71st,333rd,243rd,20th,299th,178th,321st,186th,115th,kansas,team_stats
45,104th,262nd,176th,62nd,138th,85th,204th,26th,8th,110th,47th,159th,268th,97th,283rd,279th,181st,83rd,60th,251st,142nd,226th,kansas-state,team_stats
46,231st,149th,119th,214th,167th,135th,200th,277th,49th,328th,77th,282nd,139th,216th,130th,206th,41st,212th,185th,242nd,91st,158th,iowa,team_stats
47,321st,242nd,347th,348th,331st,87th,346th,336th,163rd,337th,95th,350th,191st,326th,150th,305th,60th,346th,288th,171st,136th,343rd,iowa-state,team_stats
48,32nd,164th,30th,21st,52nd,47th,119th,34th,67th,48th,51st,64th,51st,242nd,38th,75th,100th,12th,14th,105th,61st,35th,harvard,team_stats
49,104th,149th,209th,218th,231st,24th,316th,164th,51st,255th,22nd,323rd,277th,246th,258th,295th,45th,245th,67th,245th,127th,262nd,gonzaga,team_stats
50,192nd,196th,97th,185th,165th,145th,191st,220th,36th,309th,81st,261st,42nd,29th,72nd,274th,41st,124th,91st,302nd,86th,172nd,george-washington,team_stats
51,120th,216th,296th,218th,225th,28th,314th,187th,102nd,236th,30th,315th,61st,143rd,62nd,234th,23rd,160th,3rd,285th,12th,278th,florida,team_stats
52,293rd,156th,224th,191st,203rd,347th,39th,174th,248th,147th,342nd,42nd,331st,218th,327th,100th,95th,277th,203rd,105th,5th,170th,eastern-kentucky,team_stats
53,104th,196th,211th,286th,340th,252nd,321st,2nd,22nd,10th,270th,236th,220th,137th,228th,194th,119th,236th,105th,59th,120th,213th,duke,team_stats
54,202nd,283rd,348th,345th,344th,227th,335th,242nd,92nd,290th,204th,342nd,277th,145th,277th,332nd,25th,341st,306th,46th,136th,347th,delaware,team_stats
55,242nd,345th,267th,276th,287th,173rd,298th,164th,115th,207th,172nd,281st,309th,228th,304th,183rd,51st,307th,90th,93rd,61st,238th,dayton,team_stats
56,236th,65th,179th,279th,247th,121st,275th,291st,168th,309th,118th,299th,89th,150th,89th,160th,136th,252nd,116th,40th,312th,171st,creighton,team_stats
57,293rd,256th,341st,317th,282nd,8th,345th,310th,103rd,333rd,13th,348th,235th,27th,274th,349th,31st,323rd,31st,311th,13th,348th,connecticut,team_stats
58,307th,203rd,209th,295th,238th,133rd,253rd,327th,258th,319th,150th,302nd,46th,200th,38th,78th,47th,260th,120th,316th,127th,155th,colorado,team_stats
59,155th,295th,261st,169th,49th,94th,85th,344th,65th,350th,31st,279th,181st,142nd,189th,239th,133rd,215th,129th,336th,89th,256th,coastal-carolina,team_stats
60,86th,216th,59th,30th,38th,20th,147th,84th,59th,133rd,19th,131st,46th,58th,65th,222nd,161st,17th,4th,69th,31st,122nd,cincinnati,team_stats
61,214th,216th,270th,85th,129th,159th,130th,92nd,147th,93rd,167th,94th,174th,308th,145th,144th,318th,87th,37th,11th,224th,227th,cal-poly,team_stats
62,345th,324th,337th,344th,319th,163rd,321st,336th,153rd,339th,138th,345th,292nd,259th,290th,270th,4th,347th,328th,257th,87th,326th,brigham-young,team_stats
63,351st,121st,186th,342nd,315th,92nd,337th,334th,241st,333rd,117th,346th,108th,63rd,136th,333rd,34th,333rd,115th,202nd,194th,287th,baylor,team_stats
64,43rd,203rd,279th,164th,231st,2nd,344th,61st,57th,93rd,4th,331st,173rd,283rd,150th,229th,58th,135th,6th,75th,44th,266th,arizona,team_stats
65,123rd,291st,331st,248th,297th,63rd,328th,68th,86th,81st,86th,290th,122nd,4th,191st,279th,115th,188th,156th,98th,194th,324th,arizona-state,team_stats
66,23rd,10th,7th,14th,43rd,75th,90th,23rd,55th,42nd,71st,39th,77th,75th,97th,78th,257th,10th,7th,326th,186th,14th,american,team_stats
67,217th,90th,106th,162nd,95th,88th,141st,296th,212th,298th,90th,228th,17th,306th,7th,112th,139th,96th,39th,171st,181st,95th,albany-ny,team_stats
