,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
32,279th,148th,340th,340th,329th,224th,321st,273rd,20th,335th,140th,341st,243rd,160th,243rd,322nd,17th,334th,191st,24th,78th,342nd,nevada,team_stats
33,6th,148th,7th,47th,125th,75th,188th,15th,7th,82nd,40th,124th,70th,249th,60th,141st,211th,21st,34th,46th,241st,26th,murray-state,team_stats
34,13th,293rd,160th,81st,146th,47th,238th,33rd,242nd,16th,114th,112th,323rd,237th,317th,82nd,50th,144th,73rd,33rd,22nd,122nd,montana,team_stats
35,36th,243rd,38th,99th,134th,22nd,241st,102nd,51st,157th,26th,224th,133rd,261st,118th,225th,87th,84th,63rd,275th,303rd,90th,missouri,team_stats
36,141st,178th,97th,95th,157th,144th,179th,46th,60th,93rd,125th,124th,29th,178th,26th,141st,304th,38th,60th,85th,210th,102nd,miami-fl,team_stats
37,110th,293rd,348th,318th,344th,59th,347th,62nd,63rd,110th,91st,337th,239th,228th,231st,219th,10th,300th,8th,41st,18th,344th,michigan,team_stats
38,132nd,53rd,5th,67th,54th,1st,314th,190th,110th,226th,1st,308th,229th,272nd,215th,291st,24th,101st,18th,221st,324th,63rd,michigan-state,team_stats
39,340th,93rd,347th,349th,348th,110th,349th,241st,216th,222nd,196th,349th,220th,22nd,251st,351st,47th,348th,325th,329th,27th,350th,marshall,team_stats
40,229th,97th,338th,252nd,201st,209th,190th,288th,150th,310th,180th,272nd,116th,14th,167th,215th,45th,235th,73rd,326th,19th,322nd,maryland-baltimore-county,team_stats
41,175th,250th,183rd,237th,243rd,58th,307th,194th,37th,281st,45th,312th,30th,129th,31st,207th,114th,188th,6th,345th,66th,194th,loyola-il,team_stats
42,229th,69th,275th,339th,345th,184th,339th,145th,45th,212th,189th,336th,251st,57th,270th,330th,15th,329th,277th,316th,186th,314th,long-island-university,team_stats
43,265th,308th,149th,283rd,236th,107th,278th,301st,4th,351st,14th,340th,273rd,58th,291st,344th,2nd,304th,116th,250th,153rd,291st,kentucky,team_stats
44,193rd,332nd,279th,275th,285th,247th,267th,174th,133rd,198th,230th,267th,300th,54th,312th,76th,16th,290th,298th,319th,33rd,209th,lipscomb,team_stats
45,233rd,69th,271st,194th,161st,147th,183rd,217th,76th,288th,87th,252nd,311th,288th,295th,316th,53rd,244th,46th,231st,15th,303rd,kansas-state,team_stats
46,314th,93rd,312th,337th,332nd,267th,311th,250th,245th,217th,281st,306th,74th,2nd,147th,306th,213th,307th,283rd,41st,98th,317th,iona,team_stats
47,305th,319th,323rd,347th,338th,138th,340th,344th,92nd,350th,96th,351st,132nd,186th,135th,350th,79th,345th,160th,272nd,41st,346th,kansas,team_stats
48,57th,76th,155th,33rd,46th,8th,160th,102nd,35th,170th,8th,165th,323rd,114th,331st,162nd,89th,101st,18th,56th,107th,150th,houston,team_stats
49,224th,243rd,282nd,63rd,11th,6th,56th,337th,131st,341st,6th,240th,282nd,79th,293rd,337th,213th,166th,50th,49th,41st,325th,georgia-state,team_stats
50,106th,124th,225th,262nd,236th,12th,327th,265th,185th,273rd,28th,324th,196th,207th,191st,147th,40th,262nd,53rd,127th,111th,197th,gonzaga,team_stats
51,163rd,139th,229th,259th,204th,22nd,303rd,296th,220th,298th,53rd,315th,259th,195th,259th,312th,71st,287th,184th,209th,52nd,278th,florida-state,team_stats
52,65th,148th,316th,172nd,205th,52nd,284th,92nd,201st,85th,103rd,221st,210th,284th,184th,277th,152nd,162nd,94th,7th,90th,312th,florida,team_stats
53,337th,102nd,113th,328th,316th,25th,343rd,284th,28th,338th,17th,348th,49th,274th,34th,343rd,55th,292nd,101st,241st,115th,263rd,duke,team_stats
54,123rd,34th,113th,110th,69th,205th,57th,245th,182nd,246th,183rd,114th,32nd,32nd,51st,19th,307th,75th,58th,15th,319th,48th,davidson,team_stats
55,102nd,193rd,190th,158th,165th,120th,216th,130th,151st,129th,133rd,183rd,174th,311th,147th,164th,132nd,145th,75th,3rd,237th,179th,college-of-charleston,team_stats
56,236th,114th,245th,284th,277th,171st,289th,217th,90th,279th,140th,302nd,30th,226th,21st,104th,296th,226th,220th,175th,263rd,197th,creighton,team_stats
57,78th,283rd,216th,163rd,117th,9th,267th,252nd,200th,246th,20th,282nd,56th,99th,69th,197th,132nd,125th,29th,166th,204th,215th,clemson,team_stats
58,24th,160th,83rd,30th,43rd,2nd,226th,102nd,8th,222nd,2nd,248th,21st,28th,38th,272nd,82nd,12th,2nd,65th,29th,153rd,cincinnati,team_stats
59,69th,223rd,57th,57th,100th,14th,222nd,57th,163rd,59th,36th,143rd,254th,345th,215th,162nd,114th,82nd,111th,69th,204th,81st,cal-state-fullerton,team_stats
60,177th,257th,248th,237th,205th,175th,219th,269th,302nd,202nd,232nd,229th,290th,322nd,259th,44th,202nd,282nd,177th,65th,66th,168th,butler,team_stats
61,204th,235th,282nd,289th,322nd,69th,338th,70th,80th,111th,95th,316th,291st,69th,301st,270th,5th,288th,192nd,314th,145th,291st,bucknell,team_stats
62,118th,312th,326th,307th,328th,108th,334th,130th,62nd,194th,114th,326th,351st,296th,347th,317th,75th,338th,273rd,221st,50th,330th,buffalo,team_stats
63,276th,278th,269th,232nd,140th,120th,176th,327th,227th,326th,116th,279th,345th,268th,341st,324th,42nd,323rd,262nd,30th,56th,306th,arkansas,team_stats
64,175th,199th,262nd,182nd,136th,96th,176th,268th,196th,273rd,101st,237th,314th,233rd,310th,219th,22nd,250th,194th,221st,26th,257th,auburn,team_stats
65,189th,76th,13th,262nd,254th,96th,296th,217th,243rd,196th,153rd,289th,222nd,292nd,198th,130th,35th,266th,153rd,259th,226th,33rd,arizona,team_stats
66,150th,308th,255th,237th,230th,65th,291st,228th,57th,295th,50th,309th,306th,33rd,321st,336th,12th,283rd,130th,323rd,83rd,316th,alabama,team_stats
67,278th,199th,171st,190th,157th,200th,133rd,228th,141st,254th,172nd,196th,189th,215th,183rd,260th,32nd,194th,240th,41st,78th,213th,arizona-state,team_stats
