,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
52,93rd,185th,209th,47th,19th,1st,141st,293rd,15th,334th,1st,275th,229th,183rd,223rd,286th,62nd,117th,32nd,321st,38th,255th,florida-state,team_stats
53,238th,161st,296th,323rd,334th,18th,344th,68th,66th,109th,39th,340th,103rd,15th,159th,338th,10th,298th,81st,235th,16th,331st,duke,team_stats
54,330th,327th,338th,343rd,332nd,6th,345th,335th,79th,341st,11th,345th,153rd,110th,173rd,345th,13th,339th,84th,315th,96th,344th,connecticut,team_stats
55,90th,161st,149th,103rd,106th,28th,206th,135th,109th,170th,29th,206th,140th,272nd,116th,243rd,114th,96th,24th,258th,38th,203rd,clemson,team_stats
56,155th,125th,143rd,125th,178th,57th,254th,49th,58th,86th,58th,199th,140th,224th,121st,161st,129th,96th,9th,182nd,71st,153rd,cincinnati,team_stats
57,180th,5th,71st,47th,23rd,19th,79th,277th,277th,235th,47th,130th,231st,212th,215th,183rd,258th,114th,105th,131st,187th,101st,california-santa-barbara,team_stats
58,166th,204th,328th,301st,281st,188th,275th,280th,64th,321st,130th,305th,278th,72nd,294th,161st,8th,315th,67th,162nd,96th,295th,butler,team_stats
59,206th,45th,274th,144th,99th,33rd,189th,251st,35th,308th,16th,264th,182nd,199th,166th,190th,191st,162nd,61st,90th,252nd,253rd,bucknell,team_stats
60,289th,275th,343rd,326th,326th,78th,334th,245th,81st,286th,77th,335th,236th,147th,240th,265th,24th,327th,172nd,221st,25th,338th,brigham-young,team_stats
61,206th,266th,270th,209th,136th,39th,215th,306th,68th,332nd,21st,295th,94th,233rd,78th,321st,111th,199th,55th,48th,259th,302nd,boston-university,team_stats
62,104th,341st,188th,98th,126th,34th,209th,95th,136th,111th,53rd,180th,314th,106th,327th,243rd,24th,168th,34th,303rd,1st,225th,belmont,team_stats
63,272nd,302nd,333rd,257th,229th,225th,197th,260th,151st,278th,189th,252nd,331st,278th,329th,230th,17th,310th,158th,15th,65th,316th,arkansas-little-rock,team_stats
64,326th,295th,259th,336th,345th,288th,335th,63rd,5th,193rd,246th,331st,283rd,105th,295th,228th,6th,337th,173rd,254th,92nd,255th,arizona,team_stats
65,144th,36th,303rd,84th,117th,16th,244th,81st,178th,79th,32nd,187th,341st,126th,342nd,289th,21st,208th,60th,337th,16th,301st,alabama-state,team_stats
66,24th,141st,75th,53rd,134th,92nd,182nd,25th,21st,46th,71st,108th,39th,226th,31st,105th,288th,18th,41st,90th,285th,76th,alabama-birmingham,team_stats
67,216th,34th,342nd,286th,300th,90th,318th,143rd,48th,204th,79th,312th,267th,35th,291st,313th,87th,287th,103rd,226th,44th,341st,akron,team_stats
