,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
14,59.6,6.1,.544,.410,.187,.261,36,7,0,1,3,2274,2803,Davidson,1.66,13.93,14.7,52.4,.567,.806,29,20,12,11
15,59.4,4.9,.531,.459,.272,.359,33,5,3,1,3,2050,2440,Drake,4.15,14.08,15.4,52.2,.570,.848,28,15,14,10
16,51.6,6.6,.536,.392,.285,.409,34,6,3,1,2,2361,2830,Duke,9.28,21.52,15.7,50.1,.569,.824,28,13,15,6
17,53.8,5.8,.523,.332,.280,.398,34,11,6,1,7,2124,2356,George Mason,-0.75,6.07,16.1,52.8,.557,.676,23,12,13,5
18,61.6,8.9,.567,.402,.222,.340,34,6,3,0,4,1976,2367,Georgetown,7.23,18.73,18.4,52.1,.584,.824,28,15,16,8
19,47.1,6.0,.482,.316,.220,.324,34,17,12,5,8,2290,2314,Georgia,7.03,7.24,18.3,52.8,.513,.500,17,4,11,2
20,53.7,8.2,.545,.319,.283,.397,33,8,1,1,3,2106,2524,Gonzaga,2.15,14.81,17.8,53.7,.578,.758,25,13,13,7
21,52.0,6.7,.523,.349,.318,.419,33,8,4,2,3,2156,2476,Indiana,6.08,15.78,17.1,54.6,.569,.758,25,14,17,7
22,55.8,6.0,.494,.320,.257,.374,33,12,6,2,5,2274,2574,Kansas State,7.79,15.79,17.1,55.6,.529,.636,21,10,14,3
23,61.3,10.4,.567,.295,.258,.368,40,3,3,0,3,2460,3221,Kansas,8.20,26.90,16.3,55.6,.592,.925,37,13,19,8
24,57.8,7.3,.520,.305,.294,.412,35,7,3,0,5,2165,2412,Kent State,0.41,7.47,19.3,51.0,.558,.800,28,13,16,8
25,53.7,8.8,.527,.315,.301,.411,31,13,4,4,6,2034,2124,Kentucky,7.09,9.19,20.7,51.2,.567,.581,18,12,14,4
26,58.2,8.9,.531,.387,.236,.365,36,9,4,2,3,2215,2611,Louisville,8.00,19.00,17.2,52.0,.553,.750,27,14,15,8
27,55.4,7.0,.505,.335,.266,.377,35,10,7,2,5,2269,2658,Marquette,8.09,18.62,15.5,51.9,.541,.714,25,11,15,5
28,57.5,6.0,.515,.330,.241,.332,33,9,3,1,7,2258,2450,Maryland-Baltimore County,-4.53,0.06,12.5,49.2,.549,.727,24,13,13,9
29,55.7,10.7,.527,.352,.248,.404,40,2,0,1,0,2477,3196,Memphis,5.76,23.73,13.8,54.1,.546,.950,38,16,19,10
30,52.0,8.0,.496,.309,.288,.386,34,11,8,2,6,2309,2542,Miami (FL),7.13,12.38,16.2,51.4,.541,.676,23,8,14,4
31,66.5,7.7,.526,.244,.246,.335,36,9,6,0,6,2253,2564,Michigan State,7.68,16.32,17.6,55.0,.560,.750,27,12,17,4
32,50.6,12.5,.522,.366,.252,.390,34,11,4,3,4,2228,2489,Mississippi State,5.74,13.42,18.3,52.7,.546,.676,23,12,12,7
33,54.3,5.1,.440,.248,.281,.414,33,16,6,4,8,2174,2036,Mississippi Valley State,-9.50,-15.28,18.4,48.4,.485,.515,17,12,8,6
34,53.2,9.1,.498,.304,.272,.387,34,15,7,7,7,2301,2353,Mount St. Mary's,-5.12,-3.59,18.1,48.7,.535,.559,19,11,8,10
35,60.4,5.6,.488,.398,.244,.327,35,8,4,2,5,2181,2440,Nevada-Las Vegas,4.02,10.23,14.1,48.8,.528,.771,27,12,20,6
36,52.5,7.0,.530,.226,.288,.380,39,3,2,2,0,2828,3454,North Carolina,8.12,24.17,15.6,57.2,.571,.923,36,14,14,13
37,66.5,5.9,.522,.336,.251,.340,33,8,4,0,4,2297,2608,Notre Dame,7.03,16.15,15.5,53.7,.557,.758,25,14,17,5
38,52.5,7.0,.501,.336,.264,.387,35,12,7,3,6,2234,2378,Oklahoma,7.85,11.97,16.8,51.9,.534,.657,23,9,14,4
39,56.7,7.2,.503,.339,.274,.409,33,9,2,1,6,2047,2282,Oral Roberts,-0.26,5.71,16.8,51.4,.536,.727,24,16,12,8
40,55.4,4.3,.558,.398,.254,.367,32,14,9,3,7,2321,2450,Oregon,7.65,11.68,16.1,51.3,.583,.563,18,9,12,5
41,58.0,6.0,.508,.307,.234,.351,37,10,8,2,7,2410,2731,Pittsburgh,7.84,15.62,14.9,53.0,.536,.730,27,10,16,5
42,61.6,6.0,.545,.411,.248,.367,33,10,2,1,7,2245,2438,Portland State,-3.01,1.72,18.5,51.6,.570,.697,23,14,13,8
43,56.0,8.8,.491,.357,.264,.371,34,9,3,2,5,2122,2367,Purdue,5.90,13.10,16.3,50.2,.530,.735,25,15,16,6
44,58.4,13.3,.546,.356,.288,.397,34,13,7,5,6,2292,2484,Saint Joseph's,3.98,9.63,16.8,50.0,.580,.618,21,9,8,9
45,55.4,9.1,.527,.383,.259,.392,32,7,2,1,5,2037,2421,Saint Mary's (CA),0.36,11.39,16.7,52.2,.554,.781,25,12,15,6
46,54.8,6.0,.497,.270,.235,.350,36,14,3,5,6,2296,2365,San Diego,1.45,3.39,19.3,51.0,.527,.611,22,11,13,7
47,52.7,5.9,.509,.304,.252,.365,34,11,5,4,6,2420,2613,Siena,-1.62,4.06,13.7,47.0,.541,.676,23,13,13,8
48,60.6,5.4,.536,.342,.326,.463,33,7,2,1,4,2158,2478,South Alabama,-1.21,7.76,17.4,54.6,.573,.788,26,16,17,7
49,49.9,7.5,.533,.278,.265,.387,33,12,7,5,4,2102,2277,Southern California,8.59,13.89,19.2,50.0,.563,.636,21,11,10,7
50,58.3,9.3,.498,.271,.275,.396,36,8,5,1,5,2216,2553,Stanford,6.95,16.31,15.6,55.5,.535,.778,28,13,16,7
51,59.5,7.7,.541,.394,.261,.353,34,13,5,3,5,2335,2457,Temple,4.57,8.16,16.8,49.2,.575,.618,21,11,10,7
52,61.5,5.8,.527,.388,.250,.379,36,5,2,0,2,2519,2946,Tennessee,7.84,18.41,15.1,50.4,.553,.861,31,14,16,9
53,53.5,7.0,.522,.302,.267,.422,36,11,8,4,5,2216,2548,Texas A&M,7.46,16.20,16.4,55.0,.546,.694,25,8,16,4
54,53.8,4.5,.532,.317,.266,.407,33,12,9,3,8,2274,2422,Texas-Arlington,-4.62,-2.87,20.6,52.1,.558,.636,21,7,14,4
55,48.5,8.9,.519,.350,.217,.317,38,7,3,1,3,2467,2868,Texas,8.59,18.13,12.0,51.8,.545,.816,31,13,17,7
56,54.6,8.0,.525,.283,.275,.376,39,4,2,2,1,2300,2867,UCLA,7.71,21.71,16.1,56.3,.562,.897,35,16,16,9
57,65.3,5.7,.541,.381,.282,.383,34,8,6,0,6,2537,2721,Vanderbilt,5.54,10.96,17.3,49.5,.577,.765,26,10,19,4
58,53.7,5.4,.491,.349,.283,.389,35,13,9,3,7,2431,2547,Villanova,7.69,11.00,17.4,51.9,.534,.629,22,9,13,4
59,59.1,5.9,.537,.339,.280,.385,35,9,7,4,3,1975,2325,Washington State,6.35,16.35,15.0,50.2,.573,.743,26,11,9,10
60,58.1,9.7,.514,.343,.249,.361,37,11,7,2,5,2352,2769,West Virginia,7.16,17.97,14.0,51.6,.545,.703,26,11,13,4
61,46.1,7.3,.536,.326,.251,.358,36,7,2,1,3,2403,2785,Western Kentucky,0.24,9.34,17.3,52.0,.565,.806,29,16,13,10
62,54.7,7.2,.498,.323,.219,.371,34,12,4,3,6,1990,2205,Winthrop,-1.45,3.61,17.1,52.2,.517,.647,22,10,12,6
63,54.1,6.4,.506,.318,.282,.399,36,5,2,2,2,1958,2421,Wisconsin,6.73,19.59,16.4,54.3,.544,.861,31,16,16,10
64,60.3,6.1,.546,.365,.317,.424,37,7,2,1,4,2347,2780,Xavier,5.47,17.17,16.8,53.9,.586,.811,30,14,16,7
