,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
105,106.0,121,UC Irvine,BW,21-11,6.11,105.4,99.3,67.7,-0.064,-2.29,101.1,103.4,2.91
106,107.0,92,Bradley,MVC,23-11,6.09,106.8,100.7,67.1,0.036,-0.51,101.6,102.2,-4.1
107,108.0,62,Hofstra,CAA,26-8,6.06,108.7,102.6,67.9,0.064,-4.37,101.1,105.5,-4.39
108,109.0,97,Belmont,OVC,26-7,6.02,106.5,100.5,70.5,0.012,-7.08,99.0,106.0,-2.73
109,110.0,137,Harvard,Ivy,21-8,5.69,104.7,99.0,68.8,0.039,-0.95,102.0,102.9,0.3
110,111.0,154,Pittsburgh,ACC,16-17,5.65,104.0,98.3,65.5,0.001,7.32,105.4,98.1,-4.01
111,112.0,91,North Dakota St.,Sum,25-8,5.56,106.8,101.2,66.0,0.032,-3.91,101.8,105.7,-1.84
112,113.0,56,Western Kentucky,CUSA,20-10,5.56,108.9,103.3,68.3,0.023,0.85,102.3,101.4,1.02
113,114.0,100,Utah,P12,16-15,5.56,106.3,100.8,66.7,0.029,8.33,107.1,98.8,2.26
114,115.0,217,Temple,Amer,14-17,5.49,100.1,94.6,70.3,-0.052,6.19,104.8,98.6,2.93
115,116.0,235,Ball St.,MAC,18-13,5.25,99.2,94.0,68.0,-0.089,-2.22,101.1,103.4,-4.52
116,117.0,162,UCF,Amer,16-14,4.88,103.5,98.6,67.8,0.002,3.18,103.3,100.1,-3.56
117,118.0,86,Colgate,Pat,25-9,4.73,107.2,102.5,68.5,0.02,-6.14,100.6,106.7,-0.89
118,119.0,46,South Dakota St.,Sum,22-10,4.72,110.0,105.3,68.0,-0.022,-4.79,100.7,105.5,-3.54
119,120.0,156,Pacific,WCC,23-10,4.7,103.8,99.1,64.9,0.072,-1.29,101.9,103.2,-7.9
120,121.0,133,Missouri St.,MVC,16-17,4.69,104.8,100.2,68.3,-0.083,0.84,103.0,102.2,-1.22
121,122.0,113,Indiana St.,MVC,18-12,4.59,105.8,101.2,66.4,0.043,2.19,103.7,101.5,2.74
122,123.0,95,St. Bonaventure,A10,19-12,4.37,106.6,102.2,65.7,0.052,1.24,102.6,101.3,-0.71
123,124.0,120,Eastern Washington,BSky,23-8,4.32,105.4,101.1,73.1,0.121,-1.53,102.0,103.5,3.14
124,125.0,214,South Florida,Amer,14-17,4.29,100.2,95.9,64.9,-0.047,4.52,103.4,98.9,-2.74
125,126.0,115,Georgia St.,SB,19-13,4.29,105.6,101.4,73.0,-0.035,0.56,102.7,102.2,4.84
126,127.0,182,Washington St.,P12,16-16,4.22,102.2,98.0,70.8,-0.002,4.53,103.6,99.1,-8.19
127,128.0,105,Kent St.,MAC,20-12,4.06,106.1,102.1,68.9,-0.011,-1.26,102.1,103.4,-3.61
128,129.0,99,Little Rock,SB,21-10,3.93,106.4,102.5,69.3,0.069,-0.59,102.1,102.7,1.35
129,130.0,180,UT Arlington,SB,14-18,3.87,102.3,98.4,67.7,-0.13,2.34,104.7,102.4,11.6
130,131.0,203,Texas A&M,SEC,16-14,3.77,101.0,97.2,64.5,0.098,6.1,105.8,99.7,-3.2
131,132.0,131,Northwestern,B10,8-23,3.61,104.9,101.3,66.7,-0.087,11.64,107.5,95.9,-2.56
132,133.0,132,Wright St.,Horz,25-7,3.47,104.9,101.4,72.1,0.033,-6.8,99.7,106.5,-5.49
133,134.0,184,Georgia Southern,SB,20-13,3.39,102.2,98.8,71.8,0.005,-0.35,102.9,103.3,1.11
134,135.0,70,Oral Roberts,Sum,17-14,3.34,108.2,104.9,70.4,-0.103,-0.49,104.4,104.9,12.03
135,136.0,178,Murray St.,OVC,23-9,3.15,102.4,99.3,68.9,-0.03,-7.75,99.1,106.8,-5.57
136,137.0,169,Montana,BSky,18-13,3.08,103.2,100.1,68.2,0.019,-1.01,102.1,103.1,5.25
137,138.0,125,New Mexico,MWC,19-14,2.88,105.3,102.4,71.8,0.044,1.5,105.0,103.5,-3.24
138,139.0,85,Pepperdine,WCC,16-16,2.87,107.2,104.4,70.8,0.034,3.22,104.3,101.1,0.3
139,140.0,136,Winthrop,BSth,24-10,2.65,104.7,102.1,71.9,-0.044,-8.04,99.9,107.9,3.54
140,141.0,163,Penn,Ivy,16-11,2.63,103.4,100.8,70.2,0.025,0.42,102.6,102.1,3.2
141,142.0,123,Northeastern,CAA,17-16,2.19,105.4,103.2,65.9,-0.113,-3.51,102.0,105.6,-2.89
142,143.0,199,Marshall,CUSA,17-15,2.11,101.2,99.1,74.9,-0.037,-0.16,102.8,103.0,0.6
143,144.0,191,Northern Kentucky,Horz,23-9,2.11,102.0,99.8,65.7,0.074,-5.16,100.0,105.2,-0.21
144,145.0,87,Siena,MAAC,20-10,2.06,107.2,105.1,66.7,-0.001,-5.42,98.3,103.7,0.29
145,146.0,141,Valparaiso,MVC,19-16,2.06,104.5,102.5,69.3,0.02,1.39,103.0,101.6,0.08
146,147.0,93,Chattanooga,SC,20-13,1.87,106.6,104.8,67.0,0.025,-1.7,101.6,103.3,-3.57
147,148.0,151,Buffalo,MAC,20-12,1.84,104.1,102.3,73.9,0.045,-0.62,102.4,103.1,-1.49
148,149.0,157,FIU,CUSA,19-13,1.58,103.7,102.1,72.2,0.01,-0.82,101.6,102.4,-4.61
149,150.0,89,Princeton,Ivy,14-13,1.5,107.0,105.5,66.3,-0.025,-0.66,101.7,102.4,0.27
150,151.0,176,Santa Clara,WCC,20-13,1.22,102.6,101.3,71.6,0.049,-1.84,101.7,103.6,-11.52
151,152.0,102,Toledo,MAC,17-15,1.14,106.3,105.1,68.1,-0.057,-1.36,101.4,102.8,-2.0
152,153.0,195,California,P12,14-18,1.1,101.5,100.4,65.2,0.09,8.03,106.4,98.3,1.84
153,154.0,142,Wofford,SC,19-16,1.08,104.5,103.4,65.9,-0.019,-1.03,102.3,103.3,-1.8
