Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
23.0,Louisville,ACC,20-14,19.35,113.7,94.4,67.2,-0.06,11.95,110.4,98.4,5.36
24.0,Maryland,B10,23-11,19.29,113.4,94.1,66.0,-0.004,10.75,109.8,99.1,-4.92
26.0,Florida,SEC,20-16,18.3,110.5,92.2,62.9,-0.063,12.0,110.7,98.7,5.12
27.0,Nevada,MWC,29-5,18.18,114.0,95.9,69.3,0.033,1.42,105.4,103.9,1.79
28.0,Oregon,P12,25-13,17.86,109.5,91.7,64.2,-0.048,5.47,107.7,102.3,0.43
29.0,Cincinnati,Amer,28-7,17.5,112.3,94.8,63.4,0.05,5.12,107.1,102.0,-2.85
30.0,Villanova,BE,26-10,17.33,116.5,99.2,63.6,0.044,8.0,108.8,100.8,3.32
31.0,Saint Mary's,WCC,22-12,17.31,114.7,97.4,62.7,-0.045,3.66,106.6,103.0,-0.9
32.0,Oklahoma,B12,20-14,16.94,111.1,94.1,68.6,0.023,13.27,110.3,97.1,7.44
33.0,Marquette,BE,24-10,16.52,113.2,96.7,68.8,0.01,6.77,107.4,100.7,0.29
34.0,UCF,Amer,24-9,16.51,112.1,95.6,65.0,0.011,4.99,105.9,100.9,-3.71
35.0,Baylor,B12,20-14,16.48,115.3,98.8,65.2,-0.029,10.49,108.8,98.3,-4.04
37.0,Iowa,B10,23-12,16.02,117.4,101.3,69.5,0.05,10.64,108.9,98.3,-6.49
38.0,Utah St.,MWC,28-7,15.41,112.6,97.2,68.1,0.012,0.02,104.5,104.4,0.81
39.0,Syracuse,ACC,20-14,15.13,110.5,95.3,66.1,-0.004,9.4,108.6,99.2,0.17
42.0,VCU,A10,25-8,14.89,104.3,89.5,68.4,0.007,1.37,105.2,103.8,3.6
44.0,Ohio St.,B10,20-15,14.66,109.1,94.4,65.8,0.013,11.68,110.4,98.8,-2.95
46.0,Minnesota,B10,22-14,14.35,111.4,97.0,67.4,0.086,12.18,110.2,98.0,-2.91
48.0,Washington,P12,27-9,14.28,107.7,93.5,66.0,0.088,6.06,107.6,101.5,2.73
49.0,Belmont,OVC,27-6,14.09,115.6,101.5,71.3,0.025,-1.98,103.6,105.6,3.78
50.0,Mississippi,SEC,20-13,13.98,113.2,99.2,68.5,-0.007,8.69,109.1,100.4,-1.11
51.0,Murray St.,OVC,28-5,13.83,112.5,98.6,69.4,0.054,-3.32,103.1,106.4,-1.13
53.0,New Mexico St.,WAC,30-5,13.62,113.0,99.3,65.9,0.042,-3.44,102.8,106.2,-3.22
57.0,Arizona St.,P12,23-11,11.55,109.7,98.2,70.8,0.051,5.56,107.3,101.7,1.55
58.0,Liberty,ASun,29-7,11.54,111.1,99.6,62.3,0.009,-3.27,102.5,105.8,-3.2
60.0,Seton Hall,BE,20-14,11.5,109.0,97.5,69.1,0.023,8.54,109.2,100.7,3.58
69.0,Temple,Amer,23-10,9.72,109.2,99.5,68.9,0.064,4.55,106.3,101.8,-1.07
73.0,UC Irvine,BW,31-6,9.16,107.4,98.2,65.3,0.11,-3.28,102.5,105.8,1.25
76.0,Vermont,AE,27-7,8.86,108.5,99.6,65.5,0.043,-5.55,100.7,106.2,3.2
77.0,Yale,Ivy,22-8,8.79,111.6,102.8,71.0,0.041,-1.1,103.0,104.2,-2.09
88.0,St. John's,BE,21-13,7.61,108.6,101.0,70.8,0.06,5.0,106.9,101.9,-6.49
89.0,Northeastern,CAA,23-11,7.59,111.0,103.4,66.2,0.05,-0.63,106.3,106.9,6.45
96.0,Northern Kentucky,Horz,26-9,7.14,109.4,102.3,68.2,-0.001,-3.37,103.6,107.0,-2.57
106.0,Saint Louis,A10,23-13,6.02,102.2,96.2,66.4,0.044,0.49,104.4,103.9,-1.44
113.0,Old Dominion,CUSA,26-9,5.45,101.4,96.0,64.5,0.058,-2.15,102.5,104.7,-6.06
124.0,Georgia St.,SB,24-10,4.85,107.7,102.8,70.0,0.143,1.09,105.2,104.1,3.5
126.0,Colgate,Pat,24-11,4.6,110.5,105.9,66.4,0.012,-3.83,102.4,106.3,0.84
137.0,Montana,BSky,26-9,3.53,107.4,103.9,66.9,0.059,-6.07,102.4,108.4,4.03
152.0,Abilene Christian,Slnd,27-7,1.35,103.4,102.0,66.1,0.123,-8.67,100.0,108.7,-4.75
161.0,Bradley,MVC,20-15,0.09,101.5,101.4,65.3,0.035,-1.66,102.6,104.3,-3.94
163.0,Gardner Webb,BSth,23-12,-0.04,107.8,107.8,67.4,0.07,-3.55,103.2,106.8,-4.07
198.0,Iona,MAAC,17-16,-2.88,106.9,109.7,70.6,-0.024,-6.27,100.5,106.8,0.44
202.0,North Dakota St.,Sum,19-16,-3.2,107.4,110.6,65.0,0.064,-2.85,104.8,107.6,3.23
209.0,Prairie View A&M,SWAC,22-13,-4.13,102.1,106.2,71.1,0.061,-7.85,98.8,106.7,6.15
211.0,Fairleigh Dickinson,NEC,21-14,-4.22,106.5,110.7,66.8,0.04,-8.16,99.5,107.7,-1.86
303.0,North Carolina Central,MEAC,18-16,-11.55,97.8,109.3,65.3,-0.008,-11.84,97.0,108.9,1.19
