Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
29.0,Texas A&M,SEC,22-13,16.96,111.3,94.4,69.5,0.014,11.69,111.8,100.1,5.12
30.0,Creighton,BE,21-12,16.91,115.5,98.6,70.8,-0.028,9.4,110.8,101.4,-4.2
31.0,Loyola Chicago,MVC,32-6,16.39,111.4,95.0,65.5,0.077,2.48,104.8,102.3,-5.47
33.0,Virginia Tech,ACC,21-12,16.03,115.3,99.3,68.7,-0.018,7.91,109.2,101.3,-9.76
36.0,Texas,B12,19-15,15.43,109.5,94.1,65.2,-0.03,11.77,111.4,99.6,2.05
37.0,Miami FL,ACC,22-10,15.43,112.9,97.4,67.0,0.017,8.08,109.1,101.0,-3.82
40.0,Missouri,SEC,20-13,14.83,111.9,97.0,65.7,-0.025,9.55,109.8,100.2,1.07
41.0,Syracuse,ACC,23-14,14.82,107.0,92.2,62.9,0.021,9.81,111.3,101.5,-0.2
42.0,Kansas St.,B12,25-12,14.77,110.1,95.3,65.6,0.071,9.39,111.0,101.6,-6.5
43.0,Davidson,A10,21-12,14.7,117.0,102.3,64.5,-0.063,2.11,105.6,103.5,1.33
44.0,Arkansas,SEC,23-12,14.69,116.3,101.7,69.7,0.059,9.9,110.5,100.6,0.87
46.0,North Carolina St.,ACC,21-12,14.52,116.3,101.8,71.4,-0.001,7.71,108.6,100.9,-9.71
48.0,Oklahoma,B12,18-14,14.16,114.6,100.5,75.5,-0.008,11.68,111.3,99.6,2.13
49.0,Arizona St.,P12,20-12,14.13,116.7,102.6,71.3,-0.083,5.48,107.4,101.9,0.94
50.0,San Diego St.,MWC,22-11,14.09,110.5,96.4,68.8,-0.032,3.46,107.2,103.8,-0.8
52.0,Rhode Island,A10,26-8,13.93,111.1,97.2,68.4,0.063,3.49,107.6,104.1,3.83
56.0,UCLA,P12,21-12,13.52,115.0,101.4,70.3,-0.027,6.42,108.1,101.7,2.93
57.0,Alabama,SEC,20-16,13.41,108.7,95.2,68.7,0.017,11.17,110.9,99.7,2.54
60.0,New Mexico St.,WAC,28-6,12.92,107.9,95.0,68.5,0.027,-1.4,104.0,105.4,3.7
62.0,Murray St.,OVC,26-6,12.19,112.9,100.7,67.2,-0.0,-3.56,102.9,106.4,-0.99
63.0,Providence,BE,21-14,12.17,108.9,96.7,67.1,0.074,10.58,111.6,101.1,-1.38
67.0,Buffalo,MAC,27-9,11.53,114.7,103.2,72.7,0.006,-0.06,105.1,105.2,3.87
68.0,St. Bonaventure,A10,26-8,11.21,110.8,99.5,69.4,0.078,2.8,107.0,104.2,1.17
72.0,Montana,BSky,26-8,10.4,108.8,98.4,68.0,-0.0,-1.96,104.0,106.0,2.09
78.0,South Dakota St.,Sum,28-7,10.2,113.8,103.6,70.5,0.097,-0.09,105.8,105.9,3.59
82.0,UNC Greensboro,SC,27-8,9.22,104.9,95.7,65.2,-0.024,-4.57,103.7,108.2,-3.46
97.0,Bucknell,Pat,25-10,7.31,109.5,102.2,71.4,0.006,-4.35,102.8,107.1,5.79
101.0,Georgia St.,SB,24-11,6.92,108.8,101.9,66.8,-0.015,-2.51,103.4,105.9,-3.22
105.0,Marshall,CUSA,25-11,6.53,109.4,102.9,74.7,0.06,0.07,105.6,105.5,-7.0
112.0,Stephen F. Austin,Slnd,28-7,5.58,104.5,99.0,71.1,0.031,-7.16,100.6,107.8,-2.26
115.0,College of Charleston,CAA,26-8,5.16,108.7,103.6,64.9,0.035,-4.06,104.8,108.9,-7.64
125.0,Penn,Ivy,24-9,3.69,103.1,99.4,68.9,0.076,-4.15,103.7,107.8,-2.98
133.0,Wright St.,Horz,25-10,2.89,100.6,97.7,68.3,0.074,-3.79,102.7,106.5,2.23
137.0,Iona,MAAC,20-14,2.63,110.0,107.3,70.7,-0.008,-2.12,103.1,105.2,2.14
162.0,Cal St. Fullerton,BW,20-12,0.62,103.7,103.1,69.6,0.097,-1.2,103.8,105.0,2.76
166.0,UMBC,AE,25-11,0.5,103.1,102.6,68.4,0.125,-4.38,102.7,107.1,-3.55
167.0,Lipscomb,ASun,23-10,0.43,103.2,102.8,74.9,0.112,-4.31,103.2,107.5,5.84
170.0,Radford,BSth,23-13,0.07,102.9,102.9,63.0,0.063,-4.03,102.8,106.9,3.49
243.0,Texas Southern,SWAC,16-20,-6.65,104.6,111.2,71.7,-0.01,-6.3,101.0,107.3,17.2
259.0,LIU Brooklyn,NEC,18-17,-8.27,102.3,110.6,71.6,0.012,-8.68,100.2,108.9,-6.06
316.0,North Carolina Central,MEAC,19-16,-13.41,96.6,110.0,65.0,0.019,-12.78,98.4,111.2,-1.47
