Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
19.0,Notre Dame,BE,21-11,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55
21.0,North Carolina St.,ACC,23-11,19.15,113.2,94.0,67.5,0.012,8.27,108.6,100.4,-5.56
22.0,Alabama,SEC,27-8,18.73,114.0,95.3,68.0,0.076,8.59,107.1,98.5,-1.56
23.0,Xavier,A10,26-6,18.6,111.2,92.6,67.0,0.051,5.09,106.7,101.6,5.37
24.0,Gonzaga,WCC,28-4,18.51,115.6,97.1,68.5,0.049,1.12,103.7,102.6,4.04
25.0,Georgia,SEC,22-9,18.44,116.7,98.3,69.2,-0.021,9.87,108.1,98.2,3.3
26.0,Mississippi St.,SEC,27-8,18.25,111.4,93.1,67.9,0.107,8.93,106.7,97.7,-0.96
27.0,Texas,B12,22-12,17.69,116.0,98.3,68.5,-0.021,10.18,109.1,98.9,5.3
29.0,Missouri,B12,24-12,17.49,116.2,98.7,70.1,-0.01,7.92,108.0,100.0,-0.39
30.0,Wake Forest,ACC,21-13,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85
31.0,Texas Tech,B12,23-9,17.24,114.6,97.4,69.8,0.061,6.69,106.8,100.2,-0.13
32.0,Michigan St.,B10,19-12,16.86,113.0,96.2,63.3,-0.026,9.76,108.5,98.7,1.51
34.0,Mississippi,SEC,19-11,16.68,113.3,96.7,64.7,-0.04,7.32,105.9,98.6,-6.23
35.0,UCLA,P10,21-12,16.34,113.7,97.3,68.1,0.048,12.0,110.1,98.1,8.58
37.0,California,P10,23-9,16.03,109.8,93.7,66.6,0.088,7.89,107.9,100.0,-5.85
38.0,Oklahoma St.,B12,23-9,15.8,107.9,92.1,66.0,0.047,7.11,107.8,100.7,0.53
39.0,Miami FL,BE,24-8,15.77,110.5,94.7,69.1,0.017,5.75,105.0,99.3,-5.03
40.0,Charlotte,CUSA,18-12,15.73,114.2,98.5,66.8,-0.008,9.23,107.3,98.1,6.48
41.0,Tulsa,WAC,26-7,15.59,116.0,100.4,69.5,0.001,2.03,103.7,101.7,-1.44
44.0,Western Kentucky,SB,26-4,14.51,110.5,96.0,67.5,0.06,0.23,103.1,102.8,0.29
45.0,Utah,MWC,19-9,14.08,111.4,97.3,62.1,0.01,5.38,106.2,100.8,1.57
47.0,Valparaiso,MCon,24-8,13.63,111.5,97.8,68.7,-0.032,-1.66,102.9,104.6,2.05
49.0,Southern Illinois,MVC,28-8,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16
50.0,Wisconsin,B10,18-13,13.22,110.7,97.5,63.3,0.049,10.57,108.9,98.3,8.49
51.0,Hawaii,WAC,26-6,13.15,110.3,97.2,65.6,0.007,-0.72,102.8,103.5,-9.7
58.0,Penn,Ivy,25-7,12.23,110.2,98.0,65.6,-0.019,-2.38,101.9,104.3,0.99
59.0,Creighton,MVC,23-9,11.82,111.3,99.5,66.9,0.029,1.39,104.8,103.4,0.94
62.0,Pepperdine,WCC,21-9,11.72,111.1,99.3,72.4,0.061,3.96,105.7,101.7,11.94
65.0,UNC Wilmington,CAA,23-10,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56
67.0,Wyoming,MWC,22-9,11.01,107.8,96.7,69.0,0.032,3.51,105.5,102.0,-5.47
71.0,Boston College,BE,20-12,9.97,109.4,99.4,69.1,0.04,6.41,105.3,98.9,-2.77
74.0,San Diego St.,MWC,21-12,9.29,106.9,97.6,70.0,0.055,5.64,106.7,101.1,0.67
76.0,St. John's,BE,20-12,9.06,102.7,93.6,69.1,0.089,6.4,106.5,100.1,-0.79
77.0,UC Santa Barbara,BW,19-11,8.87,108.2,99.3,63.4,-0.058,0.45,103.1,102.6,3.37
100.0,McNeese St.,Slnd,20-9,5.39,103.2,97.8,66.2,0.023,-4.6,99.6,104.2,12.81
116.0,Hampton,MEAC,25-7,3.99,109.9,105.9,69.1,0.013,-8.67,98.3,107.0,0.87
118.0,Illinois Chicago,Horz,18-14,3.85,108.9,105.0,67.5,0.04,1.84,104.1,102.2,0.66
119.0,Davidson,SC,18-10,3.7,101.5,97.8,65.1,0.142,1.8,104.2,102.4,9.42
146.0,Murray St.,OVC,17-13,1.35,106.8,105.5,69.2,0.017,-1.74,103.2,104.9,3.98
150.0,Central Connecticut,NEC,27-5,0.93,100.6,99.7,64.0,0.137,-11.95,97.4,109.3,-4.99
162.0,Holy Cross,Pat,18-15,-0.24,98.1,98.4,62.2,-0.048,-6.4,99.5,105.9,-3.38
174.0,Siena,MAAC,17-19,-1.21,100.8,102.0,66.5,-0.07,-4.14,100.1,104.2,-0.42
191.0,Florida Atlantic,ASun,18-12,-2.5,99.6,102.1,70.2,0.06,-4.94,101.9,106.9,-4.52
194.0,Boston University,AE,22-10,-2.74,101.3,104.0,64.5,0.102,-9.18,97.5,106.6,0.25
210.0,Montana,BSky,14-15,-4.51,102.4,106.9,68.5,0.053,-1.95,103.2,105.2,0.44
219.0,Winthrop,BSth,17-12,-5.31,97.3,102.6,65.9,0.038,-10.73,97.0,107.7,-0.98
252.0,Alcorn St.,SWAC,20-10,-8.71,100.1,108.8,73.0,0.097,-14.53,95.0,109.6,2.59
