,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
30,131st,341st,226th,301st,331st,213th,319th,118th,56th,188th,187th,300th,143rd,203rd,135th,138th,131st,268th,166th,222nd,176th,202nd,northern-kentucky,team_stats
31,176th,93rd,267th,319th,346th,324th,321st,24th,115th,29th,338th,244th,323rd,245th,318th,133rd,90th,314th,246th,46th,34th,223rd,north-carolina-wilmington,team_stats
32,21st,64th,154th,111th,155th,31st,257th,61st,3rd,230th,11th,263rd,21st,3rd,61st,335th,199th,45th,20th,14th,82nd,271st,north-carolina-central,team_stats
33,249th,351st,315th,343rd,306th,61st,334th,344th,129th,348th,47th,348th,306th,292nd,292nd,251st,5th,347th,129th,334th,13th,300th,north-carolina,team_stats
34,21st,4th,57th,187th,276th,128th,298th,18th,5th,101st,77th,249th,186th,56th,213th,272nd,18th,146th,65th,73rd,100th,132nd,new-mexico-state,team_stats
35,289th,19th,306th,304th,328th,193rd,318th,155th,17th,280th,121st,323rd,88th,106th,98th,187th,25th,263rd,152nd,146th,249th,274th,nevada,team_stats
36,103rd,164th,5th,119th,163rd,272nd,104th,56th,32nd,122nd,193rd,92nd,89th,86th,110th,213th,59th,67th,95th,347th,25th,24th,new-orleans,team_stats
37,103rd,106th,334th,308th,338th,198th,341st,22nd,131st,19th,252nd,287th,127th,12th,177th,343rd,74th,248th,83rd,298th,16th,343rd,mount-st-marys,team_stats
38,252nd,270th,316th,218th,272nd,23rd,331st,96th,15th,211th,16th,318th,100th,55th,129th,334th,54th,180th,105th,139th,173rd,332nd,minnesota,team_stats
39,94th,34th,136th,116th,143rd,110th,181st,91st,48th,162nd,80th,182nd,237th,228th,234th,54th,218th,135th,23rd,46th,76th,85th,middle-tennessee,team_stats
40,189th,84th,264th,329th,340th,224th,339th,107th,313th,47th,303rd,293rd,36th,67th,49th,210th,117th,281st,45th,26th,71st,257th,michigan,team_stats
41,210th,151st,135th,193rd,210th,19th,311th,123rd,164th,128th,37th,274th,265th,295th,240th,213th,100th,207th,82nd,245th,287th,170th,michigan-state,team_stats
42,83rd,123rd,28th,64th,99th,76th,163rd,52nd,72nd,83rd,75th,114th,40th,336th,19th,127th,294th,28th,24th,161st,258th,45th,miami-fl,team_stats
43,326th,220th,64th,223rd,246th,245th,214th,149th,286th,97th,273rd,162nd,179th,140th,183rd,131st,300th,218th,260th,239th,194th,73rd,marquette,team_stats
44,33rd,237th,114th,62nd,88th,24th,204th,70th,30th,151st,19th,196th,260th,123rd,273rd,210th,176th,85th,41st,43rd,111th,156th,louisville,team_stats
45,35th,244th,90th,133rd,167th,42nd,260th,65th,112th,77th,58th,213th,134th,170th,129th,293rd,124th,88th,70th,197th,194th,189th,maryland,team_stats
46,169th,285th,341st,341st,344th,141st,346th,149th,12th,286th,98th,343rd,286th,33rd,315th,300th,1st,337th,156th,88th,13th,339th,kentucky,team_stats
47,255th,309th,206th,309th,296th,39th,336th,279th,218th,269th,79th,334th,193rd,240th,167th,320th,75th,306th,172nd,328th,62nd,281st,kansas,team_stats
48,296th,38th,248th,311th,316th,144th,315th,271st,176th,279th,169th,315th,247th,168th,250th,296th,36th,316th,201st,254th,36th,285th,kent-state,team_stats
49,250th,220th,111th,187th,152nd,49th,243rd,216th,328th,113th,134th,217th,186th,308th,152nd,290th,63rd,184th,60th,275th,21st,205th,kansas-state,team_stats
50,94th,164th,84th,171st,90th,21st,218th,279th,301st,218th,66th,235th,202nd,275th,174th,193rd,169th,190th,66th,239th,284th,119th,jacksonville-state,team_stats
51,299th,261st,332nd,314th,306th,106th,322nd,283rd,162nd,303rd,122nd,330th,48th,180th,42nd,335th,255th,284th,183rd,36th,47th,340th,iowa-state,team_stats
52,318th,123rd,330th,326th,319th,119th,323rd,311th,247th,299th,170th,332nd,257th,127th,264th,345th,218th,332nd,283rd,45th,109th,342nd,iona,team_stats
53,52nd,256th,308th,248th,290th,2nd,349th,105th,2nd,290th,1st,351st,94th,8th,157th,339th,7th,200th,10th,229th,77th,332nd,gonzaga,team_stats
54,14th,123rd,308th,210th,288th,52nd,327th,36th,10th,109th,36th,295th,237th,194th,242nd,282nd,11th,199th,47th,182nd,18th,303rd,florida,team_stats
55,66th,281st,99th,178th,84th,56th,167th,299th,210th,294th,66th,241st,291st,277th,264th,183rd,21st,232nd,108th,320th,9th,129th,east-tennessee-state,team_stats
56,148th,142nd,147th,218th,199th,43rd,287th,252nd,179th,258th,61st,293rd,316th,240th,312th,290th,53rd,281st,177th,70th,45th,234th,florida-state,team_stats
57,121st,103rd,35th,191st,199th,218th,172nd,138th,13th,274th,103rd,234th,175th,48th,204th,204th,213th,177th,100th,229th,146th,82nd,florida-gulf-coast,team_stats
58,212th,47th,232nd,330th,348th,170th,348th,16th,4th,97th,148th,336th,225th,221st,224th,317th,17th,310th,120th,70th,138th,289th,duke,team_stats
59,100th,233rd,128th,25th,37th,92nd,61st,118th,56th,188th,42nd,80th,124th,205th,116th,113th,152nd,32nd,46th,5th,69th,112th,dayton,team_stats
60,221st,136th,293rd,314th,322nd,218th,304th,252nd,71st,307th,175th,313th,93rd,91st,112th,285th,199th,295th,197th,307th,50th,298th,creighton,team_stats
61,103rd,209th,120th,71st,49th,6th,223rd,222nd,152nd,244th,9th,252nd,90th,324th,60th,263rd,205th,64th,8th,2nd,77th,192nd,cincinnati,team_stats
62,290th,265th,313th,274th,269th,140th,288th,231st,70th,286th,108th,299th,196th,235th,181st,204th,8th,267th,107th,333rd,35th,286th,california-davis,team_stats
63,31st,43rd,83rd,177th,174th,265th,119th,135th,92nd,179th,216th,138th,194th,139th,203rd,63rd,111th,170th,87th,46th,131st,67th,butler,team_stats
64,148th,151st,196th,226th,280th,67th,317th,81st,142nd,83rd,111th,268th,134th,13th,183rd,204th,75th,187th,64th,329th,52nd,214th,bucknell,team_stats
65,258th,281st,8th,124th,143rd,28th,248th,100th,50th,173rd,26th,240th,86th,236th,71st,220th,125th,75th,21st,125th,249th,29th,baylor,team_stats
66,239th,244th,264th,287th,273rd,77th,312th,263rd,83rd,313th,65th,325th,335th,181st,335th,350th,81st,324th,221st,119th,73rd,338th,arkansas,team_stats
67,285th,188th,77th,278th,293rd,149th,305th,166th,16th,292nd,84th,310th,78th,65th,98th,178th,21st,234th,40th,66th,166th,107th,arizona,team_stats
