,opp_ast,opp_blk,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_trb,team_name,type
46,,,321st,,,,,,,6th,325th,,,,,326th,118th,,326th,georgia-tech,team_stats
47,,,190th,,,,,,,302nd,105th,,,,,166th,140th,,51st,eastern-washington,team_stats
48,,,290th,,,,,,,238th,266th,,,,,315th,276th,,311th,florida-am,team_stats
49,,,222nd,,,,,,,67th,267th,,,,,245th,171st,,211th,florida,team_stats
50,,,312th,,,,,,,42nd,323rd,,,,,301st,174th,,323rd,east-tennessee-state,team_stats
51,,,325th,,,,,,,36th,324th,,,,,319th,71st,,321st,duke,team_stats
52,,,259th,,,,,,,89th,281st,,,,,262nd,141st,,148th,depaul,team_stats
53,,,266th,,,,,,,43rd,294th,,,,,230th,63rd,,177th,dayton,team_stats
54,,,326th,,,,,,,1st,326th,,,,,325th,56th,,325th,connecticut,team_stats
55,1st,1st,241st,3rd,2nd,3rd,2nd,1st,2nd,75th,277th,2nd,2nd,3rd,3rd,242nd,237th,2nd,244th,charlotte,team_stats
56,,,54th,,,,,,,17th,168th,,,,,73rd,28th,,112th,central-florida,team_stats
57,,,84th,,,,,,,11th,221st,,,,,186th,61st,,227th,cincinnati,team_stats
58,,,281st,,,,,,,31st,312th,,,,,242nd,43rd,,271st,boston-college,team_stats
59,,,145th,,,,,,,241st,107th,,,,,113th,85th,,8th,brigham-young,team_stats
60,,,276th,,,,,,,77th,291st,,,,,293rd,143rd,,278th,alabama,team_stats
61,,,321st,,,,,,,202nd,314th,,,,,312th,316th,,207th,arizona,team_stats
62,,,76th,,,,,,,51st,145th,,,,,71st,23rd,,108th,alabama-state,team_stats
63,,,1st,,,,,,,232nd,1st,,,,,1st,1st,,5th,air-force,team_stats
64,,,241st,,,,,,,143rd,254th,,,,,282nd,170th,,324th,alabama-birmingham,team_stats
