,year,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
369,2020,Washington State,32,16,16,.500,5.13,4.94,6,12,11,5,2,9,2235,2229,71.1,97.2,.323,.320,.529,50.5,44.8,8.1,10.1,.499,18.6,25.8,.222
370,2020,Washington,32,15,17,.469,12.41,8.25,5,13,10,7,3,7,2259,2126,70.2,93.9,.314,.382,.482,50.3,60.4,9.6,6.1,.441,16.6,31.8,.226
371,2020,Weber State,32,12,20,.375,-8.32,-0.66,8,12,8,6,4,9,2225,2280,68.7,102.9,.225,.341,.531,52.0,52.5,8.8,7.1,.507,14.9,27.1,.160
372,2020,West Virginia,31,21,10,.677,18.51,10.64,9,9,14,2,4,8,2179,1935,69.4,89.6,.370,.375,.491,44.4,47.6,10.5,8.1,.445,19.7,27.6,.265
373,2020,Western Carolina,31,19,12,.613,-0.10,-1.55,10,8,10,4,8,7,2444,2317,72.4,102.3,.305,.410,.531,46.9,45.5,9.1,11.1,.498,15.1,25.0,.219
374,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,2020,Western Illinois,26,5,21,.192,-14.28,-3.03,2,14,4,10,1,11,1934,2126,73.1,110.8,.341,.352,.578,53.1,42.0,6.7,6.6,.544,14.0,24.7,.255
377,2020,Western Kentucky,30,20,10,.667,4.20,0.96,13,5,12,2,6,6,2297,2160,69.8,101.0,.209,.383,.523,51.6,47.1,7.8,8.4,.498,16.5,30.6,.153
378,2020,Western Michigan,32,13,19,.406,-5.42,-0.25,6,12,10,5,3,12,2220,2306,69.0,103.2,.304,.374,.524,51.2,46.9,9.0,8.7,.495,14.3,28.5,.209
379,2020,Wichita State,31,23,8,.742,13.66,5.60,11,7,17,2,5,5,2227,1977,70.7,89.5,.384,.352,.488,46.8,46.9,8.7,10.8,.444,17.9,24.1,.267
380,2020,William & Mary,32,21,11,.656,-2.46,-3.10,13,5,11,2,10,7,2288,2208,68.0,101.5,.259,.353,.516,46.9,44.9,9.7,8.3,.487,12.9,23.3,.185
381,2020,Winthrop,34,24,10,.706,1.16,-6.53,15,3,11,4,10,6,2765,2431,72.6,97.4,.415,.382,.532,44.8,50.5,8.8,9.3,.498,17.9,23.9,.278
382,2020,Wisconsin,31,21,10,.677,15.95,10.95,14,6,15,1,6,6,2082,1927,64.4,96.1,.253,.325,.492,50.4,47.7,7.7,9.6,.464,14.8,25.9,.175
383,2020,Wofford,35,19,16,.543,0.17,-1.50,8,10,10,5,6,10,2523,2399,66.9,101.4,.319,.432,.544,49.8,50.7,8.9,8.2,.512,16.4,24.9,.228
384,2020,Wright State,32,25,7,.781,2.46,-6.21,15,3,14,2,9,3,2580,2264,73.1,95.6,.264,.328,.497,48.1,40.3,8.5,7.0,.465,16.6,29.3,.188
385,2020,Wyoming,33,9,24,.273,-3.05,4.82,2,16,4,13,3,8,2070,2308,67.6,102.4,.365,.416,.535,56.5,50.2,8.8,9.0,.501,16.4,28.2,.254
386,2020,Xavier,32,19,13,.594,12.57,9.47,8,10,12,5,5,6,2261,2162,69.1,95.8,.289,.363,.500,47.6,49.6,10.0,8.7,.464,16.3,27.6,.211
387,2020,Yale,30,23,7,.767,6.63,-1.51,11,3,10,1,11,6,2289,1954,68.2,92.4,.253,.405,.492,45.2,50.9,9.6,8.9,.459,15.5,21.0,.183
388,2020,Youngstown State,33,18,15,.545,-5.56,-4.79,10,8,13,4,5,11,2401,2351,68.6,102.7,.308,.331,.526,47.4,49.1,8.2,8.5,.495,15.1,29.4,.215
