,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
33,Montana,31,24,7,.774,4.86,-0.96,10,4,13,1,8,5,2449,2202,,,,,,47.6,,,,.439,,,,2006
34,Murray State,31,24,7,.774,4.16,-5.07,17,3,14,1,8,4,2203,1901,,,,,,48.0,,,,.399,,,,2006
35,Nevada,33,27,6,.818,10.16,2.26,13,3,17,1,10,3,2401,2103,,,,,,47.0,,,,.401,,,,2006
36,North Carolina State,32,22,10,.688,12.70,5.63,10,6,15,3,5,5,2383,2157,,,,,,52.2,,,,.413,,,,2006
37,North Carolina-Wilmington,33,25,8,.758,8.90,0.57,15,3,12,1,8,6,2250,1975,,,,,,48.6,,,,.389,,,,2006
38,North Carolina,31,23,8,.742,18.48,7.77,12,4,14,5,8,2,2460,2128,,,,,,44.4,,,,.411,,,,2006
39,Northern Iowa,33,23,10,.697,11.55,5.13,11,7,12,3,7,5,2165,1907,,,,,,48.9,,,,.403,,,,2006
40,Northwestern State,34,26,8,.765,4.01,-1.38,15,1,14,0,10,6,2573,2365,,,,,,48.8,,,,.436,,,,2006
41,Ohio State,32,26,6,.813,16.08,5.90,12,4,16,1,6,3,2363,2037,,,,,,50.5,,,,.423,,,,2006
42,Oklahoma,29,20,9,.690,11.89,6.79,11,5,14,1,6,5,1995,1847,,,,,,43.1,,,,.438,,,,2006
43,Oral Roberts,33,21,12,.636,3.23,-2.35,13,3,10,2,6,8,2472,2248,,,,,,46.6,,,,.439,,,,2006
44,Pacific,32,24,8,.750,6.93,-1.57,12,2,11,3,9,4,2377,2047,,,,,,47.2,,,,.409,,,,2006
45,Pennsylvania,29,20,9,.690,6.01,-2.31,12,2,12,4,8,4,1987,1744,,,,,,51.4,,,,.420,,,,2006
46,Pittsburgh,33,25,8,.758,16.37,7.01,10,6,16,1,5,5,2391,2082,,,,,,44.6,,,,.400,,,,2006
47,San Diego State,33,24,9,.727,9.81,3.65,13,3,13,2,7,5,2456,2223,,,,,,47.1,,,,.438,,,,2006
48,Seton Hall,30,18,12,.600,6.78,6.11,9,7,13,4,5,6,2033,2013,,,,,,48.6,,,,.422,,,,2006
49,South Alabama,31,24,7,.774,4.88,-2.18,12,3,12,2,9,4,2283,2033,,,,,,49.8,,,,.440,,,,2006
50,Southern Illinois,33,22,11,.667,8.93,4.62,12,6,11,2,7,7,1994,1864,,,,,,49.3,,,,.405,,,,2006
51,Southern,32,20,13,.606,-5.97,-6.69,15,3,11,0,6,11,2093,2070,,,,,,47.8,,,,.393,,,,2006
52,Syracuse,35,23,12,.657,11.68,8.16,7,9,14,5,3,5,2535,2412,,,,,,49.6,,,,.398,,,,2006
53,Tennessee,30,22,8,.733,14.73,7.76,12,4,13,2,7,3,2413,2204,,,,,,52.0,,,,.470,,,,2006
54,Texas A&M,31,22,9,.710,13.19,4.77,10,6,16,2,4,5,2130,1869,,,,,,50.6,,,,.411,,,,2006
55,Texas,37,30,7,.811,21.89,6.99,13,3,16,1,7,3,2781,2230,,,,,,42.5,,,,.384,,,,2006
56,UCLA,39,32,7,.821,17.34,8.27,14,4,14,3,8,2,2642,2288,,,,,,46.4,,,,.415,,,,2006
57,Utah State,32,23,9,.719,7.76,1.79,11,5,14,2,7,6,2307,2070,,,,,,48.0,,,,.419,,,,2006
58,Villanova,33,28,5,.848,19.51,9.23,14,2,12,1,10,2,2449,2107,,,,,,49.3,,,,.421,,,,2006
59,Washington,33,26,7,.788,18.08,5.96,13,5,17,2,6,3,2706,2306,,,,,,45.7,,,,.436,,,,2006
60,West Virginia,33,22,11,.667,14.51,8.54,11,5,13,2,5,4,2334,2093,,,,,,57.6,,,,.449,,,,2006
61,Wichita State,35,26,9,.743,11.45,4.72,14,4,14,2,8,3,2422,2165,,,,,,46.0,,,,.402,,,,2006
62,Winthrop,31,23,8,.742,6.28,-4.93,13,3,15,1,7,6,2276,1897,,,,,,46.0,,,,.401,,,,2006
63,Wisconsin,31,19,12,.613,13.14,7.24,9,7,14,2,2,8,2205,2035,,,,,,48.8,,,,.427,,,,2006
64,Xavier,32,21,11,.656,10.11,1.99,8,8,15,4,5,5,2290,2030,,,,,,48.2,,,,.396,,,,2006
